bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.22368517187835 0.3612300063376002 0.8674398777605381 0.046548273836234354 58529.42029948501 0.4921945226522397 None None 0.040260295751510085 0.2954895651737244 0.141 0.141 0.999 0.999
c-o  True F19 6 37.235776763805006 0.30337112200238386 0.8674012862722964 0.04654941474838998 58529.42123640531 0.4921297322028758 None None 0.0011695746722639455 0.29820306170268723 0.141 0.141 0.999 0.999
c-o-ztfg  True F19 6 37.19295088681439 0.11472201581336906 0.8015925787825422 0.045095573674482685 58529.18617996491 0.48672705605619093 None None -0.03594857033293515 0.078718497550057 0.327 0.325 0.98 0.981
c-o-ztfg-ztfr  True O94 0 37.11100783335209 0.11606830218242166 0.7948340767541091 0.043132074826800454 58529.09807206024 0.4764792626015343 None None 0.009682385027542467 0.08442920960559601 0.331 0.33 0.99 0.991
c-o-ztfg-ztfr  True F19 6 37.12920901178436 0.10536768070332675 0.7957896475198913 0.04054676989670134 58529.094170708544 0.4497662166073161 None None -0.010015789973874834 0.07673689472946216 0.328 0.327 0.991 0.991
c-o-ztfr  True F19 6 37.29442511456724 0.2500982612893148 0.8238468321799297 0.03874635615585607 58529.13505271236 0.42929666579369796 None None -0.1323188902131855 0.23600725611701456 0.187 0.186 0.999 0.999
c-ztfg-ztfr  True F19 6 37.01406748384829 0.08405534097702488 0.7767657290880553 0.03150300571409093 58528.06931613444 0.3732477098533091 None None 0.03293799844361382 0.06149853276027041 0.019 0.019 0.981 0.981
J-c-o 1D3 True O94 0 37.259441335128564 0.1876023762653714 0.8849358123462289 0.0521030296885838 58529.444380356676 0.5554688745472182 None None 0.03034794642706644 0.1428871793471197 0.234 0.23 0.995 0.996
J-c-o 1D3 True F19 6 37.27503320533416 0.14754468950014352 0.8849523773118616 0.04720484904576386 58529.441777221866 0.5073244046307239 None None -0.019180760585363412 0.12663808629541254 0.234 0.23 0.995 0.996
J-c-o-ztfg 1D3 True F19 6 37.16803225285485 0.11228640186650973 0.7914609764210739 0.04687014908015148 58529.03512164044 0.49796506523333295 None None -0.03224546485108377 0.07796476052248696 0.374 0.365 0.978 0.98
J-c-o-ztfg-ztfr 1D3 True F19 0 37.101491005907825 0.11240145949447498 0.785771402961986 0.043501826087028815 58528.920560957034 0.481850436000662 None None 0.002456747172202226 0.08338822060851774 0.351 0.344 0.992 0.993
J-c-o-ztfg-ztfr 1D3 True F99 0 37.11275689003448 0.10807233882076943 0.7856080242174256 0.043328060685842995 58528.92494338075 0.4807138089254931 None None -0.0011988570036473628 0.08122101790148889 0.352 0.345 0.992 0.992
J-c-o-ztfg-ztfr 1D3 True O94 0 37.100574630250996 0.10710159791846588 0.7864564657386687 0.04113071114013241 58528.91736303388 0.4569944073791708 None None 0.004319827198937462 0.07946067732153415 0.35 0.344 0.992 0.993
J-c-o-ztfg-ztfr 1D3 True O94 1 37.15208974570743 0.11290542490893099 0.7841442313598356 0.041557689298254194 58528.95638771126 0.45954176432657906 None None -0.01983129912416902 0.07940795847542562 0.371 0.363 0.989 0.99
J-c-o-ztfg-ztfr 1D3 True O94 2 37.13511560579738 0.10891130949475203 0.7842090688771862 0.04161472840207747 58528.957499979806 0.4603354583664207 None None -0.01968822099753019 0.08078927601690265 0.372 0.365 0.989 0.99
