bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.287905832047635 0.09254924544842644 1.0138618803097608 0.03554284329511948 58593.57636618849 0.4212809805531004 None None 0.08234225778596725 0.06697948768844489 2.131 1.849 0.004 0.018
c-o  True F19 6 35.304173618472284 0.08953460815850152 1.0138325341698087 0.035539757140289896 58593.57666706531 0.42124547859769096 None None 0.035733523767576554 0.06710910207731889 2.13 1.848 0.004 0.018
c-o-ztfg  True F19 6 35.288236724552924 0.0911148020961516 0.9922542844584774 0.03739943438827507 58593.24888050013 0.42907032275899015 None None 0.03122406823560487 0.0672055320701324 4.29 3.692 0.0 0.0
c-o-ztfg-ztfr  True O94 0 35.23046888332801 0.10091218457094318 0.9797590357182072 0.0392754199319876 58593.300361110734 0.4579979489704694 None None 0.10036039986770956 0.07029415806299152 5.238 4.598 0.0 0.0
c-o-ztfg-ztfr  True F19 6 35.248921374511184 0.09181906709426761 0.9800034480358553 0.03707570306268849 58593.306907248414 0.4308618290764082 None None 0.043179597455181476 0.06799583597355575 4.849 4.244 0.0 0.0
c-o-ztfr  True F19 6 35.26632168551553 0.08988576042864657 1.0028687926449305 0.03502047172280055 58593.557183297045 0.4162052808722042 None None 0.04498827260582931 0.0674760132321376 2.901 2.574 0.0 0.0
c-ztfg-ztfr  True F19 6 35.05636882078225 0.1286966439530222 0.9555176681815365 0.07380162721335164 58592.39744919778 0.7893439413252333 None None 0.14290289835773856 0.08474963164408193 7.864 6.983 0.0 0.0
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 35.26425576603429 0.08831037771511592 0.9914773542851275 0.03810016389339313 58593.05718822326 0.4145022850320664 None None 0.045731872283660574 0.06615219479262788 6.096 4.843 0.0 0.0
J-c-o 1D3 True O94 0 35.34961815690922 0.09050084451069478 1.028822400884229 0.038401889193085084 58593.095696796896 0.4214252487133682 None None 0.03683885293548729 0.06607392886382896 3.742 2.715 0.0 0.0
J-c-o 1D3 True F19 6 35.359635419634714 0.08565989518570818 1.036804260842048 0.035808240374061606 58593.12089935457 0.4000382778495078 None None -0.0002785329808602077 0.06542865564636947 3.339 2.486 0.0 0.0
J-c-o-ztfg 1D3 True F19 6 35.31409567331676 0.08873760600283488 1.0076192521411589 0.03834549629327746 58592.94112584705 0.4274688143239824 None None 0.02557112276093534 0.06634915372269747 5.405 4.206 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 0 35.25683635743716 0.0946123356449636 0.9871607421499332 0.039770644347391026 58593.00365988013 0.44550175496435074 None None 0.0945829928940192 0.06724918456598201 6.021 4.711 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 35.24752806624362 0.09531952255336089 0.9888887518616599 0.039024472981015246 58592.935571959606 0.43763213586530847 None None 0.09097062014573642 0.06700081013920993 6.691 5.123 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 35.26638715733732 0.09676417507036651 0.9896662470340294 0.039074729428337555 58592.934332249984 0.4381870176876211 None None 0.07707457813501736 0.06650097102351 6.695 5.139 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 35.26432248139035 0.09656095186130631 0.9952283199615409 0.039976126587005244 58592.82913899153 0.44667773309011594 None None 0.0925486966343333 0.06755886940797248 7.447 5.585 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 35.24566564882006 0.09634512825976171 0.9895834279506944 0.03894892220345121 58592.94366709861 0.43685939221572545 None None 0.07334827575872996 0.0665342847576369 6.587 5.074 0.0 0.0
