bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 38.367102115495115 0.1690399300774868 0.9038454608995133 0.06581955357849154 58598.09537036153 0.9914532559121421 None None -0.16306861605737877 0.10874368920560638 0.328 0.327 0.999 0.999
c-o  True F19 6 38.36754861920818 0.16042278163370116 0.9038367391616126 0.06581900641785106 58598.09560111939 0.9914261140015208 None None -0.23945898405731264 0.1083089613100498 0.328 0.327 0.999 0.999
c-o-ztfg  True F19 6 38.154866866126625 0.12161577572653699 0.9040818144914736 0.05892449068819309 58599.26080532499 0.6246660195008182 None None -0.053562617162277885 0.07250491314952243 0.352 0.351 0.999 0.999
c-o-ztfg-ztfr  True O94 0 38.106235530269814 0.11261229975053354 0.9125217569416637 0.060847266357885975 58599.05146784121 0.5842748918323323 None None 0.024085403007925832 0.0724984057574461 0.381 0.38 1.0 1.0
c-o-ztfg-ztfr  True F19 6 38.12725543652481 0.10734847167362863 0.9130281516667045 0.05759590011437879 58599.07124546117 0.5561207165269053 None None -0.0371544358035356 0.06981916222605718 0.395 0.394 0.999 0.999
c-o-ztfr  True F19 6 38.23546540446105 0.12359893757059626 0.9031054505114553 0.05645865052115414 58598.70101465265 0.6005070217717794 None None -0.14790568553435215 0.09048400656588805 0.357 0.356 1.0 1.0
c-ztfg-ztfr  True F19 6 38.111758736407914 0.1291951676665825 0.912677878206729 0.08728673150182856 58599.256138725934 0.6465631978877038 None None -0.027269683176194808 0.07559764208610899 0.506 0.504 0.932 0.933
J-c-o 1D3 True O94 0 38.03682720344261 0.12155379865399002 0.9278116785500073 0.07808427543433566 58600.22199092759 1.0151593856774594 None None 0.09264306319758052 0.08084917320753196 0.795 0.773 0.754 0.781
J-c-o 1D3 True F19 6 38.07037382959331 0.10733336662021951 0.9248459521308282 0.06809796889214575 58600.284380654164 0.879170930767524 None None 0.027884356560965683 0.07625348595985512 0.796 0.774 0.752 0.779
J-c-o 2D True O94 0 38.17411768131917 0.1315209159270734 0.8921377621471882 0.07850434504857569 58599.33106710227 0.9692196506276078 None None -0.03723184501742717 0.08586684076759313 0.594 0.582 0.945 0.951
J-c-o 2D True F19 6 38.18613087540121 0.11959133717614512 0.8907803373314787 0.07012830985058074 58599.37579494538 0.8548341204979492 None None -0.1001130180736267 0.07809950073883137 0.595 0.583 0.944 0.951
J-c-o-ztfg 1D3 True F19 6 38.06741528893977 0.10341474466501277 0.9265736386722674 0.06266849690992829 58600.058458816544 0.6886215718854822 None None 0.016147676630422873 0.068143672938924 0.711 0.692 0.873 0.89
J-c-o-ztfg 2D True F19 6 38.1720882639502 0.11215178566409569 0.8951479619845448 0.06297979122181326 58599.52561829899 0.6465782671339839 None None -0.06547507892055839 0.06885161918643913 0.525 0.515 0.983 0.986
J-c-o-ztfg-ztfr 1D3 True O94 0 38.022607376964714 0.11360454973718799 0.9346552477345021 0.06882761179205474 58599.67766929882 0.6611384555281506 None None 0.09142314475240063 0.0693643976424351 0.72 0.705 0.9 0.913
J-c-o-ztfg-ztfr 1D3 True F19 6 38.05386786993906 0.10277094021504626 0.929706997487125 0.06252627275922683 58599.69348316243 0.6066314592728131 None None 0.024933484843621755 0.06759598883149512 0.711 0.696 0.908 0.921
J-c-o-ztfg-ztfr 2D True F99 0 38.12389356465615 0.10975755831887891 0.9040387375041015 0.06372061349011462 58599.26107228215 0.6010909061398524 None None 0.012529713780736388 0.07090835966391641 0.523 0.514 0.993 0.994
J-c-o-ztfg-ztfr 2D True O94 0 38.11937004522898 0.10622915308959145 0.9038092159204346 0.0595553665748928 58599.2549996654 0.5729795117364902 None None 0.013428337278130562 0.06932704895604655 0.521 0.512 0.994 0.995
J-c-o-ztfg-ztfr 2D True O94 1 38.1436578681736 0.1079973902813986 0.9030347352623598 0.05940772650873535 58599.263790711004 0.572513956387439 None None 0.004184802415141099 0.06859751338355577 0.521 0.512 0.994 0.995
J-c-o-ztfg-ztfr 2D True O94 2 38.13763767784561 0.10699288654931416 0.9019938437623818 0.058907015572746566 58599.23393166975 0.5746279440608497 None None 0.0068757733874011 0.06919388565778838 0.519 0.51 0.994 0.995
J-c-o-ztfg-ztfr 2D True O94 3 38.12996527699662 0.10815059220866693 0.9047390954917391 0.05965899268669318 58599.27058950723 0.5728614235509758 None None -0.005622358988194801 0.0686909063917697 0.52 0.512 0.994 0.995
J-c-o-ztfg-ztfr 2D True O94 4 38.12822032644631 0.10799624599494481 0.9030641870604694 0.05947390299912951 58599.264472206254 0.5722619999331219 None None -0.006457636168026252 0.06861959287869564 0.521 0.513 0.993 0.994
J-c-o-ztfg-ztfr 2D True O94 5 38.15224126449776 0.10922080955631107 0.9027028680865106 0.058875600246128895 58599.24891374145 0.5736312265020709 None None -0.0059741991403374885 0.06855168413050937 0.516 0.507 0.994 0.995
J-c-o-ztfg-ztfr 2D True F19 6 38.13789685295405 0.10536508196680051 0.9033685986805744 0.05996248850037599 58599.25684966768 0.5718765542245339 None None -0.04783263790859902 0.06806509742985531 0.529 0.52 0.992 0.994
J-c-o-ztfg-ztfr 2D True F99 6 38.13481838725862 0.10880405935055673 0.903653190851077 0.06413191115481039 58599.225250419244 0.6014355486070447 None None -0.04704269463163751 0.06977971906736456 0.531 0.522 0.992 0.993
J-c-o-ztfg-ztfr 2D True O94 6 38.13835630874547 0.10987951857658981 0.9033473087551696 0.06402060429660948 58599.249630631995 0.6044535878817966 None None -0.04831851138860186 0.06988635377035216 0.529 0.52 0.992 0.994
J-c-o-ztfg-ztfr 2D True O94 7 38.134239599608 0.1050649192616045 0.9060667333470082 0.06058319645546299 58599.23969681789 0.5745941912821325 None None -0.05606052151753186 0.06860442944841255 0.541 0.533 0.991 0.992
J-c-o-ztfg-ztfr 2D True O94 8 38.10708286433342 0.10122999339190611 0.9058375504748953 0.0606087045231577 58599.2325708519 0.5731997385305773 None None -0.055964474564861054 0.06979069995045782 0.542 0.533 0.99 0.992
J-c-o-ztfg-ztfr 2D True O94 9 38.13070182587447 0.10435256375521956 0.9059332915221014 0.06049479612219642 58599.24315842706 0.5722933886778729 None None -0.05608518372097802 0.06885448926011423 0.54 0.531 0.991 0.992
J-c-o-ztfg-ztfr 2D True O94 10 38.17800052381071 0.1029351871978873 None None 58598.915761635195 0.6272198181284923 1.10019498348408 0.0884647122738369 0.053417701215112405 0.06840925859936646 0.561 0.543 0.988 0.991
J-c-o-ztfg-ztfr 2D True O94 11 38.190327100621836 0.10326831669902001 None None 58598.904898001354 0.6275573198911168 1.1002278548612878 0.08845451030223485 0.04911757962282003 0.06824971719555478 0.563 0.544 0.987 0.991
J-c-o-ztfg-ztfr 2D True O94 12 38.214765118887044 0.10284903737079656 None None 58598.89910258297 0.6268125260564661 1.0999976714389994 0.08815648323714066 0.049053449239232716 0.06826830251209311 0.563 0.545 0.987 0.991
J-c-o-ztfg-ztfr 2D True O94 13 38.17639387983601 0.10469872633056838 None None 58598.93663896321 0.6257259130261387 1.1005226122157858 0.0884173512512404 0.0220668812332801 0.06811396945349651 0.561 0.543 0.988 0.991
J-c-o-ztfg-ztfr 2D True O94 14 38.172596244945154 0.10214615723401696 None None 58599.0733241653 0.6350604137465006 1.0963521272302421 0.09603813547219679 0.026069905923423137 0.06919662166774324 0.581 0.562 0.982 0.986
J-c-o-ztfg-ztfr 2D True O94 15 38.224191154874454 0.10482087687974004 None None 58598.90920723698 0.6245834064317966 1.1000691152882527 0.08780139023030785 0.02088687526114675 0.06784057114961678 0.563 0.545 0.987 0.991
J-c-o-ztfr 1D3 True F19 6 38.03609438393996 0.10595056949708875 0.9283189722888804 0.06540316564885662 58599.65739410932 0.6826844997123961 None None 0.03394607578086302 0.07360609497815289 0.74 0.721 0.864 0.884
J-c-o-ztfr 2D True F19 6 38.15144711763012 0.11164470946214965 0.897049625846748 0.06246487888799538 58599.1058398975 0.6389670952282496 None None -0.08537006163128044 0.07674849690289076 0.54 0.53 0.987 0.989
J-c-ztfg-ztfr 1D3 True F19 6 38.05775902880066 0.1276400369667989 0.9373641187950351 0.09950299543941964 58599.81191451218 0.8292957520620837 None None 0.02744444139028005 0.07364215256569936 1.197 1.166 0.257 0.284
J-c-ztfg-ztfr 2D True F19 6 38.15231863805514 0.12825248146139023 0.8977880238232182 0.0895038486054928 58599.44902926403 0.7154842429498176 None None -0.05651520146826687 0.07314751207124952 0.784 0.766 0.713 0.734
J-o-ztfg-ztfr 1D3 True F19 6 38.039237866379175 0.10687254608875663 0.9303839782380566 0.06598122861084901 58599.63532035638 0.6324584904279229 None None 0.029232156371560934 0.06921143042373781 0.704 0.686 0.896 0.912
J-o-ztfg-ztfr 2D True F19 6 38.09487487658401 0.11045294658758753 0.8937345041882685 0.06439635392142878 58599.19325414885 0.5909231501793543 None None -0.03052507348252549 0.06962598633653444 0.538 0.525 0.986 0.989
J-o-ztfr 1D3 True O94 0 37.95576840440123 0.1345360381487782 0.9361372560299815 0.07893929984548406 58599.583008525224 0.8426955032841534 None None 0.15379845386278382 0.09217388840380654 0.776 0.754 0.798 0.826
J-ztfg-ztfr 1D3 True O94 0 38.00587657735037 0.1598280978812371 0.9421121567175217 0.12189834639471601 58599.68592492679 0.9346354383826818 None None 0.09028930076381682 0.07730728553722631 1.245 1.194 0.245 0.28
J-ztfg-ztfr 1D3 True F19 6 38.03615728103701 0.14480320830921747 0.9413401975318096 0.11941820435431962 58599.69696959065 0.9164972467142889 None None 0.030768761954778737 0.07763289570249994 1.244 1.194 0.246 0.281
