bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 58596.633631445875 2.7214630997814657 9.443187941955655 1.7087420681418888 -1.5670449880830262 2.2297081890458346 0.45050563014645995 2.757442002003237 0.264 0.264 0.768 0.768
c-o  True F19 58598.6048416174 0.9747385405358565 8.111697036639097 0.17053958709712527 -1.2566399595916249 0.7798107431238099 -0.23568964983996113 0.13899173594261657 0.546 0.532 0.97 0.975
c-o  True F99 58598.61881351282 0.9637198994443575 9.170342065583304 0.16816465994516483 -1.262718916391342 0.7696945739574124 -0.24650006415792244 0.13717128593596645 0.528 0.528 0.976 0.977
c-o-ztfg  True F19 58599.51050560895 0.6633129495389088 8.31860345359291 0.06076345424696442 -1.081445122958085 0.7830974832713946 -0.0779723460963073 0.06698029800424739 0.549 0.535 0.978 0.982
c-o-ztfg  True F99 58599.729849533025 0.6208985283789387 9.37031744627059 0.06046179007250294 -1.5748653235223502 0.8103143767262704 -0.08020921453342078 0.06592759345065681 0.448 0.446 0.995 0.996
c-o-ztfg-ztfr  True F19 58599.21195125005 0.5260557098813025 8.265029976456812 0.06005075042266948 -1.2811109325663206 0.7378159128088471 -0.07434129774538548 0.055906368759451895 0.495 0.481 0.997 0.997
c-o-ztfg-ztfr  True F99 58599.213360828944 0.5175574671045252 8.265154463783535 0.05946640888561127 -1.294631336378413 0.7282994866195149 -0.0759404402161658 0.05519523392489358 0.495 0.492 0.997 0.997
c-o-ztfr  True F19 58598.627741727585 0.6812731706949204 8.108252203488057 0.14949750640939377 -1.451348643983306 0.7329188562556487 -0.21437212437223258 0.11776084668064331 0.508 0.491 0.993 0.995
c-o-ztfr  True F99 58598.63962044577 0.6668185794344212 9.16646504250293 0.14683858359271174 -1.4639164872610997 0.7221667720672337 -0.22523492570623443 0.1155840047231747 0.483 0.481 0.996 0.996
c-ztfg  True F99 58598.96143517017 1.0980368246352192 9.412726204767644 0.07157081326835776 -0.5180524303479306 1.1773983188083532 0.08218123324044785 0.22908513734593677 0.429 0.428 0.86 0.861
c-ztfg-ztfr  True F19 58598.98981579642 0.6908037764247357 8.327205734173013 0.06516619163913807 -0.621806947025995 1.094072678201968 -0.047035081420870276 0.06550705400149026 0.534 0.516 0.923 0.934
c-ztfg-ztfr  True F99 58598.98188140988 0.6829882665656274 9.384707100665125 0.06455656343901976 -0.6142042363013185 1.0816151338740527 -0.05902054489864708 0.06464528350711479 0.459 0.455 0.961 0.962
c-ztfr  True F99 58598.09725227727 0.8819468875666366 9.173074575964215 0.17545320745080334 -0.9196390099243235 1.067539936986791 -0.21469424798264367 0.13572605082401776 0.396 0.394 0.959 0.959
J 1D3 True F99 58607.07127398017 3.738473604406339 7.672580570274459 76.66464612077614 -19.04271567029387 21.471114187340916 -0.04697766954680653 28.20803936954454 -1 -1 -1 -1
J 2D True F99 58603.77208328649 3.2417753044621604 -317.493190162982 53.90337113703312 23320.653296167082 4760834.126642307 -131.85497951320644 116.49232217970375 -1 -1 -1 -1
J-c 1D3 True F99 58598.27452677466 0.9920910774440074 8.25776060260496 0.15516750518072228 -0.15439661113265918 1.402623553307194 0.019772648515369442 0.0564556471336472 3.278 3.268 0.006 0.006
J-c 2D True F99 58598.86785619344 1.0593321833248512 8.268331288881509 0.14388258820922986 0.08692207080534087 1.3987286622478063 -0.04241795006734454 0.06716963377833698 3.262 3.259 0.006 0.006
J-c-o 1D3 True F99 58600.146452701214 0.7908688224582192 8.328947747153741 0.10003097732371195 -1.4551878320278115 0.8668472079247933 -0.015428262614183928 0.05647342833535802 1.075 1.05 0.359 0.392
J-c-o 2D True F99 58599.784931609305 0.7040178970650856 8.254413029645946 0.10523564912696999 -1.559103959990237 0.8555311913958356 -0.0769471706409734 0.06462736486532704 0.997 0.987 0.469 0.484
J-c-o-ztfg 1D3 True F99 58599.98914995521 0.6326248749584212 8.305312550244714 0.05741601187655343 -1.467377810693344 0.7926965310355282 -0.023868609788730774 0.040989573562494795 0.957 0.929 0.535 0.582
J-c-o-ztfg 2D True F99 58599.8042947011 0.5784255910259005 8.283280660601744 0.057218343509309294 -1.466958166414172 0.8002191600941441 -0.0626723477523732 0.04505824547149063 0.879 0.871 0.664 0.676
J-c-o-ztfg-ztfr 1D3 True F99 58599.43700234757 0.48050867158946187 8.31380084543805 0.05553645916644602 -1.264021500548331 0.7206618218277488 -0.015358337739610794 0.039963182459651775 0.917 0.879 0.625 0.693
J-c-o-ztfg-ztfr 2D True F19 58599.30884246708 0.4829574258042986 8.277608694346752 0.05807208419739042 -1.2424671906307165 0.7368221570263854 -0.060783755381918644 0.049686680571629054 0.824 0.665 0.784 0.953
J-c-o-ztfg-ztfr 2D True F99 58599.31021152503 0.48288809987213127 8.320910751378555 0.058136706103575346 -1.2444123769241857 0.7367011457036993 -0.05009123519860222 0.04975657915566236 0.855 0.692 0.734 0.935
J-c-o-ztfg-ztfr 2D True O94 58599.310252382216 0.4828670778123643 8.32091331055581 0.05813474783394162 -1.2444274815027843 0.7366884926419008 -0.05008797637828449 0.04975282560225066 0.858 0.694 0.729 0.933
J-c-o-ztfr 1D3 True F99 58599.34243996623 0.5395573109952794 8.343086583009148 0.0912670776208674 -1.2035975025574657 0.7724413444685874 0.0030881169169355563 0.05735553083901072 0.996 0.966 0.476 0.529
J-c-o-ztfr 2D True F99 58599.231575576414 0.49573414956341416 8.253347925433395 0.09862362259887883 -1.2703235206637227 0.7620362778506671 -0.07317532125232692 0.06672179782305585 0.905 0.895 0.637 0.654
J-c-ztfg 1D3 True F99 58599.10704519556 0.9371592493004799 8.318115558531577 0.06667334745896596 0.026165652081420833 1.1183819756708706 0.011727442180802378 0.047889036273732366 1.961 1.953 0.04 0.04
J-c-ztfg 2D True F99 58599.77681897268 0.894574234439163 8.294802542868698 0.06597736825611232 -0.8438230983281492 1.3401014350695497 -0.05091582051897678 0.055317934882205023 2.006 1.99 0.042 0.043
J-c-ztfg-ztfr 1D3 True F99 58599.1746792772 0.6171752793225742 8.327416315780436 0.06202105995155911 -0.4929800246702505 1.076309134401366 -0.00155023894492693 0.04190619120679825 1.342 1.298 0.15 0.177
J-c-ztfg-ztfr 2D True F99 58599.16451102549 0.5683000517150818 8.303656812582565 0.06150415900363077 -0.4394210397415712 1.0762578214281704 -0.04397892251878508 0.04588228704085736 1.207 1.201 0.244 0.25
J-c-ztfr 1D3 True F99 58598.91766545102 0.7415129706345924 8.370371845356441 0.10900801692093741 -0.10003659267574294 1.3136266398926495 0.022423099492512893 0.059775477005493065 1.651 1.611 0.058 0.068
J-c-ztfr 2D True F99 58598.9541431466 0.6464196926857412 8.288508611958607 0.11306080416343962 -0.3338563497919156 1.2577906905290628 -0.050384562213537265 0.06835370370079386 1.509 1.497 0.099 0.103
J-o 1D3 True F99 58599.31488342296 0.9455641770826263 8.549203315558044 0.18979808091085545 -1.5774579944485896 1.0427245081712673 0.10963596065516157 0.10548588769620941 1.176 1.161 0.254 0.269
J-o 2D True F99 58599.436497670045 0.7960220746067499 8.406785534528538 0.19987802138291214 -1.6394092263253566 1.030163306433016 0.008831826308813417 0.1140838988257653 1.135 1.128 0.296 0.304
J-o-ztfg 1D3 True F99 58599.88306566527 0.7334959676939192 8.320623227724539 0.06408643531332435 -1.5460741647289264 0.9453297320536358 -0.014661588364691612 0.04582847908284174 1.083 1.048 0.349 0.395
J-o-ztfg 2D True F99 58599.67626123056 0.6220537792284802 8.300502431227269 0.06352156613696838 -1.6029829579632646 0.9406692123061845 -0.05244396365231817 0.04808883425360881 0.982 0.973 0.491 0.503
J-o-ztfg-ztfr 1D3 True F99 58599.37450434142 0.481145342854707 8.321298683516204 0.06118920418282221 -1.9405151580471267 0.8584456591170911 0.00210767247768205 0.04320052320387564 0.93 0.896 0.588 0.648
J-o-ztfg-ztfr 2D True F99 58599.31865916365 0.453802614033424 8.290669593073053 0.06086845185751187 -1.901616233617321 0.8694370698571219 -0.03881985756496657 0.04592283055989333 0.837 0.831 0.743 0.752
J-o-ztfr 1D3 True F99 58599.08020343889 0.5698608234928614 8.453913788403465 0.12107569679026635 -1.9295699405882032 0.9256652406351561 0.08529464789663055 0.07415840041996125 0.956 0.944 0.538 0.558
J-o-ztfr 2D True F99 58599.15809322233 0.5219494601983754 8.333135384303318 0.13792085343771593 -1.9809196528826942 0.9307525166035714 -0.007000483484206722 0.08979578865732266 0.923 0.918 0.592 0.601
J-ztfg 1D3 True F99 58600.43451411027 1.5396268391530172 8.354974001095819 0.0889599408697956 1.1231006594381363 2.6853302483881514 -0.03269548068334914 0.06459609802862308 4.972 4.956 0.002 0.002
J-ztfg 2D True F99 58599.8552729397 1.0902248907984713 8.32896378745459 0.08380899102001688 0.11266743259476739 2.483561592362358 -0.054762282944736354 0.05953992861952559 4.834 4.82 0.002 0.002
J-ztfg-ztfr 1D3 True F99 58599.227735147535 0.5824659446068133 8.310733303641285 0.07646182647097167 -1.9249707385701464 1.938282257175307 0.014024378603813453 0.045917688387429094 1.701 1.651 0.06 0.071
J-ztfg-ztfr 2D True F99 58599.2468483508 0.539514147021836 8.289407838646081 0.07482658967919308 -1.767084457317646 1.9282657713076208 -0.029446717073158463 0.04955005062516109 1.539 1.529 0.102 0.105
J-ztfr 1D3 True F99 58598.714716915885 0.8828830943961495 8.453141672102713 0.22368949351648898 -1.2348653474363722 4.10212762918212 0.09112161805185798 0.08518670169497121 2.332 2.312 0.017 0.018
J-ztfr 2D True F99 58599.00915465881 0.6251864009490521 8.288761106483204 0.21552141553374904 -2.498370667522099 3.6052622635944913 -0.007255840952635229 0.09425604841942822 2.257 2.243 0.021 0.022
o  True F99 58599.33743083323 1.07083300470933 9.99545690028577 3.3228166685339127 -1.9928862902542146 1.0748729504277656 0.3646677723362679 2.325797233536584 0.548 0.547 0.947 0.948
o-ztfg  True F99 58599.5182223141 0.6943531149440488 9.385547473351531 0.06548025942924322 -1.7887485900126046 0.9473894034820588 -0.07328103607111291 0.06756978912194256 0.466 0.465 0.988 0.988
o-ztfg-ztfr  True F19 58599.20343016792 0.5150260332622448 8.318117484282373 0.06556283975357792 -2.049753159414892 0.8877603089629801 -0.03904781271484897 0.05915275059043044 0.478 0.457 0.995 0.997
o-ztfg-ztfr  True F99 58599.20343632657 0.5025212022921308 9.375362467864248 0.0648695973333914 -2.072109754733206 0.8701215208479341 -0.05054365419154385 0.05826814004014812 0.445 0.442 0.998 0.998
o-ztfr  True F99 58598.850075489674 0.6642540751751923 8.889999848808804 0.862421591147114 -2.207360243237533 0.9401545515483446 -0.41943968615923544 0.6753956123941076 0.472 0.471 0.993 0.993
ztfg  True F99 58599.04384930023 1.1593793042943212 11.382957025579387 11.159791731830973 -2.5920608115333237 3.780531822698134 5.226351100472857 19.814375573632805 -1 -1 -1 -1
ztfg-ztfr  True F19 58599.14515356658 0.5682531149462247 8.307567612626222 0.07550945803765258 -2.722773679995397 2.0329084805014808 -0.0071863271361263786 0.07449992940220526 0.438 0.408 0.915 0.932
ztfg-ztfr  True F99 58599.13114608802 0.5475097478758217 9.36379591940326 0.07432899997260828 -2.7891921024937094 1.9866205402156774 -0.019180408913777626 0.07264533680218142 0.344 0.341 0.96 0.962
ztfr  True F99 58598.84344578668 0.6350372611179639 9.241152184026564 2.2721472451250766 -6.079431183863274 2.9780749874090473 -0.0027961048377660998 1.8064977738990888 0.203 0.197 0.962 0.964
