bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 58615.88414963508 1.4917707906045492 19.280850687177924 33.673863174605415 -1.5678310137440419 0.9973755661724631 9.625915790518034 27.071936743543933 -1 -1 -1 -1
c-o  True F19 58617.742172887054 0.5467864224079356 7.81117958936638 0.14275234102350753 -0.4100078783621034 0.5793275145568556 0.08389807950415336 0.10851685336717043 0.333 0.316 0.996 0.997
c-o  True F99 58617.74950630296 0.5243789058952141 8.895050280461174 0.13669373729938644 -0.4217357393683616 0.5569246169508626 0.07955492997110203 0.10426572081832684 0.327 0.326 0.997 0.997
c-o-ztfg  True F19 58617.461206577034 0.3438706391382245 7.723048232793081 0.05790464540286216 -0.6323055033899512 0.35663024750926575 0.024243110080833956 0.052085128355064396 0.357 0.329 0.999 0.999
c-o-ztfg  True F99 58617.47062241442 0.327917383948253 8.808758965351222 0.05673726576444059 -0.6437751563336245 0.3421961500926498 0.02094517901105887 0.05085553944633983 0.348 0.343 0.999 0.999
c-o-ztfg-ztfr  True F19 58617.408922862094 0.26969021819492234 7.722259621431058 0.05424917443345732 -0.5172669614948644 0.2930902071471519 0.036711031299879 0.04380781779029779 0.295 0.266 1.0 1.0
c-o-ztfg-ztfr  True F99 58617.39598210163 0.24848987818714957 7.7261436270622035 0.052661992171576855 -0.5096492465213452 0.27809486874732964 0.039465944781873125 0.04244990880564056 0.294 0.288 1.0 1.0
c-o-ztfr  True F19 58617.513371959256 0.33980927055254445 7.850257098617267 0.12468949625080275 -0.36039333291566894 0.38241866618587256 0.11970639972296633 0.09518713955122089 0.277 0.251 1.0 1.0
c-o-ztfr  True F99 58617.49293358988 0.3121286314940711 8.941218023863014 0.11802014480391763 -0.3503742322872441 0.3634341680260744 0.12033215319695152 0.09035483440017847 0.267 0.263 1.0 1.0
c-ztfg  True F99 58617.517579546045 0.38875599430122115 8.774516424538735 0.06577539861461348 -0.6800366179102848 0.399922190690747 -0.08561832343060903 0.17348209473110549 0.503 0.497 0.855 0.859
c-ztfg-ztfr  True F19 58617.44268859428 0.2947808635042372 7.73295361545685 0.05597808757053821 -0.5624255187988634 0.3191885117613206 0.04236094206163697 0.04963912859855415 0.359 0.307 0.997 0.999
c-ztfg-ztfr  True F99 58617.42119747026 0.269349317055157 8.822949092968628 0.05412370942136516 -0.5492455321869383 0.3017452064271322 0.042551681537095626 0.04779755781640898 0.342 0.332 0.998 0.998
c-ztfr  True F99 58617.547135496614 0.36114783714068516 8.94962253503169 0.1297385644286281 -0.3643995760666524 0.42732278444104305 0.13566021506895753 0.10618888176084502 0.29 0.286 0.993 0.994
J 1D3 False F99 58620.01815528008 -1.0 7.62763037076577 -1.0 -19.89877038551451 -1.0 0.0589686358656038 -1.0 None None None None
J 2D False F99 58619.79792449354 -1.0 7.701122224836841 -1.0 -23.349495242986606 -1.0 0.13390162327045052 -1.0 None None None None
J-c 1D3 True F99 58618.701921170505 0.6710439647983457 7.593143290290037 0.14553916915261067 -0.2810815387427451 0.9359455550332761 -0.14316718288927233 0.07108269332651011 0.25 0.248 0.861 0.863
J-c 2D True F99 58618.689635224786 0.6701127824487747 7.5820393525102165 0.14514349248315336 -0.29300710388882495 0.9294977092065102 -0.16303313859342536 0.07384583938518664 0.277 0.275 0.842 0.843
J-c-o 1D3 True F99 58617.96704465279 0.53879065638791 7.622372668388875 0.09901836414925129 -0.4614052554605286 0.5501027033442979 -0.08199429488024301 0.06053873835009022 0.586 0.487 0.931 0.976
J-c-o 2D True F99 58617.97318920183 0.5381486689452033 7.610137446302824 0.10048922715786439 -0.4747001506779467 0.5490228700960297 -0.09355083941648072 0.06297842240651932 0.607 0.526 0.917 0.962
J-c-o-ztfg 1D3 True F99 58617.40689916298 0.32863503864404253 7.676304768539 0.05134212742344976 -0.6456507978556538 0.3402618110752662 -0.038029068702813966 0.03484494820973873 0.515 0.429 0.986 0.997
J-c-o-ztfg 2D True F99 58617.396409563735 0.32952693692632085 7.672763847551227 0.05145136789975336 -0.649349107996571 0.339914389842165 -0.04447014639155965 0.03627983791314921 0.531 0.457 0.982 0.995
J-c-o-ztfg-ztfr 1D3 True F99 58617.333286201094 0.24928041586688368 7.679424295389687 0.045554129242242086 -0.5004795659084512 0.27710777655978597 -0.01884346702076589 0.031172749789707615 0.566 0.403 0.99 1.0
J-c-o-ztfg-ztfr 2D True F19 58617.344278729535 0.270736285815641 7.678779929098809 0.04813046079988812 -0.5069259789964082 0.292175296711239 -0.01778735250654053 0.03445801940852459 0.566 0.373 0.989 1.0
J-c-o-ztfg-ztfr 2D True F99 58617.34455588134 0.27072165158461814 7.693925444453074 0.04814589630459618 -0.507129259497348 0.2921786607396721 -0.013953263287256861 0.03447106660873663 0.57 0.378 0.989 1.0
J-c-o-ztfg-ztfr 2D True O94 58617.34453951591 0.27071369754937463 7.6939225784978085 0.04814455306278435 -0.507119444676096 0.2921733463059254 -0.013956076570225979 0.03446946042717757 0.572 0.38 0.988 1.0
J-c-o-ztfr 1D3 True F99 58617.57757552664 0.32070494357148993 7.644458336186952 0.07185593888335401 -0.3248228080248925 0.3649704242298031 -0.04931424021471768 0.04727432697907427 0.572 0.436 0.978 0.998
J-c-o-ztfr 2D True F99 58617.579334558366 0.3211623443507198 7.635771113600017 0.07379742768418043 -0.32743827234701 0.36491947266771835 -0.05682994447649156 0.04969563898919948 0.571 0.465 0.979 0.997
J-c-ztfg 1D3 True F99 58617.548010686645 0.3781488763839522 7.677568691993798 0.05608284408669356 -0.6841748285312277 0.38608240217492185 -0.06961858766469385 0.03971222745606039 0.455 0.45 0.931 0.934
J-c-ztfg 2D True F99 58617.53379551452 0.37878347111287675 7.673657422394523 0.05592077420018671 -0.6780183299242093 0.38597224888106096 -0.08728532562975935 0.04314992282044969 0.45 0.444 0.934 0.936
J-c-ztfg-ztfr 1D3 True F99 58617.35839791875 0.27141394338380026 7.677745370636369 0.04715602709265248 -0.5095910083459383 0.301228710336815 -0.026204236914869172 0.03254240892103277 0.725 0.509 0.831 0.977
J-c-ztfg-ztfr 2D True F99 58617.35244419523 0.2720747211333482 7.67489286362181 0.04741549472333213 -0.5097846297170407 0.3011600697438636 -0.03047127841670337 0.03381275548017888 0.724 0.551 0.832 0.962
J-c-ztfr 1D3 True F99 58617.69928933365 0.3713201521902034 7.640676976432459 0.07669535484493502 -0.2630399147573789 0.43103729128004564 -0.06198383120964225 0.04957367861392617 0.825 0.616 0.658 0.874
J-c-ztfr 2D True F99 58617.703609682045 0.37226861689506685 7.630357087247404 0.07842592590348407 -0.26334590848808903 0.43112713359086063 -0.07180341500206855 0.05230471173273545 0.843 0.672 0.637 0.824
J-o 1D3 True F99 58617.26019779577 0.6581951801949947 7.520674714695778 0.14224399990764705 -0.22387095602047807 0.7422241860863112 -0.11919023858698953 0.07991594968027022 0.307 0.305 0.997 0.997
J-o 2D True F99 58617.24172214631 0.6562395178216748 7.472235319569105 0.14925278542169537 -0.2301306526962921 0.7428458745433749 -0.15294304893011423 0.08629842369825788 0.307 0.305 0.997 0.997
J-o-ztfg 1D3 True F99 58616.96492793303 0.3967304506844019 7.673999708742626 0.05517269617185236 -0.549819326050343 0.3904887538747654 -0.028733141572123963 0.03572195132657242 0.37 0.307 0.998 1.0
