bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.94668454221357 0.2061192809820202 0.7787365139352083 0.08279119277110863 58623.64175351842 0.7143941657216238 None None -0.09429880532262207 0.22051750091972352 0.37 0.37 0.991 0.991
c-o  True F19 6 37.95432716845281 0.17220218497158585 0.7787262363710292 0.0827871612723118 58623.6420407937 0.714361254404486 None None -0.11762147141379505 0.18652222088615283 0.37 0.37 0.991 0.991
c-o-ztfg  True F19 6 37.994484619520414 0.10798886003517429 0.8188567553073481 0.045469892621226554 58623.92159120787 0.42581436906022685 None None -0.10463128804850613 0.07786546207568316 0.327 0.327 0.999 0.999
c-o-ztfg-ztfr  True O94 0 38.012631019259246 0.10154295471219327 0.816269632176124 0.04179572852500681 58623.93266517725 0.40215539903902736 None None -0.08233923029513532 0.08379083044274756 0.292 0.291 1.0 1.0
c-o-ztfg-ztfr  True F19 6 37.99723881573397 0.09495052512942839 0.8152520657566057 0.0399556396186298 58623.94312683868 0.3916208509320838 None None -0.10857227624668866 0.0741593991176964 0.286 0.285 1.0 1.0
c-o-ztfr  True F19 6 37.96964602689881 0.14353304117306526 0.7749820738017795 0.055046453171762995 58623.745347964585 0.5028893243660026 None None -0.12871308525147707 0.1400812719682872 0.316 0.315 1.0 1.0
c-ztfg-ztfr  True F19 6 38.007650995790364 0.10329755088914587 0.8240997519117943 0.04724548434911134 58623.82497224664 0.4272446214845934 None None -0.10773196731294434 0.08416933512086801 0.353 0.351 0.983 0.984
J-c-o 1D3 True O94 0 37.98082286806478 0.10483336022251669 0.7632512882450858 0.07300370755567942 58623.450669960526 0.5769377296338606 None None -0.14910084372924493 0.132654923459694 0.358 0.357 0.994 0.994
J-c-o 1D3 True F19 6 37.952654652056275 0.10081018223608204 0.7641235982307721 0.06200366311246459 58623.4933646864 0.517005304177453 None None -0.14422029800049063 0.08446694018177002 0.354 0.353 0.994 0.995
J-c-o 2D True F19 6 38.008823992128406 0.10732114812018877 0.7534782598641866 0.06295257894336813 58623.37294600178 0.5293421978983847 None None -0.20012300591582374 0.0927908130152802 0.365 0.364 0.993 0.993
J-c-o-ztfg 1D3 True F19 6 38.012060323059 0.09045813283499092 0.8197632719424657 0.04563087275728569 58623.87391678802 0.42278399935935906 None None -0.11480578024455682 0.0700587385342349 0.328 0.327 0.999 0.999
J-c-o-ztfg 2D True F19 6 38.0578076709676 0.09653687560648368 0.8197728796312754 0.04648522447464 58623.83296378673 0.4291345506541807 None None -0.1387367511945503 0.07234728744196015 0.352 0.35 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True O94 0 38.00822393004496 0.08775910304464975 0.8172127478261009 0.03905749094253761 58623.922892208495 0.3879460421011623 None None -0.07945250390105037 0.07216942312112894 0.279 0.278 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 1 38.040586780961846 0.08920216349087647 0.8137531430346883 0.038700684456822794 58623.92555929673 0.38759417510057376 None None -0.0873537656556516 0.07074440134505222 0.28 0.279 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 2 38.01929655529848 0.0879471197302293 0.8139794253423256 0.03810914923897616 58623.92042346814 0.38845483367277045 None None -0.08827195458347525 0.07055385173348988 0.282 0.281 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 3 38.01757859820168 0.08859486441128629 0.8213088148471677 0.03890616334937058 58623.93495133509 0.3884702564855858 None None -0.08413729253731442 0.07043199007166025 0.276 0.275 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 4 38.02540327096855 0.08908474156131464 0.8169985141283264 0.03871437751480207 58623.919399059116 0.3877606607712631 None None -0.09293295595606313 0.07040436298814844 0.276 0.275 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 5 38.035011797970306 0.08851778747784098 0.8192372243193419 0.03784609375894212 58623.930086795954 0.3892554583113861 None None -0.0884021761715714 0.06909133720254221 0.278 0.278 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True F19 6 37.998162275252916 0.0883491190782569 0.8092773640297143 0.03889822362305028 58623.907380262135 0.3874911824556108 None None -0.1208603060206904 0.06690933307536237 0.286 0.285 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True F99 6 38.005683687293676 0.08987012797742094 0.8120133714754199 0.04228990365385092 58623.84025515789 0.3994416641178852 None None -0.12446986261573166 0.07142845196606334 0.318 0.314 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 6 38.00590805379033 0.08956167787893518 0.8107641055683958 0.040700771253778883 58623.891543742575 0.3959590683396599 None None -0.12330026373545176 0.06903895291964793 0.287 0.285 1.0 1.0
