bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 58627.41849252691 1.7026727829129025 9.984746874995915 2.643176149420816 -1.818301956929277 1.053182748447548 2.9518689480592832 2.5551683460555505 -1 -1 -1 -1
c-o  True F19 58630.42015272532 0.28352485855574894 6.415719486058081 0.06830810717038291 0.7192620704796295 0.24655118232315498 -0.013845432493938787 0.053025945670358794 1.525 0.824 0.058 0.692
c-o  True F99 58630.466516610744 0.22861360673912698 7.469454998396747 0.057323544820405706 0.7590655350588617 0.2094254188274507 -0.025219186609208903 0.045526323941567755 0.966 0.929 0.504 0.553
c-o-ztfg  True F19 58630.57859291287 0.18646563888684178 6.35994759920662 0.034912850022947806 0.646164207838299 0.17704571951781245 -0.053190589984777346 0.0302428587164308 1.452 0.859 0.037 0.712
c-o-ztfg  True F99 58630.641796193726 0.1448987527729814 7.422431827829517 0.03185349554935092 0.6564786989253552 0.15357274986342329 -0.05806673859830079 0.027900227646412104 0.966 0.897 0.528 0.648
c-o-ztfg-ztfr  True F19 58630.597680418396 0.14901909255121898 6.308186633217174 0.03216325279789551 0.5676687154147495 0.13840527076527967 -0.0555482769050024 0.02594924673388068 0.8 0.549 0.858 0.998
c-o-ztfg-ztfr  True F99 58630.63496152942 0.11555181542306109 6.317748399773316 0.029358175970228304 0.5706847024934043 0.11939728349539962 -0.05117956439085797 0.024027710366030103 0.796 0.736 0.864 0.931
c-o-ztfr  True F19 58630.54943413368 0.18441733496464202 6.42510659296159 0.06522372442861378 0.5637308238602018 0.1648918860373338 0.006542057865889553 0.0493493615121911 1.137 0.644 0.255 0.961
c-o-ztfr  True F99 58630.5788387352 0.14464567423142952 7.477873642183729 0.05452864672164611 0.577605108420127 0.14092145979232384 -0.0064349173943975425 0.04207886320246334 0.763 0.718 0.86 0.908
c-ztfg  True F99 58630.77230369514 0.19495643829103976 7.353097270668663 0.04526901586651593 0.515702854141225 0.1961870752781232 -0.20020683845115028 0.08389783758491091 0.716 0.697 0.771 0.79
c-ztfg-ztfr  True F19 58630.64075855972 0.179128057572487 6.3525976508967545 0.0340904171180553 0.4532292659338818 0.1581530732469583 -0.03977900038350103 0.03159476601191679 1.177 0.705 0.22 0.899
c-ztfg-ztfr  True F99 58630.65386874246 0.13688331865073344 7.408572027873348 0.03117389559981201 0.4429400364088978 0.138285863503993 -0.050127211501995665 0.029623284669313545 0.697 0.608 0.906 0.965
c-ztfr  True F99 58630.5939158028 0.18755845238215016 7.49392476100479 0.06169028146276838 0.3445367943640145 0.17584795789988755 0.02635193611245401 0.05360317677736933 0.444 0.429 0.979 0.982
J 1D3 False F99 58626.15411651552 -1.0 4.779481057674933 -1.0 -30.19737458808646 -1.0 -0.3717038044004354 -1.0 None None None None
J 2D False F99 58626.37913945815 -1.0 4.355260239350225 -1.0 -30.293723011186657 -1.0 -0.5243829192668141 -1.0 None None None None
J-c 1D3 True F99 58628.271217758156 0.16624333817380674 6.131750612063165 0.05798617485565056 0.4469964826270004 0.5367844687499316 -0.19330193255428452 0.033372122260358815 2.24 1.968 0.107 0.14
J-c 2D True F99 58628.38956441769 0.1808193738561935 6.1296186002000725 0.05727948337040478 0.48110178865663883 0.5333735177343308 -0.20869960569042806 0.03447307631779281 1.732 1.558 0.177 0.211
J-c-o 1D3 True F99 58629.12484016364 0.16376273460866364 6.2120527208523075 0.04252158612011989 0.5152758395872798 0.20701221564784691 -0.13410714582071318 0.02902091137048202 3.957 3.306 0.0 0.0
J-c-o 2D True F99 58629.30366246728 0.17996117955925464 6.20747941400204 0.04262258480764264 0.5588469537041233 0.2098038341347505 -0.1447515691630174 0.029401446602519397 3.635 2.92 0.0 0.0
J-c-o-ztfg 1D3 True F99 58629.9884573248 0.13999193460675252 6.265710942676305 0.02898499106651363 0.38865611881695517 0.15172927083990376 -0.08848193579211652 0.021431079147925827 3.857 3.21 0.0 0.0
J-c-o-ztfg 2D True F99 58630.1591483463 0.14256220906313324 6.266273171519443 0.028979540696098576 0.45541611037181257 0.1530631871449609 -0.09992054956369315 0.021691282745359117 3.34 2.629 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 58630.20900940434 0.11340020215150186 6.279458356751796 0.026928119768230833 0.4140443152038073 0.11884575687112307 -0.0713787853126396 0.019791831130014367 3.003 2.42 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 58630.58480825525 0.1475207670342115 6.301435404278767 0.030926770294797314 0.569065314284458 0.1383050512568022 -0.06300405055507984 0.02336675301044594 2.786 0.585 0.0 0.995
J-c-o-ztfg-ztfr 2D True F99 58630.583680894175 0.14750984000654924 6.351342376151424 0.030941418354781976 0.5682640599097197 0.13828216667024534 -0.050623136133145744 0.02337868209279456 3.038 0.721 0.0 0.947
J-c-o-ztfg-ztfr 2D True O94 58630.58368245895 0.14747587283528807 6.351346396772582 0.03093625978010706 0.568290371584518 0.1382591020822728 -0.05061908838107684 0.023372152540335756 3.07 0.736 0.0 0.936
J-c-o-ztfr 1D3 True F99 58629.90702989869 0.14151989622930955 6.27380245956871 0.04057357102758953 0.4153725554445796 0.14041142813710175 -0.07708086701262719 0.028246262732952214 3.752 2.781 0.0 0.0
J-c-o-ztfr 2D True F99 58630.07108957597 0.14494550743204238 6.260174882357106 0.040590680765250256 0.4783042086398088 0.14204852311375382 -0.09447830844829877 0.028497393605461534 3.179 2.316 0.0 0.0
J-c-ztfg 1D3 True F99 58629.60510295395 0.1694552078994956 6.198115513148699 0.03266427100939398 -0.06759494298506008 0.19511221778597518 -0.1270808324778283 0.026411577311497635 6.407 5.546 0.0 0.0
J-c-ztfg 2D True F99 58629.9058528209 0.18505744563637386 6.212858302040281 0.03286822564129357 0.10207848485015258 0.19863781864118243 -0.14854368540575108 0.027750653827173545 5.025 4.443 0.0 0.0
J-c-ztfg-ztfr 1D3 True F99 58630.072368702065 0.1322646520304517 6.252762466448284 0.028252421093027513 0.21144621402570418 0.13837721486875332 -0.07866378178236963 0.021592984470243225 4.31 3.247 0.0 0.0
J-c-ztfg-ztfr 2D True F99 58630.23906009305 0.13432303192229847 6.25348820924761 0.028170850939154023 0.29566962814899045 0.13921814376791938 -0.09331097741739362 0.021858976408133293 3.578 2.602 0.0 0.0
J-c-ztfr 1D3 True F99 58629.53909529708 0.15488866121362418 6.216867047227144 0.041576417013088535 0.10156204816730913 0.17556447726063465 -0.10127483744285307 0.029196741555063785 6.724 4.322 0.0 0.0
