bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False O94 0 37.26248269194285 0.08049742924183104 1.160804643075004 0.03 58644.755030697874 0.34 None None 0 0.06 None None None None
c-o  True F19 6 37.15373559684833 81849043.16635944 0.8848511916516915 71295590.29935737 58643.49476785118 452582873.7009861 None None -0.10249174947290189 25787112.46404826 -1 -1 -1 -1
c-o-ztfg  True F19 6 37.43913633297464 0.1906612357431013 0.9835614494112332 0.05339056420929662 58644.03180446516 0.46273851150956014 None None -0.20803208817555074 0.09635282841556951 1.475 1.448 0.194 0.203
c-o-ztfg-ztfr  True O94 0 36.9928231909909 0.10971505512188087 0.983451811400408 0.0570323498489513 58644.1287379434 0.4753345801787765 None None 0.052575403341426276 0.07211124018331751 1.279 1.259 0.229 0.242
c-o-ztfg-ztfr  True F19 6 37.0072653748878 0.10323339734427915 0.965791138555268 0.053666324140323456 58644.23472219418 0.45992244284689227 None None -0.022202459835125782 0.07196099892774109 1.587 1.559 0.095 0.104
c-o-ztfr  True F19 6 37.114214758037825 0.1556866753377337 0.8527311288647937 0.07837552938148477 58644.40481731066 0.5071265572970767 None None -0.1840360112179317 0.10097844607227467 0.478 0.474 0.752 0.755
c-ztfg-ztfr  True F19 6 36.927842450223196 0.10413737697116843 0.9448424965184098 0.05247074130267271 58644.24363071091 0.44682803117363984 None None -0.005742184295752972 0.07193766111988353 1.23 1.199 0.266 0.285
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 37.1570667731478 0.13404060817210386 0.9323451167923814 0.0786955475499505 58644.06918454957 0.5787134856332936 None None -0.12086392325129199 0.08400377014853941 3.54 3.497 0.0 0.0
J-c-o 1D3 True O94 0 37.457980488620976 0.8469847390531564 0.882868205112514 0.5653329252987026 58643.303806208074 3.719735879463541 None None -0.2061155149302985 0.26635581426458016 1.711 1.694 0.181 0.184
J-c-o 1D3 True F19 6 37.414532540634475 0.5600290519733835 0.8789070936618314 0.40098403025949514 58643.286057359255 2.6426169724040034 None None -0.24929492264749342 0.2518401761676775 1.756 1.74 0.173 0.176
J-c-o-ztfg 1D3 True F19 6 37.69958320668816 0.19211228463127275 0.9598827498514341 0.05907035725219781 58644.036436568465 0.49403852210934596 None None -0.34908580898821534 0.09077037726860962 1.809 1.788 0.07 0.074
J-c-o-ztfg-ztfr 1D3 True O94 0 37.13425060573374 0.1358565136504341 0.9157001501351465 0.07980460907436568 58644.03483144853 0.5616157700018236 None None -0.061187387492633645 0.08710281555877784 3.575 3.51 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 37.17624619069803 0.13896272291260914 0.9166777326346978 0.07753907318342541 58644.0087608199 0.5524875883436856 None None -0.06769548522872984 0.08439517534682567 3.368 3.311 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 37.150263157729825 0.13808163155141995 0.9104894592967959 0.08121987863814985 58643.961451874275 0.5638845525365465 None None -0.06519303261614537 0.08862738855242915 3.662 3.599 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 37.16046632827163 0.13733870472118836 0.917914462520365 0.07649281564339473 58644.023595859195 0.5486341107209166 None None -0.08045024569879507 0.08386243259863871 3.279 3.222 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 4 37.16310993140715 0.13901802504329566 0.916637927711433 0.07758391611724344 58644.02861933496 0.5527556409700202 None None -0.08002655497046085 0.08449325668295782 3.382 3.323 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 5 37.18711062950674 0.13794261281952547 0.9152253739766532 0.0766224281014359 58643.918136204346 0.546206249559641 None None -0.07752476709212108 0.08423449091500972 3.218 3.168 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 37.16405454600519 0.13163122547411754 0.9277137669014699 0.07626041253003726 58643.954059733405 0.5624183974559965 None None -0.13065308762546604 0.08245257340192699 3.329 3.281 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 6 37.24981514122182 0.1383227932513001 1.1893016457371253 0.1492168856619884 58644.23930239787 0.6973470825513828 None None -0.025473499297165813 0.08780842784790178 3.626 3.524 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 6 37.15568470121721 0.14292947631370131 0.9305110037969387 0.08626370564396003 58643.931861667836 0.6207557733214727 None None -0.12344542619821124 0.08863822282234435 3.412 3.364 0.0 0.0
