bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.89184061996516 0.28428224095651344 1.4089040820171737 0.4900295389216987 58677.13382979315 9.378150179583061 None None 0.7070637269257686 0.30540109754196415 0.327 0.326 0.942 0.942
c-o  True F19 6 37.21003610456609 0.3122099995539737 1.4090226687793865 0.4901092926104662 58677.13199872728 9.381129910367337 None None 0.8133596547904806 0.17607256131247795 0.327 0.326 0.942 0.942
c-o-ztfg  True F19 6 37.39129878220979 0.1133128514785666 0.9391634189036195 0.03889168909288883 58663.95067205904 0.45885658461603424 None None -0.16635265772448343 0.07074124075805073 0.582 0.577 0.961 0.963
c-o-ztfg-ztfr  True O94 0 36.89774874183181 0.10329488173538633 0.9317150708996469 0.04001775121388572 58664.32301720904 0.4959003892849074 None None 0.10653672339020732 0.06874050714395556 1.389 1.372 0.05 0.057
c-o-ztfg-ztfr  True F19 6 36.94511169173151 0.09381515016602868 0.9325538648917605 0.03811880046629637 58664.293983117226 0.46802060423311426 None None 0.04208811062709795 0.0669446368718052 1.278 1.262 0.11 0.122
c-o-ztfr  True F19 6 36.802927483806215 0.17775592514123045 0.9831545451938196 0.03875499170786807 58664.51151981137 0.4825123796586533 None None 0.26001097510591875 0.15753481078783718 0.633 0.625 0.91 0.915
c-ztfg-ztfr  True F19 6 36.81671740642203 0.0853288634981465 0.9035120518894098 0.033492332564177066 58663.95122465703 0.4052847736707762 None None 0.04139528388575768 0.06315662699040223 0.46 0.453 0.997 0.997
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 37.40633197163688 0.278412701473767 1.18906342192268 0.09167227394150954 58662.134619022785 0.6359121391821893 None None -0.06565211740823161 0.06886584257909609 4.245 3.612 0.0 0.0
J-c-o 1D3 True O94 0 37.294735745787015 0.20078722297097512 1.1736558852120147 0.1532044478336696 58661.49423377525 1.5311443516802743 None None 0.076271778267616 0.15418152318492095 2.794 1.642 0.001 0.066
J-c-o 1D3 True F19 6 37.276401036564515 0.11914780608595125 1.1892443556176457 0.0852223815382873 58661.63865638529 0.8824612008421966 None None 0.11810903218027402 0.096130793646832 1.805 0.742 0.042 0.711
J-c-o 2D True F19 6 37.02947015249539 0.10330300156442283 1.1106009393222724 0.040851397568714067 58663.63043800808 0.5187178996555339 None None 0.304789062750737 0.07340707960617589 0.284 0.238 0.992 0.997
J-c-o-ztfg 1D3 True F19 6 37.62330457069047 0.09564483376263308 1.1738891890497858 0.04971769724894052 58662.962463459044 0.5439012731064072 None None -0.15052632674083824 0.0692312116244416 1.385 1.197 0.075 0.208
J-c-o-ztfg 2D True F19 6 37.17889763819472 0.08077780979625016 0.9190600128934416 0.03693874985417141 58664.09340097679 0.43138552453740503 None None -0.09159225761520853 0.06198538523771139 0.588 0.567 0.964 0.972
J-c-o-ztfg-ztfr 1D3 True O94 0 37.337428822211905 0.11595966426507336 1.1740049283943779 0.05329176834878305 58662.66050170517 0.8169301132796328 None None 0.02100829427794942 0.07397993093387822 10.966 4.646 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 37.31923314994 0.12154138314130349 1.173999366175544 0.05253751420499171 58662.584603636 0.8300650033464253 None None 0.03218556563515396 0.07346080886188197 11.558 4.692 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 37.43780282427565 0.1538090037083563 1.1890399976045458 0.09173366339519513 58661.69825971152 0.5920309599597658 None None -0.08972787907082395 0.10647219561168345 3.813 2.694 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 37.34807403863905 0.11536610600527245 1.1740166844624174 0.05233837915312649 58662.63471738034 0.7801754840748314 None None 0.007387909278860723 0.0721392370227984 9.894 4.232 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 4 37.341213170934275 0.1140641753193768 1.1738761837799672 0.0506203619970033 58662.4821306479 0.7618505640274179 None None 0.002003223157420899 0.07136179366223559 9.508 4.003 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 5 37.46559223652431 0.1506604408481098 1.1895686155003586 0.08607863605721296 58661.866652060766 0.5826500537389915 None None -0.09651905897533941 0.09805171287240319 3.421 2.507 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 37.405510759227596 0.2766317649158771 1.1890420718381987 0.07519561448253265 58662.1556828253 0.5462931709716039 None None -0.06193467452031638 0.06584233720891992 3.003 2.321 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 6 37.40397300131075 5.706872582417128 1.189012832069341 0.08040224285599651 58662.069262057914 0.5694630897208782 None None -0.06391219254876968 0.06720637786582792 3.051 2.362 0.0 0.0
