bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 58672.093797097754 3.817325007126698 9.068064959082417 4.1024410677694 -3.460208646865495 2.3124684236751003 0.3844557311256603 4.542051018410505 0.198 0.197 0.82 0.821
c-o  True F19 58671.87563040298 1.0830742894985712 8.541430561734336 0.45014591380989566 0.18734907827949554 2.085217777918316 0.19495773701850302 0.29321203089857417 0.531 0.519 0.933 0.939
c-o  True F99 58671.880679422735 1.078371834494755 9.433149532827322 0.44401908382151145 0.20563396799787356 2.0830849382579233 0.13537410480515055 0.28921000910466044 0.294 0.293 0.997 0.997
c-o-ztfg  True F19 58671.49783705887 0.5518373070617928 8.368037425462056 0.06082174681423022 0.36894898991152036 0.5676182225931107 0.04233017794647594 0.08738201376381355 1.074 0.955 0.359 0.534
c-o-ztfg  True F99 58671.50916742527 0.5461437459444068 9.260842891885405 0.05995023835933108 0.37717714906742283 0.5620822815073133 -0.016444724680513306 0.08642237821530324 0.269 0.268 1.0 1.0
c-o-ztfg-ztfr  True F19 58671.21557020746 0.4233397934686893 8.156495097423193 0.055217551426853397 0.4068204708063868 0.40421670962944495 0.008175654510582744 0.047875882443208034 0.235 0.228 1.0 1.0
c-o-ztfg-ztfr  True F99 58671.209756415556 0.41537939021570597 8.159756810329256 0.05462319040554528 0.4092394242584725 0.39642558211408235 0.0013206099122085272 0.04722137479171862 0.235 0.233 1.0 1.0
c-o-ztfr  True F19 58671.043236334306 0.6037624575555308 8.672142884173667 0.25273652643970074 0.46846837130275404 0.5490991007539148 0.29746738236500675 0.19646263901809954 1.116 0.907 0.302 0.612
c-o-ztfr  True F99 58670.95516125012 0.4944693620990531 9.575443304362038 0.24290336120099 0.5161985811443305 0.5072575584523795 0.24765510457277526 0.1898187822552543 0.222 0.221 1.0 1.0
c-ztfg  True F99 58671.39966495556 0.5790065622284347 9.245612603095363 0.05809605851465661 0.6254990921132284 0.6414669149252951 -0.28058765746591363 0.2592779646653898 0.206 0.206 1.0 1.0
c-ztfg-ztfr  True F19 58671.15391508094 0.43316641457357735 8.365303724909126 0.05543189731153761 0.384249767602342 0.40999275676560276 0.05559252544299701 0.049418646756525623 1.775 1.438 0.006 0.06
c-ztfg-ztfr  True F99 58671.07523696254 0.3877383833511106 9.25943940560213 0.05454650441861187 0.4299145274532865 0.3940614061283298 -0.0008345321446249278 0.04834096152338585 0.227 0.224 1.0 1.0
c-ztfr  True F99 58670.84672282863 0.5094858525059152 9.600479568558004 0.2606016349921055 0.47779806141560044 0.517587498778945 0.2710651554480219 0.2067615773645818 0.184 0.184 1.0 1.0
J 1D3 False F99 58674.91358698081 -1.0 8.230384151577418 -1.0 0.015122230008309548 -1.0 0.00024348929066267936 15.29264701880553 None None None None
J 2D False F99 58673.16373162633 34.37486051226308 8.299165111241205 193.02805562520467 0.0 1306.8412767739806 0.0 59.56688865647497 None None None None
J-c 1D3 True F99 58674.70739870277 0.4858429164395432 9.157844597398139 1.0324087210337864 8.39791014659432 12.512492896371477 0.25955610737797896 0.281242898820159 1.696 1.656 0.148 0.157
J-c 2D True F99 58672.93533049899 0.4767917883514478 7.222288853194643 0.719428352469922 -4.007007406299253 1.9276558661897938 -0.35543738537784586 0.247503256682935 0.2 0.184 0.939 0.947
J-c-o 1D3 True F99 58674.57532775677 0.34782255044957233 8.638845062319767 0.3259195018117185 3.330508652965421 2.7656837331696966 0.1647762461058817 0.10654484110686234 0.603 0.597 0.9 0.905
J-c-o 2D True F99 58672.72594348685 0.6178704457681025 8.028852362892906 0.3125186191366464 -0.5620895935712671 1.897261768998741 -0.09026067018061928 0.11900750109702765 0.355 0.353 0.993 0.993
J-c-o-ztfg 1D3 True F99 58673.62532982724 0.47032692916960106 8.224381068926055 0.06116857035236807 0.6564346423450391 0.5686025322883055 -0.01092880858984422 0.03537122383718372 1.059 1.051 0.378 0.39
J-c-o-ztfg 2D True F99 58671.83796716241 0.5492081540831485 8.164649646248876 0.05851333448834769 0.48222697263233244 0.5553479257931018 -0.04789451035210785 0.043575103792425345 0.334 0.331 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True F99 58672.49123404668 0.4717201072751617 8.201975809794519 0.05207699326209745 0.5247264541460472 0.4099989175113898 0.026563255242721278 0.03300982875136827 1.118 1.094 0.274 0.31
J-c-o-ztfg-ztfr 2D True F19 58671.26344625752 0.42498193429653675 8.142908401080634 0.050982865781203014 0.44828103845494827 0.4044319526731619 -0.014746751213637024 0.0378345010926347 0.341 0.268 1.0 1.0
