bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.160478261538465 0.1810857995010303 0.5107263836841787 0.050877297845003736 58677.88915120727 0.4825684668461813 None None 0.019459385940718915 0.1409848110993498 0.626 0.573 0.776 0.82
c-o  True F19 6 35.33261660923595 0.15706698574032396 0.510395131462784 0.05083901372817178 58677.887554518995 0.4825145730970706 None None 0.13324399965517184 0.13606469301689658 0.626 0.573 0.776 0.82
c-o-ztfg  True F19 6 35.241305849117474 0.1218027241452789 0.5011861731907291 0.035544500075364784 58677.983132117035 0.3709964154898032 None None 0.30432553431311565 0.06336440750482751 0.702 0.63 0.829 0.894
c-o-ztfg-ztfr  True O94 0 35.009611682939166 0.11354408494763032 0.5487873691436471 0.03740880401426925 58678.07013889785 0.3842149158075402 None None 0.22221380087381137 0.06934052930735293 0.986 0.884 0.489 0.656
c-o-ztfg-ztfr  True F19 6 35.17332353962658 0.12720105314498564 0.5564251111228635 0.03752087520038118 58678.16022941392 0.38454230005172907 None None 0.3696567000550083 0.06582009444861019 1.558 1.405 0.022 0.061
c-o-ztfr  True F19 6 35.42014390316061 0.1262298335317868 0.5632624915150954 0.03535244167074673 58678.0682692002 0.3747648882070864 None None 0.07769066857128835 0.10797928918811278 0.731 0.658 0.805 0.877
c-ztfg-ztfr  True F19 6 35.02286618376092 0.1407030986418776 0.5599574126475403 0.03316228754734754 58677.87154157767 0.3602954755507631 None None 0.4480744916108649 0.0620737534051257 0.466 0.414 0.981 0.991
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 35.20711270780896 0.12125580128517723 0.5520838088825397 0.03734530268552567 58678.15019041732 0.3758855528753801 None None 0.3324082331625214 0.06296710400876698 1.72 1.357 0.005 0.075
J-c-o 1D3 True O94 0 35.394557452385506 0.11015508681748672 0.5616730562161042 0.05721990531852502 58678.20544931861 0.5098338905140265 None None -0.08181858601415208 0.1393491919849823 0.799 0.714 0.641 0.727
J-c-o 1D3 True F19 6 35.21498818505141 0.1139159093573479 0.5088403322036542 0.0441640285963793 58677.83388171352 0.4347406627593674 None None 0.2540239535821433 0.06628811932584447 0.715 0.64 0.711 0.781
