bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.88333174677797 0.5772246415818411 1.1435164048733344 0.43005172072300185 58722.4164383077 3.569732976193912 None None -0.07326132556775151 0.26264186487433466 0.499 0.494 0.81 0.813
c-o  True F19 6 37.89332773558492 0.6440412720226543 1.1435079539455812 0.43085146176881384 58722.418361958415 3.5736189851495923 None None -0.09605252610407194 0.17908421978053027 0.499 0.494 0.81 0.813
c-o-ztfg  True F19 6 37.70456807115925 0.17031663033452152 1.2077576759484707 0.08920927700151018 58720.153215906976 0.340006383233402 None None -0.007258226575043481 0.08210431927591683 0.611 0.605 0.847 0.852
c-o-ztfg-ztfr  True O94 0 37.32205553838617 0.12223311556834829 1.1795980108039286 0.0595440564483074 58719.718144344806 0.5110451054487364 None None 0.13438630358507042 0.07808261075859114 0.634 0.617 0.924 0.935
c-o-ztfg-ztfr  True F19 6 37.23047250621842 0.1268356405349634 1.0715219495030879 0.055335749090759535 58720.11574510314 0.4869609797015286 None None 0.15384715264492502 0.068504038345408 0.61 0.599 0.94 0.946
c-o-ztfr  True F19 6 37.41394092710294 0.18388753448947584 1.1365181607646377 0.11896381625072397 58719.498366462896 1.0217489847614691 None None 0.06258438558261656 0.08476933599543085 0.691 0.676 0.832 0.847
c-ztfg-ztfr  True F19 6 37.25471974235023 0.12360663180687716 1.1086737611982804 0.059625239622620826 58720.093929096794 0.4664669944803892 None None 0.16173444695109399 0.06687253880760217 0.58 0.567 0.923 0.931
J-c-o 1D3 True O94 0 37.60415381689458 0.2348107740862364 1.1889163440279749 0.09310244330239546 58721.40862626033 2.390512267397276 None None 0.07118476798544036 0.11627539510257577 0.605 0.537 0.775 0.829
J-c-o 1D3 True F19 6 37.951496981620274 0.19779489295943778 1.0553648872172108 0.06226939026973732 58726.223195491635 1.4718904758764948 None None -0.11926287423792932 0.11363281169893547 0.808 0.79 0.596 0.612
J-c-o-ztfg 1D3 True F19 6 37.5245963175595 0.13280427915484586 1.1890553735782097 0.07797254300349125 58720.11473397058 0.5729462130448253 None None 0.07426412068041682 0.07076264145165143 0.59 0.546 0.894 0.924
J-c-o-ztfg-ztfr 1D3 True O94 0 37.357353812066485 0.10844685030554431 1.173482464965307 0.049866027667214194 58719.677530002875 0.462228848759231 None None 0.11820434325537911 0.07104792821179527 0.625 0.597 0.938 0.954
J-c-o-ztfg-ztfr 1D3 True O94 1 37.364964761514045 0.11106762087652608 1.1740509379645772 0.04951256192549037 58719.680845905685 0.46149331634307833 None None 0.10588434026952294 0.07058230168722683 0.619 0.594 0.941 0.955
J-c-o-ztfg-ztfr 1D3 True O94 2 37.36575427724744 0.10798606263255796 1.1738257529592417 0.0486432385833051 58719.66385876197 0.46199856472330425 None None 0.11558242104415553 0.07132780646019928 0.621 0.598 0.941 0.954
J-c-o-ztfg-ztfr 1D3 True O94 3 37.363658521486954 0.11197529774416266 1.1714846211756245 0.050421068786245006 58719.688145942666 0.46030321918894307 None None 0.10445920555419966 0.06969058165793206 0.608 0.585 0.948 0.96
J-c-o-ztfg-ztfr 1D3 True O94 4 37.36652219323279 0.11207694026901861 1.1740598509625553 0.049810637571874365 58719.68383597756 0.4607445520554391 None None 0.10132654653656932 0.07000917030576664 0.613 0.589 0.945 0.958
J-c-o-ztfg-ztfr 1D3 True O94 5 37.39490700242068 0.11046456762991852 1.1878115670744007 0.04942953654916143 58719.63927171148 0.4653660215549476 None None 0.08461161485999341 0.07244253112676237 0.605 0.585 0.95 0.96
J-c-o-ztfg-ztfr 1D3 True F19 6 37.35404503290808 0.10560475965667222 1.1496823606804285 0.05133709348823829 58719.802756503275 0.45783969514173967 None None 0.13007245119553953 0.06577668122459758 0.594 0.579 0.956 0.962
J-c-o-ztfg-ztfr 1D3 True F99 6 37.35925267401435 0.11188722294291968 1.1274003836182318 0.05704809220933887 58719.8647173565 0.4865545170881952 None None 0.12234009152547015 0.06660185265106407 0.586 0.569 0.959 0.967
J-c-o-ztfg-ztfr 1D3 True O94 6 37.34836918517462 0.11150819994741296 1.1439055859450495 0.05607508447811592 58719.82338435543 0.48481390432067795 None None 0.13136565703757885 0.06727668460855456 0.585 0.57 0.96 0.966
J-c-o-ztfg-ztfr 1D3 True O94 7 37.32582800670708 0.10975313385306873 1.138561017992442 0.05224133882046833 58719.80054081761 0.45468384150444446 None None 0.13425878471094974 0.06546827351808523 0.554 0.54 0.973 0.977
J-c-o-ztfg-ztfr 1D3 True O94 8 37.38245814285279 0.10724344141897535 1.1347528757214616 0.05206287549357397 58719.81207602521 0.45410004777706076 None None 0.140990524941551 0.06592288904007612 0.546 0.531 0.975 0.98
J-c-o-ztfg-ztfr 1D3 True O94 9 37.33439707568541 0.10927143615094194 1.1365629315414012 0.05239864018654092 58719.808409680576 0.45463675263579845 None None 0.13521044081214584 0.0655598380190312 0.551 0.537 0.974 0.978
J-c-o-ztfg-ztfr 1D3 True O94 10 37.357724898265005 0.09945416032030001 None None 58719.2975383341 0.42865607410336326 0.7176474289880538 0.06500580303027066 0.05534363629208049 0.06653292584788062 0.536 0.507 0.978 0.986
J-c-o-ztfg-ztfr 1D3 True O94 11 37.3537368040291 0.09989892312029391 None None 58719.29935892089 0.4286670295762066 0.7178194896079807 0.06499076013396148 0.05350148963723575 0.06643316215551621 0.536 0.507 0.978 0.986
J-c-o-ztfg-ztfr 1D3 True O94 12 37.29612334390845 0.10013618895852056 None None 58719.25183533177 0.42547848386414694 0.7336757393498314 0.06497709629903456 0.06890515728902688 0.06606036650998802 0.494 0.467 0.988 0.993
J-c-o-ztfg-ztfr 1D3 True O94 13 37.38667130999785 0.1011503084786496 None None 58719.31395669915 0.42958123233896106 0.7203956440391495 0.06534221496472549 0.056826632984567804 0.06565917559909931 0.542 0.512 0.977 0.985
J-c-o-ztfg-ztfr 1D3 True O94 14 37.38023021730322 0.09974213795667504 None None 58719.30647344372 0.429111550525443 0.7194153813232943 0.06520903621717027 0.06119151587091829 0.06594951914706815 0.539 0.509 0.978 0.985
J-c-o-ztfg-ztfr 1D3 True O94 15 37.31040456455801 0.10134742280435181 None None 58719.270620252435 0.42591326855616196 0.7358371863201487 0.06499530852139275 0.057872677226791465 0.06539650085762547 0.499 0.469 0.987 0.992
J-c-o-ztfr 1D3 True F19 6 37.41088043442213 0.11334278672023423 1.1348516321307225 0.061983838806869376 58719.54481290138 0.6151418694248123 None None 0.05903169132993807 0.07312800649803766 0.63 0.608 0.9 0.916
J-c-ztfg-ztfr 1D3 True F19 6 37.311791037301354 0.10439450363509464 1.143887536185149 0.048469607701512 58719.927219390476 0.438013104655347 None None 0.14888778018527243 0.06494982778067547 0.58 0.564 0.935 0.944
J-o-ztfg-ztfr 1D3 True F19 6 37.317872350600815 0.1119493996621735 1.135009976629601 0.05356873410509777 58719.63422577606 0.4713747449059457 None None 0.15371240684445348 0.06690523111681733 0.562 0.548 0.957 0.964
J-ztfg-ztfr 1D3 True O94 0 37.23567448545752 0.11742605192440182 1.1373208228834732 0.05113105282279965 58719.683676551016 0.443155415355554 None None 0.1837229892693348 0.0704269424238319 0.461 0.41 0.97 0.984
J-ztfg-ztfr 1D3 True F19 6 37.278101148048954 0.10308274305243692 1.1411103333357329 0.04366156484180098 58719.71090338483 0.41234050188362753 None None 0.17470277860308966 0.06373590137098833 0.347 0.33 0.994 0.995
o-ztfg-ztfr  True F19 6 37.22966996523457 0.13456599085899534 1.0824214071240463 0.06166944256399031 58719.84722930612 0.5149058904435899 None None 0.16962640815208072 0.069827820942754 0.591 0.579 0.933 0.94
ztfg-ztfr  True O94 0 37.1476597557296 0.12917581824952096 1.1073052542839588 0.054969182715936676 58719.875892721815 0.44878921320821225 None None 0.22756960872101523 0.07082573588380912 0.334 0.324 0.992 0.993
ztfg-ztfr  True F19 6 37.21932439988641 0.11641442602472386 1.1072934265295677 0.0516410600003331 58719.8762147237 0.43250590522706267 None None 0.18989873858809803 0.06494219034807636 0.334 0.324 0.992 0.993
