bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.25780631276385 0.11739086529929663 1.2333082146057552 0.06048133251734974 58729.92177379185 0.8735704401829365 None None -0.029390205894234925 0.08353711582053931 1.456 1.403 0.101 0.123
c-o  True F19 6 36.31268076085753 0.1050329414782485 1.232849352878379 0.060425004161789156 58729.93095883918 0.8719614965887196 None None -0.0242394626146236 0.09294799321363592 1.456 1.404 0.1 0.123
c-o-ztfg  True F19 6 36.15145998432936 0.12991009191586625 1.2155875872822528 0.08445406872852482 58729.1283314991 1.0184001428097793 None None 0.08072590870721412 0.09181638687293187 7.883 7.506 0.0 0.0
c-o-ztfg-ztfr  True O94 0 36.04804352765192 0.11315243345980952 1.2381255664067685 0.05063817967240755 58728.88238781129 0.7681707675574823 None None 0.08918983364617818 0.07614250564117166 5.085 4.826 0.0 0.0
c-o-ztfg-ztfr  True F19 6 36.10397733032018 0.10712676330896731 1.2136246293982507 0.0498941027222793 58729.1998936754 0.7259072881739981 None None 0.10368710025150438 0.07378764414394502 5.084 4.82 0.0 0.0
c-o-ztfr  True F19 6 36.221560442899424 0.09718450293143806 1.2142058936461666 0.03931296694701847 58729.794418891 0.595760459302587 None None 0.012077471376236151 0.0780847921652981 1.44 1.34 0.025 0.058
c-ztfg-ztfr  True F19 6 35.983951471015224 0.14892770907597777 1.1890172802598535 0.09805911202639002 58729.639282344404 0.6335472231839065 None None 0.15841955221391663 0.0814359281094102 6.826 6.493 0.0 0.0
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.01644557729985 0.1420934971033071 1.2964984226066105 0.07618747206245302 58728.824641535226 1.2272953975335623 None None 0.26984336067779474 0.09484863833293303 17.573 17.174 0.0 0.0
J-c-o 1D3 True O94 0 36.26933629637707 0.0979471195808537 1.2256720508555987 0.04811711582001816 58730.335249554904 0.7213850130636286 None None -0.03922552148530844 0.07094707652741139 1.569 1.366 0.047 0.121
J-c-o 1D3 True F19 6 36.17221185440998 0.09042452177548929 1.100519990107802 0.05297658717921126 58730.81232535822 0.5776342530374174 None None -0.016996544264038807 0.07697775730286961 1.988 1.843 0.005 0.011
J-c-o 2D True F19 6 36.19520634042655 0.09667614364117962 1.1015484289714994 0.05819806711576537 58730.862989033776 0.6094918608017165 None None -0.034412352296346364 0.08257910714083902 1.754 1.682 0.018 0.026
J-c-o-ztfg 1D3 True F19 6 36.10266231235492 0.1017104397927562 1.1189456622742504 0.07951208220359567 58730.09942863389 0.6661329635652146 None None 0.05813129394905952 0.08253652207852309 7.824 7.501 0.0 0.0
J-c-o-ztfg 2D True F19 6 36.097504624767616 0.11751571721649369 1.1954985047364894 0.07907038821239339 58729.70193866709 0.8657788521334923 None None 0.10636163890238809 0.09022094917257865 8.042 7.661 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 36.08151184139477 0.10638899444238469 1.2414031172792481 0.051742872711674236 58728.8230375045 0.755419848230086 None None 0.07441039233182879 0.07262868024025432 5.598 5.131 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 36.083713552611336 0.1091144639836999 1.2431158165966743 0.05169624607904695 58728.82761144527 0.7532161845759635 None None 0.06834300951147892 0.07177939133720869 5.632 5.175 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 36.0828988759511 0.10462545231281364 1.2527732165999739 0.049135987261122054 58728.827500913794 0.7108310285957622 None None 0.07277677788428205 0.07198576648299428 5.435 5.07 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 36.081019162245916 0.10991913258928906 1.240461549182256 0.052342096718559224 58728.82505218719 0.7651977187119143 None None 0.07594150689581917 0.07095220926579518 5.658 5.202 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 4 36.08254369164582 0.11010854632243186 1.2419817667383843 0.051967728020891196 58728.82818176033 0.756458449636676 None None 0.07245120128453138 0.07115813753015594 5.648 5.197 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 5 36.06846676947612 0.10691894793246877 1.2544491985857609 0.048543274925808705 58728.82651504214 0.7066054061695749 None None 0.0694780773666155 0.07109076086948929 5.457 5.109 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 36.07867073423391 0.09489708742036602 1.1414658921390637 0.05187667953721124 58730.05921343626 0.5278193950564809 None None 0.07821680566272612 0.07131259839601857 5.232 4.982 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 6 36.073615261225136 0.09675093239863644 1.1383804750997346 0.052351205404761396 58730.07136238005 0.5391653288915141 None None 0.08174656063393294 0.07236090672301008 5.223 4.977 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 7 36.05742140450276 0.09986286133274397 1.1459944954883412 0.05715874439110585 58729.98940450269 0.5437299001988295 None None 0.09106991148080741 0.072365179683742 5.273 5.018 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 8 36.08589088703723 0.0974373829391083 1.1343232689069924 0.054390926857254336 58730.05871069141 0.5386814430211473 None None 0.09765395790923388 0.0740066280314404 5.251 5.009 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 9 36.06165365112771 0.09933801683061752 1.1433379804426094 0.057279985071490125 58730.00287800213 0.5434848868644608 None None 0.09233513810510231 0.0725438004532425 5.275 5.024 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 10 36.11736002823163 0.10460301211912418 None None 58730.2464979515 0.5118134091092328 0.7009789925680244 0.0725653813787895 -0.004105980467499016 0.0780376733836665 5.916 5.396 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 11 36.11146743261827 0.10475609501185973 None None 58730.25682723784 0.5110148802730179 0.6994409650969254 0.07231509948045439 -0.004894300225958466 0.0771682567174319 5.911 5.392 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 12 36.045253784619675 0.10403572537456908 None None 58730.26197195404 0.5132441320321942 0.7075034656296474 0.07202512517799986 0.008566130465606895 0.0759845466797111 5.844 5.359 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 13 36.13904160190244 0.10530876621122491 None None 58729.90551207451 0.5182555461325545 0.7320690349336275 0.072358752290134 0.014790208988022191 0.07185474499297423 5.125 4.693 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 14 36.13184555547687 0.10582527589148935 None None 58730.2519707524 0.5134391707517474 0.7027527117612133 0.07280627635181855 0.012178345739911226 0.07522811805427033 5.963 5.451 0.0 0.0
