bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 58728.0035211059 6.955563645207504 7.685187323173724 4.93473431687136 -0.9841660059998808 12.314575092942748 0.023406392049644606 8.713507303901638 -1 -1 -1 -1
c-o  True F19 58727.755089269034 0.6928096408890955 7.8636929496012895 0.09517732181220262 -0.5986619533633649 0.8355394224880985 0.03781611602298533 0.09794837084201848 1.751 1.543 0.04 0.087
c-o  True F99 58727.741200155055 0.6639040889074789 7.6674887914449235 0.09201756985985436 -0.5955566439355207 0.8052277527904962 -0.017591514582310244 0.0939282502777988 0.556 0.555 0.9 0.901
c-o-ztfg  True F19 58727.66493444571 0.6292766795638383 7.842174474915942 0.055459448644962744 -0.4635444771768576 0.6809254281445162 0.013378045973692188 0.06631391207965785 1.985 1.749 0.008 0.025
c-o-ztfg  True F99 58727.66208905603 0.6052822736951572 7.647868365755453 0.05414744018334809 -0.46382548841794136 0.6598521492510151 -0.04003440414329047 0.06398279337955731 0.451 0.45 0.977 0.977
c-o-ztfg-ztfr  True F19 58727.55547239323 0.4898930780378737 7.644836987628963 0.053935814974138165 -0.3361689381631487 0.491926104003566 -0.04039379682956713 0.054902620925672246 0.357 0.347 0.998 0.999
c-o-ztfg-ztfr  True F99 58727.55160663584 0.4692326586255407 7.64731206463491 0.05280457136266428 -0.3321529540275948 0.47651662010962975 -0.047145128290053726 0.05332152352201479 0.357 0.357 0.998 0.998
c-o-ztfr  True F19 58727.594290578934 0.5363392335578504 7.8570763833967625 0.09304708164015318 -0.369996925016343 0.5583807989340133 0.020482514564020206 0.08530116698006823 1.58 1.386 0.048 0.116
c-o-ztfr  True F99 58727.58685239468 0.5130047700127112 7.661186004774908 0.09010674819954408 -0.3632915956861079 0.5400745046405658 -0.03457466265159767 0.0822613395748276 0.418 0.417 0.989 0.989
c-ztfg  True F99 58727.466324890585 1.3250850899611732 7.637503292335371 0.07531616177216882 -0.28275453383201676 1.2251968792427987 -0.07672204981402068 0.16279960428917092 0.092 0.091 0.964 0.965
c-ztfg-ztfr  True F19 58727.445489424485 0.6451181778468339 7.839977777627248 0.056515219768845965 -0.25195944082477484 0.5827644466091563 0.0003445639917240272 0.06970537759329751 3.236 2.786 0.001 0.003
c-ztfg-ztfr  True F99 58727.44999107051 0.6170826644198549 7.6458124779529415 0.055219554308629744 -0.24885269355663175 0.56601491354295 -0.05321768992311192 0.06768811353476738 0.073 0.072 1.0 1.0
