bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.441855701559014 0.22919774917061841 0.8565831720594286 0.08958376592417208 58777.29377336436 1.1382728920464522 None None 0.09403896365430305 0.1331886386563627 1.096 1.091 0.352 0.356
c-o  True F19 6 37.46683007775289 0.20415325328780903 0.8565766567378857 0.08958277271279964 58777.29431176195 1.138184678766044 None None 0.0581694296576027 0.133905713630702 1.096 1.091 0.352 0.356
c-o-ztfg  True F19 6 37.60521817630308 0.12892416796607048 0.8536687750274135 0.050469581858652295 58777.680146058745 0.5577059724495876 None None -0.06393978583514427 0.08189980036349807 0.888 0.885 0.616 0.621
c-o-ztfg-ztfr  True O94 0 37.501943360986544 0.10974154203675142 0.849648417584592 0.04598402340798875 58777.808157522275 0.4929919391731658 None None 0.017871969464040707 0.07782636428695285 0.759 0.756 0.824 0.828
c-o-ztfg-ztfr  True F19 6 37.520581062906956 0.10886014274111584 0.8459964899709875 0.04582241120548706 58777.801987842 0.4849993757358064 None None -0.028041426211720507 0.07373896746237937 0.735 0.732 0.852 0.856
c-o-ztfr  True F19 6 37.33622656230755 0.15704015006117572 0.838161354445134 0.07312955723488042 58778.02553153395 0.7193204653693515 None None 0.12112070913482824 0.11159077039545794 0.93 0.925 0.558 0.564
c-ztfg-ztfr  True F19 6 37.47769500597934 0.09507706657877958 0.8622279556415019 0.039698942591710376 58777.74636561548 0.42518545677631603 None None 0.004436492959395982 0.06870824017357732 0.312 0.31 0.993 0.993
J-c-o 1D3 True O94 0 37.37210010350256 0.22522746680967093 0.8435027534415003 0.09108141520544151 58777.57897938083 1.105629927870291 None None 0.11791857777968316 0.13404294887447707 1.178 1.174 0.273 0.276
J-c-o 1D3 True F19 6 37.407095788611635 0.19676283557121915 0.8459864296324897 0.08896626730452437 58777.56933098564 1.082852814962447 None None 0.08479198820894841 0.13073930407897721 1.178 1.174 0.273 0.277
J-c-o-ztfg 1D3 True F19 6 37.565166199375554 0.1297724698891794 0.8509083472300891 0.05168501874154306 58777.66796850283 0.5714364448354897 None None -0.046416289186730256 0.08266883299472678 0.957 0.953 0.522 0.527
J-c-o-ztfg-ztfr 1D3 True O94 0 37.48133177727039 0.10998840123968825 0.848944427766127 0.04624692286384097 58777.78782351038 0.4960966564597086 None None 0.027271864368677408 0.07804219900427274 0.799 0.796 0.778 0.782
J-c-o-ztfg-ztfr 1D3 True O94 1 37.49788255739934 0.11467085734964658 0.8489687635636135 0.046190040737757225 58777.78405855745 0.4954287404089166 None None 0.022305362094305045 0.07744251228306756 0.793 0.79 0.786 0.79
J-c-o-ztfg-ztfr 1D3 True O94 2 37.48160844272979 0.10989988535005098 0.8500135556339605 0.04606944110892793 58777.78144405298 0.49493314567634583 None None 0.03069155615801549 0.07857144498865891 0.789 0.785 0.792 0.796
J-c-o-ztfg-ztfr 1D3 True O94 3 37.49061253548347 0.11416988000080712 0.8492358347120595 0.0465415451177902 58777.767063038904 0.4989504190300384 None None 0.008036107130111344 0.07747962245551278 0.814 0.811 0.757 0.762
J-c-o-ztfg-ztfr 1D3 True O94 4 37.48523585478002 0.11464815667746803 0.8496477510108544 0.046555772375789006 58777.76967514432 0.4994321051504221 None None 0.01223068295388429 0.07762251814735886 0.817 0.814 0.752 0.757
J-c-o-ztfg-ztfr 1D3 True O94 5 37.49282556344888 0.1137088844192047 0.8506150193734643 0.04588530520614953 58777.76982147846 0.49393478856537637 None None 0.016573501430431826 0.07785889452522732 0.778 0.775 0.805 0.81
J-c-o-ztfg-ztfr 1D3 True F19 6 37.49661301841271 0.10489885782491944 0.843482104044448 0.04603652189957371 58777.77644520697 0.4876967504612394 None None -0.017271085858774928 0.07385914993125929 0.746 0.743 0.845 0.848
J-c-o-ztfg-ztfr 1D3 True F99 6 37.500665864547244 0.10136031333473627 0.842703915418322 0.04642308122000598 58777.77729687942 0.49130475727500034 None None -0.020116196045169277 0.07167274635229696 0.746 0.743 0.845 0.848
J-c-o-ztfg-ztfr 1D3 True O94 6 37.49707953604222 0.10518238010563041 0.8433784398296958 0.04647747167781212 58777.775973614305 0.49167931813560695 None None -0.017634757033320816 0.07407263014971247 0.745 0.742 0.845 0.849
J-c-o-ztfg-ztfr 1D3 True O94 7 37.491388318954726 0.11298081649718385 0.8433265533012113 0.04647613568216479 58777.78628333939 0.49178617896752036 None None -0.023495995557166364 0.07403422834317991 0.775 0.772 0.809 0.813
J-c-o-ztfg-ztfr 1D3 True O94 8 37.48537252059322 0.13209262013959286 0.8432286311993938 0.04654229255136006 58777.787067274316 0.49228633326097876 None None -0.024564919272689178 0.07452567756106959 0.779 0.776 0.804 0.808
J-c-o-ztfg-ztfr 1D3 True O94 9 37.49157169743177 0.18726222455215336 0.8430969339843777 0.04646456045591954 58777.78581494356 0.4916248728483831 None None -0.024924194534432155 0.07417347368731965 0.775 0.772 0.81 0.814
J-c-o-ztfg-ztfr 1D3 True O94 10 37.577499107212184 0.11795665100711852 None None 58777.73376125987 0.498142674170451 1.182586894089195 0.06583037325299929 0.0707848324240693 0.07711528711128823 0.9 0.891 0.626 0.641
J-c-o-ztfg-ztfr 1D3 True O94 11 37.58712302581784 0.11939590063396961 None None 58777.73366294156 0.4979103295301882 1.1825701183675235 0.06581897758164842 0.06929169086164166 0.07697830124658978 0.899 0.889 0.628 0.643
J-c-o-ztfg-ztfr 1D3 True O94 12 37.6095890984123 0.11915301773843534 None None 58777.72745747845 0.49634042672447637 1.182801714430657 0.06575706225091041 0.0710854632471411 0.07682218094026046 0.886 0.877 0.649 0.663
J-c-o-ztfg-ztfr 1D3 True O94 13 37.57450440819956 0.12056461366935997 None None 58777.70193746461 0.4921400735223695 1.1842283204904838 0.06561799171945841 0.03707988564556701 0.07583442361777451 0.85 0.842 0.704 0.717
J-c-o-ztfg-ztfr 1D3 True O94 14 37.55768344365597 0.11649626538866485 None None 58777.71514414078 0.4941451010905214 1.1835798444658834 0.06568718010460324 0.04832386886435897 0.0764714280468082 0.868 0.859 0.677 0.69
J-c-o-ztfg-ztfr 1D3 True O94 15 37.613857414919316 0.12317914917974973 None None 58777.701951468785 0.49147453052058304 1.184071667338006 0.06558185691287585 0.04257667166106245 0.07569458865768479 0.845 0.837 0.711 0.724
J-c-o-ztfr 1D3 True F19 6 37.313092298656166 0.15593950668286624 0.8311481732696719 0.07388652526127235 58778.03129644381 0.720995239391005 None None 0.12490589296451114 0.11159602335119473 0.957 0.953 0.522 0.528
J-c-ztfg-ztfr 1D3 True F19 6 37.44308230259995 0.10202795902932622 0.8610067491673277 0.0436337827391005 58777.74397774658 0.4604130345258465 None None 0.02131419685127057 0.07220726590210305 0.442 0.44 0.967 0.968
J-o-ztfg-ztfr 1D3 True F19 6 37.48220603862363 0.11316468565641555 0.8318313560257299 0.04691647191485147 58777.98411009724 0.48273925015460445 None None -0.027522628068080278 0.07468852014052518 0.755 0.752 0.814 0.818
J-ztfg-ztfr 1D3 True O94 0 37.36829025502015 0.10385616500568276 0.8347922105611633 0.04462732786105699 58778.127334432975 0.5056496662379817 None None 0.05788768531057741 0.07611259978546964 0.368 0.367 0.96 0.961
J-ztfg-ztfr 1D3 True F19 6 37.39842827932886 0.09793774399322216 0.8353054219336706 0.043649824797309944 58778.12458709453 0.49473927737173756 None None 0.018973535534139267 0.07031753650073116 0.372 0.371 0.959 0.96
o-ztfg-ztfr  True F19 6 37.50586846467253 0.10366253451681338 0.8315990210894565 0.04562323917403082 58777.98374257164 0.4715001287104553 None None -0.041765292861846125 0.07360530159289504 0.686 0.683 0.881 0.884
ztfg-ztfr  True O94 0 37.3988057304254 0.0898242173114613 0.8351556347047163 0.036385581875452114 58778.12115706917 0.4129027277922055 None None 0.04260919538321675 0.06679651722743443 0.157 0.155 0.998 0.998
ztfg-ztfr  True F19 6 37.42693881268023 0.08660430499903438 0.8351648141002018 0.0357964912321721 58778.12142852897 0.40617726772134344 None None 0.002376771584888078 0.06421586445562996 0.157 0.155 0.998 0.998
