bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.706553510397704 0.17370622335280383 1.2713311464928525 0.08976873711369344 58839.45865964166 1.0229921232302552 None None 0.5440492492202172 0.11536374273308164 1.843 1.757 0.056 0.071
c-o  True F19 6 35.89963170345688 0.17793520942106655 1.2713150787957843 0.08978355157680874 58839.459061137015 1.0230964397419873 None None 0.5748490979798206 0.10700014340748651 1.844 1.757 0.055 0.071
c-o-ztfg  True F19 6 35.955779692390166 0.14425364266070698 1.3163229274397084 0.06200631978459668 58837.86046612849 0.7789962044467093 None None 0.5135879346997183 0.07568340500901038 2.17 2.089 0.005 0.008
c-o-ztfg-ztfr  True O94 0 35.78914993252419 0.13692954913421704 1.3013360628560162 0.06866538630775373 58838.03977172986 0.8926689916944504 None None 0.4331429997370223 0.0775821075518347 1.982 1.909 0.006 0.008
c-o-ztfg-ztfr  True F19 6 35.96384252905363 0.13765875455515272 1.3004705361388662 0.05356629856368596 58838.05489444137 0.6796820926751025 None None 0.5014874391073831 0.07282227674438826 1.798 1.732 0.016 0.022
c-o-ztfr  True F19 6 35.85918839953589 0.1472038905370852 1.2233893787577592 0.05158598041786723 58839.823587298844 0.5784008020540671 None None 0.5722368471072902 0.08194944677686074 1.407 1.334 0.14 0.178
c-ztfg-ztfr  True F19 6 35.99758882705938 0.1415429675209039 1.2797140798397229 0.050095780372285 58836.9662736066 0.6204989719523283 None None 0.46830851973925103 0.07058822922018274 0.775 0.755 0.64 0.658
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 35.925983333072665 0.1317934251688081 1.1571930349956172 0.041290536952216385 58840.02900227554 0.4301586409927316 None None 0.43363069453305175 0.06575137198969068 2.577 2.423 0.0 0.0
J-c-o 1D3 True O94 0 35.82809777439076 0.14012886290227053 1.114970786371569 0.05022624768019881 58840.211017976646 0.5307359895596329 None None 0.44039187026062204 0.08632657486545058 3.924 3.638 0.0 0.0
J-c-o 1D3 True F19 6 35.92141761533426 0.12651918888676936 1.2061013657372321 0.041546008936408856 58841.14967658424 0.42815537726867525 None None 0.5179570690141687 0.06725838211377877 1.908 1.715 0.029 0.057
J-c-o-ztfg 1D3 True F19 6 35.93894785970275 0.12599386079095276 1.1707500970714568 0.045299870384880134 58840.21397437377 0.47278451853820086 None None 0.4263904283699329 0.06869819912641602 3.717 3.448 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 35.873297683018464 0.1253962781953785 1.1272678409459083 0.04092445281333147 58839.961628479556 0.4450080016423427 None None 0.4021295107151646 0.06979253272307116 3.276 3.094 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 35.84420797620449 0.12376703330584299 1.1235654147421945 0.04177076029753024 58839.94579299917 0.4496718779400891 None None 0.3724483897627679 0.06884292543091801 3.442 3.246 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 35.887543480577264 0.12326533625400546 1.1348347227784117 0.04208878323969333 58839.96910956862 0.447332431680303 None None 0.39569197288408386 0.06915901535782576 3.314 3.112 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 35.83964925286597 0.12450967305045726 1.1252114624219964 0.04150203142930848 58839.951465100035 0.4479093931941202 None None 0.37598271079976625 0.06879003667738658 3.374 3.184 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 4 35.84050484963151 0.1237769864503368 1.1248222175853086 0.04170457814387723 58839.94833964795 0.44898763024318133 None None 0.3699712979608506 0.06867341293242568 3.409 3.215 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 5 35.85402245186427 0.12129080017591311 1.133682603035879 0.04258208509787536 58839.95992744513 0.4506557128020982 None None 0.3678810075974233 0.06829575570255084 3.428 3.213 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 35.931798264780845 0.12281559087189312 1.157636599260161 0.04214547907229691 58840.04430532213 0.43871122302073057 None None 0.425279279558847 0.06747783173976372 2.95 2.763 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 6 35.92734092417773 0.1303122333775188 1.2041765283223484 0.053997286502468086 58840.10256862684 0.5317407105092515 None None 0.4623683616328993 0.07575035746369246 2.886 2.652 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 7 35.90901781539582 0.12689143297498856 1.1721970211216874 0.041607615041813116 58840.15840154859 0.44382425431157846 None None 0.4430558344516286 0.06798057277087886 2.959 2.754 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 8 36.100532204209074 0.13837413253733666 1.2170646860451093 0.04935426816077835 58839.96415585438 0.5040709640035604 None None 0.5326547217020727 0.0754154446556107 3.247 2.975 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 9 35.961800530258905 0.12903256475671976 1.211800315890128 0.04656619098798409 58840.040483289 0.4791234186783292 None None 0.46353356138849205 0.06952675058414412 2.91 2.666 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 10 35.84045851301571 0.1221977951539016 None None 58839.0715011328 0.6435167769281716 0.7956680871673015 0.07224046257723157 0.4096395894872364 0.06821553346349843 3.406 3.199 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 11 35.82980034028627 0.12210283283299087 None None 58839.07016788664 0.6448255720061479 0.7958236509423264 0.0724902802820026 0.40280705420588775 0.06789169753336141 3.424 3.214 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 12 35.79024054090107 0.12619238860756973 None None 58839.093115334195 0.6467555647054031 0.7957744734253552 0.07263583511600709 0.41603615621397844 0.0677079059257141 3.393 3.187 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 13 35.812701664018086 0.12054550886281759 None None 58839.06084436447 0.6479559442324981 0.7958649279648062 0.07284604374614971 0.3880201402858103 0.06712963707594213 3.433 3.222 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 14 35.84326272030083 0.12180343588843626 None None 58839.07008384794 0.6455134152961088 0.7957216702139915 0.07246581155851961 0.40801655471233345 0.06789257101347304 3.403 3.196 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 15 35.73472469862736 0.12590043702659887 None None 58839.091107276065 0.6516627861347165 0.7957039355017839 0.07322357427756161 0.3929493886247402 0.06680882909031005 3.398 3.191 0.0 0.0
J-c-o-ztfr 1D3 True F19 6 35.894836916341255 0.12013442886647013 1.1471268429409982 0.03774728410588359 58840.47664263325 0.413856253769965 None None 0.47550516531966186 0.06738878800352599 2.123 1.926 0.004 0.01
J-c-ztfg-ztfr 1D3 True F19 6 35.88079576044356 0.13043716016912332 1.0661457316430645 0.055998946113578946 58838.7597811075 0.5486125093795132 None None 0.40624721495757804 0.06919041701841859 2.788 2.634 0.001 0.001
J-o-ztfg-ztfr 1D3 True F19 6 35.94007300935014 0.12093307562477291 1.1549344800997066 0.042085753385647746 58840.07202450989 0.44164116634038986 None None 0.41519100834356176 0.06864369838928014 2.926 2.74 0.0 0.0
J-ztfg-ztfr 1D3 True O94 0 35.80698207625251 0.15115455745594458 1.0587953948219961 0.0648452347803367 58838.707460336685 0.6534448364887917 None None 0.42944587752897617 0.07603919449268506 3.379 3.184 0.0 0.0
