bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.046685809609926 0.23700250100755718 0.8967421502979568 0.06780471312992 58841.977401022006 0.8189077105138163 None None 0.6849447971781926 0.12039772911838031 0.339 0.338 0.986 0.986
c-o  True F19 6 37.225274339958375 0.21854999837316982 0.8967366507424842 0.0678030930596147 58841.978189660695 0.8188145772261766 None None 0.6179523833095197 0.12181965140683094 0.339 0.338 0.986 0.986
c-o-ztfg  True F19 6 37.413725063308306 0.19492622240524513 0.9295814644420181 0.0658719494355872 58841.10910648871 0.837244375646013 None None 0.4793555355351219 0.10208082961425258 0.385 0.384 0.98 0.98
c-o-ztfg-ztfr  True O94 0 37.41862467241733 0.22411596046361418 0.9169018813848231 0.07885527956682267 58842.15898768088 0.7946349552344852 None None 0.4670527736089528 0.11803673023749635 0.514 0.513 0.942 0.942
c-o-ztfg-ztfr  True F19 6 37.53862550953617 0.19406286894155395 0.9156403270852449 0.07214495141347535 58842.167479263815 0.7294487817265498 None None 0.4015596478274755 0.11018274790970004 0.496 0.495 0.951 0.951
c-o-ztfr  True F19 6 37.26447697141104 0.20191425019129744 0.882805721306493 0.06330355217005196 58842.63812306066 0.6252978082696333 None None 0.5823614083298247 0.11500364204995066 0.361 0.36 0.988 0.988
c-ztfg-ztfr  True F19 6 37.967975057878064 0.20705398130736175 0.7691993794163919 0.09120489306916227 58842.53685126155 0.7386833981717952 None None 0.06802832664519863 0.11688945107102335 0.243 0.243 0.866 0.867
J-c-o 1D3 True O94 0 37.54414348772886 0.15153267642247356 0.9128223165438714 0.05895893221908731 58841.10147568889 0.34000024636728227 None None 0.382160605720089 0.08149332953123618 0.541 0.535 0.934 0.937
J-c-o 1D3 True F19 6 37.63009988334139 0.1273576670313886 0.9017815794976163 0.06820095079674046 58841.13443023865 0.7661366967130097 None None 0.3176896186469574 0.07983043557138576 0.529 0.523 0.941 0.944
J-c-o-ztfg 1D3 True F19 6 37.640107883476716 0.12592762561076087 0.939784943534257 0.061110068315571454 58841.0520191369 0.6558634148010827 None None 0.3443536619966764 0.07551967098887 0.383 0.38 0.991 0.991
J-c-o-ztfg-ztfr 1D3 True O94 0 37.54116891333627 0.1406363424483218 0.9032334432747231 0.0653363777410183 58841.55585325025 0.665417112030664 None None 0.39024278731101114 0.07923948811657783 0.473 0.464 0.974 0.976
J-c-o-ztfg-ztfr 1D3 True O94 1 37.52796069190911 0.13846018905660706 0.9031898571282982 0.0656747577696 58841.54373102676 0.6699582317763211 None None 0.35709957483362814 0.0770312003509682 0.478 0.47 0.972 0.975
