bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.53269458910439 0.16294276215389134 1.1890232168167936 0.11951069625479836 58852.89229899394 2.6623149182879704 None None -0.035106134414556664 0.13322998027882413 12.143 9.112 0.0 0.0
c-o  True F19 6 36.36414614096387 0.22108073175323417 1.0471919118080095 0.13743150127050047 58852.89891428609 4.561903388286503 None None -0.05105197462775705 0.14668369333453504 19.691 17.655 0.0 0.0
c-o-ztfg  True F19 6 36.06417027500973 0.1012395010606487 0.8594953538673068 0.0353540923530145 58855.375065245295 0.3774405563782226 None None 0.0368142015689185 0.06936335838460451 0.703 0.684 0.88 0.898
c-o-ztfg-ztfr  True O94 0 36.00307169245651 0.09342431482507896 0.8920216170663221 0.033979706615029893 58855.48606685954 0.3708859542018771 None None 0.12494733583824551 0.06434095898723864 0.748 0.729 0.901 0.92
c-o-ztfg-ztfr  True F19 6 36.03160876881105 0.0879213128665649 0.8941204423304168 0.03372924906809949 58855.466869674216 0.3691921411905289 None None 0.0814658120436305 0.06359149628363481 0.73 0.712 0.918 0.934
c-o-ztfr  True F19 6 36.06622785765773 0.10123713465548745 0.9341335192504644 0.03618180101974679 58855.87504869155 0.4242219480215847 None None 0.10962847931099003 0.07546420777890954 0.568 0.555 0.974 0.978
c-ztfg-ztfr  True F19 6 36.0166381539668 0.08883143483487628 0.8739949657783772 0.03527048544819536 58855.442538129355 0.37539394596849773 None None 0.05594108256954771 0.06527119094087237 0.933 0.909 0.586 0.628
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.062437875359535 0.08056343723106338 0.8881829012998674 0.03341260988003432 58855.439635065006 0.3622806625524367 None None 0.044045897161184656 0.06126074137616421 0.83 0.781 0.809 0.878
J-c-o 1D3 True O94 0 37.286775589970574 0.5698109073579376 1.7382007100109762 0.6498182988920116 58867.37120369566 0.3400056249476127 None None -0.07337832702465764 0.3651651892940991 314.531 72.975 0.0 0.0
J-c-o 1D3 True F19 6 36.03870215031 0.08858426462651794 0.893467625033775 0.0408339726520949 58855.41455525241 0.4340270998685209 None None 0.08340557233919614 0.06646702298243473 0.772 0.727 0.71 0.76
J-c-o-ztfg 1D3 True F19 6 36.04595766104004 0.08046901800788887 0.8557050208539049 0.034460778041198785 58855.35259273662 0.36553831575725354 None None 0.031721041914003 0.061401724188654666 0.896 0.716 0.636 0.881
J-c-o-ztfg-ztfr 1D3 True O94 0 36.08042546465544 0.08324207683287779 0.8896508092515377 0.03555041841661865 58855.415692197166 0.37594514154445735 None None 0.06090267010391804 0.06296922589081337 1.377 1.308 0.038 0.069
J-c-o-ztfg-ztfr 1D3 True O94 1 36.09393050071155 0.08285275602280083 0.889875058512413 0.03542322148382345 58855.41700127954 0.37507944251352243 None None 0.05420450667682199 0.06250666086854983 1.341 1.277 0.052 0.088
J-c-o-ztfg-ztfr 1D3 True O94 2 36.11014829801609 0.08281182989417735 0.889277157937506 0.03524783896915567 58855.44200435843 0.37360801111380076 None None 0.048400594671004014 0.06257198943283653 1.309 1.248 0.068 0.11
J-c-o-ztfg-ztfr 1D3 True O94 3 36.06824678606766 0.08241342978111188 0.8895802158597297 0.03523585579327321 58855.405922163634 0.3741025888459309 None None 0.04912052401591208 0.062478096112263376 1.293 1.225 0.078 0.13
J-c-o-ztfg-ztfr 1D3 True O94 4 36.07570476237919 0.08230274095022849 0.8898329626923177 0.035259916182654075 58855.41521758242 0.3740906783717453 None None 0.046454032501523954 0.062445389374057934 1.294 1.232 0.077 0.124
J-c-o-ztfg-ztfr 1D3 True O94 5 36.10869608565158 0.08235783121893936 0.8899956106712256 0.03506281604013298 58855.43085642834 0.3726909639339958 None None 0.03959877016787809 0.06219933378298488 1.261 1.203 0.1 0.152
J-c-o-ztfg-ztfr 1D3 True F19 6 36.06115017448069 0.08143998208902695 0.88886588625923 0.03331559974257128 58855.466118423625 0.36189017515698285 None None 0.048284471429246724 0.06124567944691678 0.805 0.751 0.838 0.905
J-c-o-ztfg-ztfr 1D3 True F99 6 36.073031097083145 0.08168709993167211 0.8837056682418519 0.03365944516208173 58855.42279674172 0.3656072718830131 None None 0.04686541095894753 0.06205200939272345 0.885 0.823 0.705 0.812
