bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.94293118858741 0.1910681393329635 1.274751479930022 0.09991273205554346 59173.28234430368 2.0686670012591057 None None 0.04903457323957153 0.11491778739242117 0.521 0.519 0.971 0.971
c-o  True F19 6 37.03963806726329 0.1833345679586655 1.2729431789877472 0.09973753460305917 59173.33000635883 2.0499327736716006 None None 0.0676126718056412 0.12002571427520127 0.521 0.52 0.971 0.971
c-o-ztfg  True F19 6 36.81619181815933 0.18513385570153115 1.101265420063509 0.09315833851968731 59174.00757602002 0.45896465128757463 None None 0.1014458544228804 0.07650647012556101 0.452 0.45 0.998 0.998
c-o-ztfg-ztfr  True O94 0 36.881940916982835 0.09855592685897634 1.1961652512916507 0.042669760739973195 59174.12114512192 0.44479336257773133 None None 0.08308613947646107 0.06654324287658468 0.392 0.389 1.0 1.0
c-o-ztfg-ztfr  True F19 6 36.91041006550439 0.10038640700845608 1.175371274903364 0.05574386594944395 59174.10117132898 0.4178181263561329 None None 0.08819512111569869 0.06604194003737168 0.393 0.389 1.0 1.0
c-o-ztfr  True F19 6 36.8527227250843 0.11933955467670422 1.0856271461841134 0.06114131027033168 59174.79562676647 0.5485747346329432 None None 0.052167873544808945 0.0879743679666636 0.352 0.35 1.0 1.0
c-ztfg-ztfr  True F19 6 36.90437837045165 0.1029712530796995 1.1957138825366538 0.05115094635421813 59174.2013184393 0.4747757671650351 None None 0.10617890259315042 0.07423028964889036 0.496 0.49 0.992 0.993
J-c-o 1D3 True O94 0 37.26730059264393 0.14691746279499096 1.2119722937641246 0.11065217178727352 59174.68442453562 1.6260395875084848 None None -0.13106581305902823 0.08296952048818335 0.675 0.668 0.88 0.887
J-c-o 1D3 True F19 6 37.084280345919744 0.12695632389989983 1.2688361284897216 0.0659998998097312 59173.418201208566 1.5639113718793747 None None 0.027812757638480515 0.10530763524232756 0.505 0.503 0.978 0.979
J-c-o-ztfg 1D3 True F19 6 37.07626980629705 0.09439094232662355 1.2223537516564902 0.04570829948841664 59174.121896790595 0.47494825987697487 None None 0.03444192665429389 0.0685378068952873 0.458 0.455 0.998 0.998
J-c-o-ztfg-ztfr 1D3 True O94 0 37.16365755716805 0.10384232510340828 1.163026125522589 0.06879427073171261 59173.78572717164 0.45676276622661227 None None -0.06760199564719817 0.07081273225660076 0.667 0.646 0.966 0.975
J-c-o-ztfg-ztfr 1D3 True O94 1 37.20073866768034 0.10471205951398217 1.1740628221737845 0.06454999206012292 59173.81271184148 0.45030073387297387 None None -0.07495079459951277 0.06999147926502414 0.625 0.606 0.983 0.987
J-c-o-ztfg-ztfr 1D3 True O94 2 37.16607324020956 0.09676519767253562 1.1739016947249117 0.05558935546398052 59173.86956001213 0.44322500229140926 None None -0.06529865487361429 0.06816453668763943 0.592 0.572 0.99 0.994
J-c-o-ztfg-ztfr 1D3 True O94 3 37.192281718442366 0.10676770765706085 1.1740548480996225 0.06606373644938876 59173.801350588765 0.45104095993947485 None None -0.07715946267720158 0.068962221107477 0.627 0.609 0.982 0.987
J-c-o-ztfg-ztfr 1D3 True O94 4 37.19512235386982 0.1064653220729779 1.1739424065660844 0.06440875078028264 59173.82041675315 0.44936157409488275 None None -0.07861289550453618 0.06898890710875585 0.619 0.601 0.984 0.989
J-c-o-ztfg-ztfr 1D3 True O94 5 37.185273220890736 0.10493333403669858 1.1739321233594697 0.06099251435753466 59173.90592673272 0.4358568372529936 None None -0.07005608750726271 0.07095324542895713 0.536 0.521 0.997 0.998
J-c-o-ztfg-ztfr 1D3 True F19 6 37.00218060158779 0.0897208396297837 1.198942860179172 0.04222878950388012 59174.17137822149 0.44724165113278513 None None 0.05089981255317512 0.06750450657909586 0.477 0.463 0.999 1.0
J-c-o-ztfg-ztfr 1D3 True O94 6 36.99765097329833 0.09159526526013637 1.203959816185863 0.043503297409944505 59174.14940619692 0.4604686338594135 None None 0.06077237765888246 0.06877541758204155 0.478 0.464 0.999 1.0
J-c-o-ztfg-ztfr 1D3 True O94 7 37.12364203371606 0.09359774394901733 1.173920158724293 0.05646392221213299 59173.85931146777 0.4441564510329837 None None -0.04604704708197455 0.06727361302038355 0.57 0.561 0.994 0.995
J-c-o-ztfg-ztfr 1D3 True O94 8 37.105511286368966 0.09728659891419245 1.1795843156921726 0.062234565058813335 59173.84843139179 0.44246955010661543 None None -0.03907378227547646 0.06737856466816043 0.562 0.552 0.995 0.996
J-c-o-ztfg-ztfr 1D3 True O94 9 37.119833406310455 0.09326066939287678 1.1738381628038195 0.05677261170598354 59173.85669767349 0.44386692889253787 None None -0.04610023081346179 0.06732657863319422 0.569 0.559 0.994 0.995
J-c-o-ztfg-ztfr 1D3 True O94 10 37.16907281625856 0.10250759247874555 None None 59173.76795893241 0.4172209584321166 0.7587574056868001 0.06863148097496086 -0.09864634771689473 0.06882518728939732 0.491 0.484 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True O94 11 37.17237212912847 0.10287290590026447 None None 59173.769665376196 0.41544553552731145 0.7554108967327254 0.06827398226749419 -0.10051309431174686 0.06832048593211308 0.481 0.474 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True O94 12 37.12582925501355 0.10289840028792087 None None 59173.76211558807 0.4112328513129503 0.7475840515528077 0.06741624098924212 -0.10173586733397856 0.06763304853779355 0.455 0.449 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 13 37.20517574102626 0.10360709338655162 None None 59173.77563857564 0.4129016363622029 0.7538185573636662 0.06814090477416611 -0.09733884267437559 0.0664165673095482 0.459 0.453 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 14 37.184018541409635 0.10306735703701247 None None 59173.76258268988 0.4150143650587534 0.752824175634176 0.0683200042621513 -0.09907878736469934 0.0672468253867814 0.479 0.472 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True O94 15 37.13830784196358 0.10245724774494878 None None 59173.788426827334 0.40673502931518657 0.7490657262198982 0.0665256756339683 -0.09525284069245911 0.06545795985103346 0.416 0.412 1.0 1.0
J-c-o-ztfr 1D3 True F19 6 37.079202011418474 0.09397499628560764 1.1738715147209862 0.05651180675619929 59174.21058325583 0.5329491464174786 None None -0.05836486362798182 0.07882187306321006 0.416 0.412 0.999 1.0
J-c-ztfg-ztfr 1D3 True F19 6 37.001200614961924 0.09358156759486373 1.2076962389123695 0.05484828069497742 59174.08531980733 0.49592310835510744 None None 0.06305145703708308 0.07396471121516116 0.625 0.607 0.954 0.963
J-o-ztfg-ztfr 1D3 True F19 6 37.00707724054489 0.0882805785193408 1.2255894411179988 0.03900174876167062 59173.43585293471 0.4230539139321227 None None 0.05574527593323539 0.06491491134700048 0.303 0.294 1.0 1.0
J-ztfg-ztfr 1D3 True O94 0 37.030494637299476 0.09796225232287929 1.1741009402447675 0.07335388228996614 59173.36237720482 0.4588054597888187 None None 0.005427900766033265 0.07157165232948216 0.576 0.52 0.946 0.971
J-ztfg-ztfr 1D3 True F19 6 37.01037636982515 0.0864585053382769 1.2008455759569323 0.04304436747981824 59173.505329798 0.41476196986709296 None None 0.038682143873031975 0.06610519332043324 0.283 0.271 1.0 1.0
o-ztfg-ztfr  True F19 6 36.936358669710806 0.09134321418033316 1.203988724522637 0.03803781283199258 59173.67984785096 0.4105662719755043 None None 0.07727070647326542 0.06480430459207323 0.24 0.238 1.0 1.0
ztfg-ztfr  True O94 0 36.905996663231925 0.09135426354899379 1.1889464505728427 0.04035498854278823 59173.694128825984 0.4014326974391147 None None 0.06412121386339559 0.06369803656217841 0.201 0.199 1.0 1.0
ztfg-ztfr  True F19 6 36.945811041470236 0.09012124478887114 1.1889035674615918 0.04032822300069554 59173.700095221386 0.4011363180242286 None None 0.06792343648301426 0.06572966880498035 0.201 0.199 1.0 1.0
