bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.318417508347736 0.1418264132614587 1.1202134858627297 0.10556492354440848 58896.2188003313 0.9935988916080232 None None 0.1352427910540715 0.08735050326319746 1.459 1.384 0.166 0.198
c-o  True F19 6 36.487383036588945 0.11627753046319322 1.2736665700159564 0.06187421506253815 58894.46727248587 1.2486192731174526 None None 0.09545752126640908 0.08005689062500068 1.355 1.296 0.211 0.24
c-o-ztfg  True F19 6 36.355179064788956 0.09928553124915517 1.2220153003052363 0.040158459955332564 58894.72087686432 0.4472044855066339 None None 0.1411772823934119 0.06733715043931587 1.249 1.169 0.231 0.292
c-o-ztfg-ztfr  True O94 0 36.25999408535128 0.11134834882309383 1.1429842760893645 0.061419327219783104 58894.57525958354 0.4694749193352102 None None 0.13468395576026573 0.07175936158457295 1.144 1.065 0.298 0.38
c-o-ztfg-ztfr  True F19 6 36.306545838913145 0.10029428887468185 1.1393646897932104 0.05207168078069449 58894.594823127525 0.41984251998180394 None None 0.11378517344563896 0.06516513729811371 1.13 1.053 0.312 0.395
c-o-ztfr  True F19 6 36.29753863359463 0.10803564155824179 1.104474235956865 0.058343850953884155 58895.69334050788 0.6765177426603243 None None 0.12409595104959985 0.07149744385907515 1.287 1.227 0.212 0.252
c-ztfg-ztfr  True F19 6 36.25482007936443 0.11218541193721629 1.1385277461634808 0.06804417181588607 58894.60607979757 0.43415504636748514 None None 0.14637885163981074 0.06819255221885463 1.384 1.269 0.172 0.235
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.388809365393435 0.08231482223013314 1.1065166259563972 0.03770734838141943 58895.292012121354 0.4457207786947745 None None 0.06440167083658307 0.06357999841738353 2.822 2.368 0.0 0.0
J-c-o 1D3 True O94 0 36.487107337949496 0.10346093482907494 1.1316854866579924 0.055232109322727325 58896.04683478349 0.7150961964567647 None None 0.026833659235675204 0.06786288958220119 2.675 2.195 0.002 0.012
J-c-o 1D3 True F19 6 36.43675932249988 0.08566381999635327 1.144766188913327 0.03934951328459877 58896.18747594342 0.492392824468309 None None 0.06595030261812768 0.06519693196792718 1.324 1.202 0.203 0.279
J-c-o-ztfg 1D3 True F19 6 36.41804955047549 0.0841252442588492 1.104680746816148 0.03762111435675062 58895.38047007722 0.4356796100009283 None None 0.03119514484430791 0.06363540683374297 2.337 2.027 0.001 0.007
J-c-o-ztfg-ztfr 1D3 True O94 0 36.44248643588847 0.09080182538886697 1.0889896983162382 0.03988620775097877 58895.155227724674 0.45414096667326614 None None 0.029625996757565363 0.06408874106587943 3.443 2.878 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 36.46101183578752 0.09049565291826811 1.0906873025862784 0.03942869817921509 58895.184821527844 0.44943579428712677 None None 0.02176482027782552 0.06340381009330223 3.282 2.768 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 36.47200972888309 0.08901326940108144 1.100698505587252 0.03959377484445712 58895.26922880205 0.46128760484115366 None None 0.02385509250062832 0.06415045314456326 3.762 3.093 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 36.44086815911112 0.09031194031345656 1.0902196015873822 0.03894204709288639 58895.19458521732 0.44295639572261786 None None 0.0188330480686929 0.06317284208714029 3.034 2.557 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 4 36.448000267122715 0.0904293704818102 1.091690291845177 0.039115163685300484 58895.20650679917 0.4463079565740395 None None 0.016136892297232027 0.06326639487254791 3.167 2.661 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 5 36.47451236895164 0.08816548940059914 1.1003664994600892 0.038561847272088515 58895.28742653254 0.4473418986561996 None None 0.013964637953818127 0.0632597416270442 3.307 2.756 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 36.40658227550721 0.083620704650724 1.1019542803176974 0.035697920652459116 58895.32995690496 0.41318964486027626 None None 0.028296835194931955 0.06299775480075562 2.136 1.816 0.001 0.011
J-c-o-ztfg-ztfr 1D3 True F99 6 36.39323544331032 0.08652718788788204 1.1016127193268568 0.036966428712119664 58895.30648688252 0.4363031302359483 None None 0.044775866270050174 0.06560558940713078 1.962 1.623 0.005 0.033
J-c-o-ztfg-ztfr 1D3 True O94 6 36.40187290489418 0.08595132358887334 1.1023905345554734 0.038143068614704505 58895.33185348494 0.44587178619947143 None None 0.032708187503916984 0.06505934275234496 2.11 1.779 0.002 0.014
J-c-o-ztfg-ztfr 1D3 True O94 7 36.390603280983605 0.08496950938598564 1.0965405955808545 0.03621714061954003 58895.2367875753 0.41718355981383826 None None 0.03040036250929266 0.06322289766378898 2.201 1.879 0.001 0.007
J-c-o-ztfg-ztfr 1D3 True O94 8 36.391230247801516 0.08438127428641276 1.0954196912690797 0.035481392456127775 58895.216689294175 0.4097856011819599 None None 0.04428671748823808 0.06413882764721766 2.014 1.713 0.003 0.02
J-c-o-ztfg-ztfr 1D3 True O94 9 36.388880730449316 0.08483165568480781 1.0956707946671547 0.03606500578301372 58895.22824933689 0.4150190803710823 None None 0.03333415264658309 0.06327999389643431 2.133 1.823 0.002 0.011
J-c-o-ztfg-ztfr 1D3 True O94 10 36.45317567866358 0.09113851938094827 None None 58894.93176293017 0.39223109513897825 0.8818544666996769 0.07133203317010899 0.01923063358510421 0.06362511287830837 2.333 1.979 0.0 0.004
J-c-o-ztfg-ztfr 1D3 True O94 11 36.46160041621585 0.09054882390898841 None None 58894.933848864835 0.3927147319442654 0.8791013213348544 0.07136274740835917 0.016156352827326973 0.06338591639296164 2.333 1.969 0.0 0.004
J-c-o-ztfg-ztfr 1D3 True O94 12 36.44981070238736 0.08856458562888718 None None 58894.92095118597 0.3923598332784501 0.8702827050874881 0.07092276655471001 0.0185352787888384 0.0629689218913963 2.244 1.856 0.001 0.009
J-c-o-ztfg-ztfr 1D3 True O94 13 36.45274220255526 0.09225434799805364 None None 58894.919558639805 0.391920070413607 0.8787283527066726 0.07139819604339226 0.01077991143365193 0.06256222206658968 2.28 1.933 0.001 0.005
J-c-o-ztfg-ztfr 1D3 True O94 14 36.450499123404086 0.09178167069315843 None None 58894.94830219521 0.3925484336231492 0.8768328194538495 0.07142387737903638 0.008994329361190781 0.06291954757883908 2.323 1.942 0.0 0.005
J-c-o-ztfg-ztfr 1D3 True O94 15 36.439204745085824 0.08856953428869864 None None 58894.90123729092 0.3919638265498321 0.865767745046335 0.07006945674373191 0.013463424703641716 0.062001991314303 2.165 1.777 0.001 0.014
J-c-o-ztfr 1D3 True F19 6 36.41809120191569 0.08496601600998786 1.125144756506874 0.03691475006950908 58895.87300897001 0.45164938291901563 None None 0.046966748202990426 0.06441358617972469 1.513 1.33 0.085 0.168
J-c-ztfg-ztfr 1D3 True F19 6 36.39262960578893 0.0832686606166771 1.0729585307576763 0.039465121339487756 58895.02544157731 0.436228064041329 None None 0.02002755028253844 0.06322542096956077 2.364 2.071 0.003 0.01
J-o-ztfg-ztfr 1D3 True F19 6 36.3989277275107 0.08274764253009737 1.0876456209385164 0.03381849358390011 58895.30341977618 0.385237758809462 None None 0.004173079187228467 0.06233114959909078 1.248 1.095 0.212 0.349
J-ztfg-ztfr 1D3 True O94 0 36.378242129328484 0.0952054600630913 1.0414183770836185 0.04555744208999082 58894.89583494928 0.4604737344423266 None None 0.036118871757381814 0.06493607830408506 1.694 1.498 0.076 0.133
J-ztfg-ztfr 1D3 True F19 6 36.37294692005392 0.0826196539821817 1.05345594676333 0.03687507360267651 58894.95580465096 0.3994769542947144 None None 0.0033938232142919603 0.06211113435286104 1.291 1.123 0.228 0.34
o-ztfg-ztfr  True F19 6 36.33259909484857 0.09790569898495571 1.1309790529188302 0.04820204238465974 58894.621513979524 0.42055414859653883 None None 0.08932363120540386 0.06660839980021034 0.861 0.827 0.609 0.648
