bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.76301614810086 0.13948164553162629 1.0455875798423373 0.07588199655516098 58913.1916365505 0.5917648243549265 None None 0.04227869429897763 0.10352049007416998 0.563 0.558 0.809 0.813
c-o  True F19 6 36.77283627870933 0.134538076645128 1.0532715464079405 0.0800602630489864 58913.196145733855 0.6112359472318151 None None 0.013300847263245628 0.1075864043666938 0.585 0.579 0.791 0.796
c-o-ztfg  True F19 6 36.81616257000741 0.09435220255129592 1.2003946063817696 0.04052290525949136 58912.679920252755 0.4168887310277914 None None 0.09534382515744828 0.06593217878711981 0.735 0.724 0.74 0.752
c-o-ztfg-ztfr  True O94 0 36.63068238042076 0.10784259699396066 1.1238914273975242 0.06554383355369627 58912.616120191014 0.4494513919216088 None None 0.15318808468017228 0.06880321878565587 0.847 0.832 0.662 0.682
c-o-ztfg-ztfr  True F19 6 36.68340008901691 0.09607118319747522 1.1076783304798958 0.052737403528865905 58912.65770513406 0.4094273586043024 None None 0.11275507515342753 0.06531518143763514 0.848 0.833 0.661 0.681
c-o-ztfr  True F19 6 36.751732857527074 0.11342101732766521 1.0542761311361624 0.04901261773280695 58912.88981649342 0.47180614756364814 None None -0.005862547715550621 0.09116524013667808 0.679 0.669 0.808 0.818
c-ztfg-ztfr  True F19 6 36.586926981679035 0.10125110596473244 1.1440103689472683 0.06173086547030166 58912.87769578078 0.39758053136283794 None None 0.1752575154925879 0.06588933906030592 0.656 0.624 0.766 0.794
J-c-o 1D3 True O94 0 36.73375034152471 0.09646236910686531 1.0996028431103881 0.03841862731269963 58912.99516654585 0.4481907109259313 None None 0.09058518713868037 0.06780876584819666 0.493 0.479 0.909 0.917
J-c-o 1D3 True F19 6 36.696227102970944 0.09019105384845094 1.0997367447004431 0.03768197261922716 58913.019988950684 0.4287384140418585 None None 0.12241958678817134 0.06494290306356083 0.591 0.574 0.838 0.852
J-c-o-ztfg 1D3 True F19 6 36.72877278150649 0.08641370342023011 1.1072401086379842 0.03784148847350041 58912.631090639974 0.39155544242145807 None None 0.08632453314409075 0.061436626266311016 0.679 0.638 0.827 0.864
J-c-o-ztfg-ztfr 1D3 True O94 0 36.73614777914565 0.0899617715978411 1.0913187927328714 0.0373821030454465 58912.68827598204 0.39163693268201955 None None 0.07439951560090792 0.06316862613088715 0.885 0.862 0.625 0.656
J-c-o-ztfg-ztfr 1D3 True O94 1 36.74712597992318 0.0900916118856555 1.0923497747143263 0.037411302226787645 58912.69534507098 0.3904613094591625 None None 0.06626960601536758 0.06280168278126963 0.867 0.844 0.65 0.682
J-c-o-ztfg-ztfr 1D3 True O94 2 36.759915301394315 0.08857674499184107 1.093979304043956 0.038090843197969286 58912.70003978641 0.3922699176168784 None None 0.06652434805571743 0.0628950045626467 0.916 0.89 0.581 0.617
J-c-o-ztfg-ztfr 1D3 True O94 3 36.72914558177232 0.09007895643120442 1.0923726983724193 0.03710804913511124 58912.687948768515 0.389176923992057 None None 0.06552667222178192 0.06257071836023798 0.835 0.812 0.695 0.725
J-c-o-ztfg-ztfr 1D3 True O94 4 36.73324244024728 0.09005631904174427 1.0921882027339298 0.03728366329619252 58912.69585269294 0.38947161905006206 None None 0.06260826607843607 0.06260699337111349 0.847 0.824 0.678 0.71
