bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.35218019033364 0.09486418341249667 1.0022526329525123 0.038354511966553005 58919.01302471924 0.37255581315901043 None None 0.04180370290348768 0.06729320109252078 0.482 0.468 0.926 0.934
c-o  True F19 6 36.35824348182807 0.09262504123443814 1.0022342068549905 0.03835337691619878 58919.013334010284 0.37255498736791703 None None -0.0033927244245628213 0.06765556148237001 0.482 0.468 0.926 0.934
c-o-ztfg  True F19 6 36.33847786184093 0.08473387962806521 1.0015885999544374 0.03440398350145022 58918.56756388419 0.3591559984594591 None None -0.00672453373489895 0.06302652541533083 0.461 0.437 0.988 0.992
c-o-ztfg-ztfr  True O94 0 36.40007797159179 0.08646148667584352 1.0775425772835667 0.03630669742062961 58918.25129234849 0.36906528703327746 None None 0.062328232039442114 0.061797108517922056 0.325 0.301 1.0 1.0
c-o-ztfg-ztfr  True F19 6 36.43977574581177 0.08432028650210141 1.0932074310972308 0.03657152388145774 58918.190322191425 0.36604643012494376 None None 0.020264599773490422 0.06149132522236115 0.313 0.29 1.0 1.0
c-o-ztfr  True F19 6 36.36261489939089 0.08491651703175451 1.0297525341292975 0.032868847918131196 58919.081282687315 0.35618816277592136 None None 0.019831053562306238 0.06344142818678482 0.345 0.327 0.999 1.0
c-ztfg-ztfr  True F19 6 36.50356801276847 0.08515829595249924 1.1373428500140432 0.040356351099848524 58917.98307873287 0.36540243258309907 None None 0.017580222568087653 0.06181028422764315 0.295 0.263 1.0 1.0
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.4463324381428 0.09331116721227689 1.047505039108964 0.03266963241946242 58918.538589900236 0.3596118467974586 None None -0.024279862439305102 0.06129867767600748 0.999 0.819 0.474 0.807
J-c-o 1D3 True O94 0 36.47756868122929 0.08758589399761038 1.0517013781836486 0.03664389002294186 58919.00119296617 0.38481447391936296 None None 0.0105193834661842 0.062118656054623 1.037 0.824 0.412 0.643
J-c-o 1D3 True F19 6 36.45911940856802 0.08342527204205558 1.0604470913312125 0.0342020079837099 58919.037349293125 0.369959430318488 None None -0.007894280575442824 0.061931216516358426 0.795 0.697 0.676 0.78
J-c-o 2D True F19 6 36.484256307320514 0.08419990732606114 1.0369930864402899 0.035883192837509126 58919.111504881526 0.3737718856367274 None None -0.04994477375499897 0.06247428429231103 0.884 0.789 0.576 0.683
J-c-o-ztfg 1D3 True F19 6 36.437835659630856 0.08029645577937983 1.0248783001687205 0.03254555491785896 58918.401921789526 0.3536289667209352 None None -0.036883167490281726 0.0609120982410006 0.613 0.484 0.937 0.987
J-c-o-ztfg 2D True F19 6 36.46994364078472 0.08225200399467492 1.0044225804471296 0.03385110728450538 58918.576303528396 0.3578843576236913 None None -0.07711470555041978 0.061407047995530165 0.867 0.701 0.658 0.867
J-c-o-ztfg-ztfr 1D3 True O94 0 36.474321258065736 0.08180298785775904 1.039701155449446 0.03221179250459409 58918.4611696514 0.35495064001440624 None None 0.0014201617395932092 0.060839243357695784 0.898 0.64 0.657 0.964
J-c-o-ztfg-ztfr 1D3 True O94 1 36.49464233910523 0.0817696043057923 1.0400538620915771 0.032095947183377854 58918.46990091118 0.35418688374352425 None None -0.0036602678325469954 0.060698927180780335 0.838 0.608 0.759 0.978
J-c-o-ztfg-ztfr 1D3 True O94 2 36.50809171120998 0.08206350374964257 1.0443608773459452 0.03262194911685215 58918.46980308511 0.35838165925115467 None None -0.007119161669980294 0.06102056096499563 1.168 0.782 0.213 0.84
J-c-o-ztfg-ztfr 1D3 True O94 3 36.46977354020616 0.08165754160380656 1.0398522115969464 0.03189981521616513 58918.48010679495 0.3528268035220953 None None -0.008200059741602938 0.060650538305432544 0.755 0.549 0.873 0.992
