bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.166581194406064 0.09642700939413724 1.0819133955624358 0.04945086630361592 58958.45672764232 0.5066779736095329 None None 0.05212247210235313 0.06513379114983359 0.417 0.411 0.996 0.997
c-o  True F19 6 37.183016353657386 0.09949671445508079 1.0819681429094967 0.05184082679281138 58958.45799246152 0.5279594980920962 None None 0.018585313998269806 0.06517790093410127 0.418 0.412 0.996 0.996
c-o  True F99 6 37.19070714631534 0.09686730200713455 1.0819311249965633 0.05181173062799449 58958.458067868916 0.5277426797794093 None None 0.015461061413465425 0.06414459497478131 0.417 0.411 1.0 1.0
c-o-ztfg  True F19 6 37.20544309026577 0.08494021188785889 1.104531892307506 0.039937592153892566 58957.87935041155 0.3850670318469754 None None -0.0028233106647258164 0.060937468849073695 0.24 0.233 1.0 1.0
c-o-ztfg-ztfr  True O94 0 37.16916759951104 0.08377028348275453 1.1014767407286123 0.03536380410314752 58957.96013558091 0.3746639108762831 None None 0.03965359446621787 0.06135234053897041 0.241 0.235 1.0 1.0
c-o-ztfg-ztfr  True F19 6 37.20091256150418 0.08218403644751476 1.0958629794831658 0.03512763952758474 58957.96050519533 0.3752378466618958 None None -0.00378401842504475 0.06056760787293017 0.248 0.241 1.0 1.0
c-o-ztfr  True F19 6 37.246166300725385 0.08730782343219645 1.1911887409298996 0.03501020010739835 58957.3905945454 0.4797241740782923 None None 0.030621728342010025 0.0636962504038414 0.426 0.417 1.0 1.0
c-ztfg-ztfr  True F19 6 37.236517777813425 0.08551246214055809 1.1159741496471212 0.03855880277909208 58957.88677202811 0.3835439311570239 None None -0.009506326726212327 0.06093140742908069 0.289 0.28 1.0 1.0
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 37.24872254098354 0.08764468009290137 1.1152711482514823 0.04185672245415247 58957.99990952621 0.41218412078445527 None None -0.015705225965473225 0.06131394691655111 0.649 0.559 0.996 1.0
J-c-o 1D3 True O94 0 37.207115692873494 0.10669471648927202 1.0409220299105577 0.04896506332708248 58959.0609601795 0.5177420579512446 None None 0.01876102113370235 0.0684275717781321 0.958 0.85 0.528 0.693
J-c-o 1D3 True F19 6 37.2513587371721 0.11080096005188775 1.0762650671262477 0.06112340806175007 58958.82781464801 0.5968764395526545 None None -0.023453310253233186 0.06771002561358516 0.988 0.843 0.482 0.702
J-c-o 2D True F19 6 37.22320053236008 0.10369234936825121 1.0723919213738813 0.0537982494361112 58958.76130316506 0.5406588246940135 None None -0.010908111871182825 0.06615297445909873 0.682 0.63 0.895 0.935
J-c-o dehvils True O94 0 37.17645749252062 0.09586264485246161 1.0559701286940655 0.04333412127097198 58958.770692946186 0.4627213399961957 None None 0.03783087831039902 0.06503377964804848 0.483 0.463 0.99 0.993
J-c-o dehvils True F19 6 37.31280239912319 0.0907708799353678 1.2034802985800523 0.04192845998396659 58957.62781246169 0.619447280753625 None None 0.004032936336824908 0.06534752361106476 0.589 0.554 0.958 0.973
J-c-o-ztfg 1D3 True F19 6 37.356268254037026 0.08471225039769492 1.2056676945605986 0.035469010763545666 58957.50108926623 0.4365872969078234 None None -0.03371767193311608 0.06162332806843729 0.581 0.449 0.995 1.0
J-c-o-ztfg 2D True F19 6 37.28051190216801 0.08877285985111814 1.1354692130409019 0.044701913900958706 58957.82048994994 0.3898731358875357 None None -0.024530016928954426 0.061459705556059875 0.421 0.366 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 0 37.17426100555174 0.08590710300126744 1.081312465971989 0.03744826547708336 58958.260377104285 0.39473448101619824 None None 0.03687679703569347 0.061705651244663644 0.65 0.462 0.995 1.0
J-c-o-ztfg-ztfr 1D3 True O94 1 37.17559072643645 0.08620174518561535 1.080370082418157 0.037735516143986965 58958.2752599405 0.39720559631786 None None 0.03614560007317888 0.06176872933679335 0.572 0.453 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 2 37.262419853673485 0.0877259247474934 1.1371763239826844 0.03818679808007577 58957.867497861735 0.38710994722848086 None None 0.002295601496647749 0.06352924495909881 0.658 0.468 0.994 1.0
J-c-o-ztfg-ztfr 1D3 True O94 3 37.20064626691845 0.08681265490911586 1.0831914432890026 0.037631786170235236 58958.220258015805 0.39562269737256844 None None 0.014058515856331171 0.06155140580576938 0.544 0.438 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 4 37.203653760198286 0.08769992543493343 1.0877504310699435 0.03806482290107847 58958.19456039958 0.3967957906400675 None None 0.014036071724738945 0.061780258365391555 0.56 0.445 1.0 1.0
