bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 58982.90777503212 0.7389975077376805 37.42481595713339 0.16274380449520948 0.5875589608284127 0.0689146344948294 -0.005524205390052262 0.1299171003417636 0.391 0.389 0.992 0.992
c-o  True F19 6 58982.874503040846 0.8544405268343568 37.527260034820095 0.16110115857923285 0.5882884204934539 0.0799970781308161 0.05470612167581688 0.13081573662636517 0.392 0.39 0.991 0.992
c-o  True F99 6 58982.8731756954 0.8543767825074531 37.547582150979984 0.14609184998367422 0.5881199776243315 0.07997691436545885 0.04647260083346219 0.11981650725628856 0.392 0.39 1.0 1.0
c-o-ztfg-ztfr  True O94 0 58983.16317044668 0.3719969038027604 37.66567186341464 0.09611866199066373 0.645714189854278 0.03647150094656663 -0.02295246048497069 0.07036647653436183 0.312 0.31 1.0 1.0
J-c-o 1D3 True O94 0 58983.239051246426 0.5791387757693996 37.59448143728021 0.09746315041882996 0.6108785666624285 0.04534336542815577 -0.05813266022033361 0.09528990689568796 0.392 0.381 0.998 0.998
J-c-o 1D3 True F19 6 58983.89897285898 0.5907145130082785 37.3937847163097 0.1021474305931552 0.5824353146617842 0.049576647243618065 0.1632460696938711 0.07301809138437232 0.458 0.425 0.99 0.995
J-c-o dehvils True O94 0 58982.67938017684 0.6070086310997614 37.58736409946954 0.10232271037393562 0.5810317933319743 0.04472825228423167 -0.1150272334943128 0.10106417272192633 0.396 0.382 0.997 0.998
J-c-o dehvils True F19 6 58982.776287449706 0.562687404960602 37.465692356103744 0.09891868723702443 0.5535397558426571 0.04542377013309777 0.049516560138114285 0.07383638603704741 0.322 0.318 0.999 1.0
J-c-o-ztfg-ztfr 1D3 True O94 0 58983.24420844999 0.381993706011516 37.51310330261462 0.09497265740050831 0.5623116707263962 0.034681629385711336 -0.0767576506740963 0.07269339100513782 0.424 0.408 1.0 1.0
J-c-o-ztfg-ztfr dehvils True O94 0 58983.20312183026 0.37393886177785335 37.600910536918946 0.09249581745335823 0.6036526519228932 0.03498084932549745 -0.0535137570487355 0.07087051119433438 0.339 0.331 1.0 1.0
J-ztfg-ztfr 1D3 True O94 0 58983.131901178414 0.3749721234311707 37.513790564669605 0.0936294472031951 0.5794059528522216 0.03444636215396259 -0.06052724871752828 0.07154672977003244 0.359 0.338 1.0 1.0
J-ztfg-ztfr dehvils True O94 0 58983.11080965885 0.3625736169074603 37.60072468049023 0.09066625141311192 0.6189386045528508 0.033530396813253566 -0.03992284383297018 0.06753316139387426 0.238 0.229 1.0 1.0
ztfg-ztfr  True O94 0 58983.130138008855 0.3598110836999998 37.67863585112716 0.09120287624671308 0.664136008408232 0.034424031111122404 -0.008694077470634255 0.06708315804622737 0.194 0.193 1.0 1.0
