bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.34161021660264 0.16386602143828038 0.7354248437888115 0.056946555865246835 58985.10600802318 0.5806162134769821 None None 0.3101488817698696 0.1022199302898239 1.078 1.065 0.362 0.378
c-o  True F19 6 36.41919446658462 0.15504665001642504 0.7349476938308102 0.06058082324603949 58985.09763537849 0.6147516493598185 None None 0.3161757691766155 0.10702400497921855 1.079 1.066 0.361 0.377
c-o  True F99 6 36.52295079327993 0.13814904629048597 0.7346800605282576 0.06059569780303016 58985.097585211304 0.6148036650646229 None None 0.2731100363726193 0.09936228126876209 1.079 1.066 0.0 0.0
c-o-ztfg  True F19 6 36.423859231754676 0.14783129346526985 0.7148763181741472 0.05911976156581412 58985.1397944796 0.5362306866023451 None None 0.30360406562607767 0.09212099845120218 1.211 1.193 0.218 0.235
c-o-ztfg-ztfr  True O94 0 36.241713853875325 0.15355569167866695 0.7411111008263255 0.04714809371920643 58984.90921560884 0.45462577116279035 None None 0.3505578467386915 0.09243380357252592 1.222 1.203 0.175 0.194
c-o-ztfg-ztfr  True F19 6 36.354877855378966 0.14034292665214504 0.7463984222892606 0.045818089828802595 58984.898278073284 0.44708267552031616 None None 0.35141167706293613 0.09040333655828019 1.293 1.273 0.118 0.132
c-o-ztfr  True F19 6 36.36868955777456 0.1413397190003933 0.7579334615072295 0.04375726563990368 58984.864321869034 0.44695265642856374 None None 0.34202033087925193 0.09762585889167148 1.085 1.07 0.34 0.36
c-ztfg-ztfr  True F19 6 36.09412129128752 0.1711379557509783 0.7213175951371822 0.04837799466746081 58985.15529018914 0.4322741500793528 None None 0.5017644899860152 0.08755610102041911 0.585 0.577 0.868 0.875
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 35.600399700338976 0.23551520513474533 0.7007055280753461 0.061728067309932515 58985.070021521286 0.6187166384334702 None None 1.0273602863728204 0.09508386495973221 11.611 7.19 0.0 0.0
J-c-o 1D3 True O94 0 35.43917262028237 0.18792251801488694 0.6526943238212871 0.05803268278347949 58985.34230537264 0.6810893080793928 None None 0.8979963027902274 0.13372555903850925 12.915 5.01 0.0 0.0
J-c-o 1D3 True F19 6 35.59952881730206 0.21211047941667888 0.700668141981465 0.061258017804278274 58985.46443087577 0.6578414180908626 None None 1.0832467448602503 0.09338668034454933 12.559 5.513 0.0 0.0
