bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 58985.61804191021 1.2244825188725912 35.25949456275899 54.29991579574173 -3.2666505943373956 0.7777515490612592 20.913360058281235 37.26443435140308 0.266 0.258 0.767 0.773
c-o  True F19 58985.161354652526 0.37746183680225565 7.659051067520675 0.13290495452508766 -2.986522434541651 0.3696183405701853 0.3549068415304869 0.0901787885694525 0.882 0.581 0.624 0.944
c-o  True F99 58985.161990249355 0.37745979967778065 7.659909711561433 0.13292307629269534 -2.985572560916067 0.36959690079818014 0.34449791010792646 0.09020875578825244 0.882 0.58 0.625 0.944
c-o-ztfg  True F19 58985.158467328394 0.3195689568165108 7.977523958134062 0.09879099677733894 -2.974918547546028 0.36669293888059845 0.4330680537658252 0.07029638924492762 3.526 2.289 0.0 0.0
c-o-ztfg  True F99 58985.12145193992 0.2765716599973853 7.647777742595336 0.0929512527599301 -3.064631641829785 0.3197972646983509 0.33442133218235337 0.06535766136371425 0.808 0.783 0.736 0.769
c-o-ztfg-ztfr  True F19 58984.921496273484 0.23408347920452996 7.665285757154065 0.09563879532157964 -2.935902043254969 0.298881484359355 0.37409102184072685 0.06688586946124962 0.787 0.495 0.815 0.995
c-o-ztfg-ztfr  True F99 58984.883745683735 0.19173316201780038 7.647434446698272 0.08948458212168847 -2.9891558839081966 0.24588581661036635 0.3507449367636225 0.062165551255617506 0.778 0.731 0.827 0.881
c-o-ztfr  True F19 58984.867377534334 0.2522759849509443 7.92815824259457 0.1252420621810041 -2.9426833226643088 0.2993567571417572 0.41517653895662365 0.08657689705082779 4.655 2.542 0.0 0.0
c-o-ztfr  True F99 58984.839035227335 0.20234962689670183 7.5914864387365295 0.11404968169184017 -2.9887620429344435 0.2460992269396997 0.3130322065368893 0.07860368916984294 0.799 0.756 0.791 0.846
c-ztfg  True F99 58984.1903478537 1.2517044574216734 7.981209343670551 0.38402917544194665 -3.1900204527062543 0.9975912528156933 0.7830059445769786 0.5318030271721343 0.556 0.543 0.694 0.704
c-ztfg-ztfr  True F19 58984.80740082311 0.30254561278208214 8.042886234184238 0.11216918161006449 -2.8028086690169145 0.42092773169766035 0.5083970673115865 0.08545486920734602 6.493 3.81 0.0 0.0
c-ztfg-ztfr  True F99 58984.779632885715 0.2480799719852981 7.718830322737895 0.1049400371539597 -2.8293262804437527 0.3374553886769955 0.4132829835407432 0.07914027770290906 0.48 0.467 0.952 0.958
c-ztfr  True F99 58984.713526395426 0.27903594987269753 7.660689266575723 0.14776198222356451 -2.8325142408669017 0.33730337224312756 0.3705268045514065 0.11041515426561875 0.53 0.516 0.908 0.917
J 1D3 True F99 58982.45275856856 0.9523044488917614 6.501337748549125 4.006625779124274 -22.02407176825718 5.221632854571572 0.2716170881117338 1.3530824758021474 53.638 2.894 0.0 0.013
J dehvils True F99 58983.036355778255 0.9115515412912792 1.6791799760048816 3.0726008171461245 -26.163566545727626 4.052502068024944 -1.353931255799479 1.047728593995402 29.07 3.065 0.0 0.009
J-c 1D3 True F99 58982.269102920516 0.31103335849113617 7.553318513071658 0.10606362932320773 -4.82811625198896 0.4918973705532805 0.5878896438066823 0.04292336664091378 21.359 12.186 0.0 0.0
J-c dehvils True F99 58983.5396643477 0.4286699312097308 7.691292211291375 0.10334692798494818 -4.338585158650634 0.5233099385047726 0.5818733569803718 0.04156206545407056 17.225 14.597 0.0 0.0
J-c-o 1D3 True F19 58985.393324109114 0.34666214099071474 8.389805545981915 0.09553584987899277 -2.924920784798549 0.36058330221760954 0.7334955563722366 0.054021037538995696 28.098 2.342 0.0 0.0
J-c-o 1D3 True F99 58985.393818661636 0.34726899087835295 8.389132018184053 0.09566224869144424 -2.924219992857342 0.36096907566580255 0.7331930265813809 0.054112382478021775 26.85 2.203 0.0 0.0
J-c-o 2D True F19 58985.38010870764 0.34765425766944347 8.034777009991032 0.09492269369306268 -2.935578151394985 0.3615917723502 0.629239600227913 0.05395773669127632 11.537 1.218 0.0 0.182
J-c-o 2D True F99 58985.39200458105 0.3481025364670821 8.36553969207511 0.09552492283682273 -2.9311516757890264 0.3614314549333404 0.7164238327204292 0.05426064379658935 14.649 2.224 0.0 0.0
J-c-o dehvils True F19 58985.39401267777 0.3469125959786521 8.024854014298008 0.09358196127252695 -2.933847109670209 0.36224514920510437 0.6217632913479867 0.05288944090606017 11.08 1.146 0.0 0.258
J-c-o dehvils True F99 58985.40608359129 0.3471706175318481 8.355859604011576 0.09414762821284516 -2.929321956151208 0.3620754035751837 0.7091349344713471 0.05316530788561619 16.607 2.154 0.0 0.0
J-c-o-ztfg 1D3 True F99 58983.91060955883 0.24471564757219452 8.06950169236816 0.08033315878519771 -3.2686521086845 0.2807430959224951 0.6727709771113379 0.04539377103484027 18.261 9.934 0.0 0.0
J-c-o-ztfg dehvils True F99 58984.87208885917 0.23404201840751343 8.00519669767144 0.07497019002115014 -3.2901642061899854 0.31510670066093055 0.6160796572219875 0.0415989111229963 11.627 6.946 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 58984.24817450776 0.18517619792384893 8.091103283498674 0.07272383968418825 -3.1589964698908113 0.22885737193274008 0.6741185869490762 0.043558693953571447 13.786 7.886 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 58984.964027169146 0.23076386566201976 7.954529537941152 0.08035891726393217 -2.8828204854853645 0.29458727827743464 0.589934591625752 0.05031469481761784 9.762 1.068 0.0 0.349
J-c-o-ztfg-ztfr 2D True F99 58984.967400000474 0.23063678196096588 8.281727079796322 0.08100522437975576 -2.879403493553922 0.29436157205618846 0.6752547967589795 0.05069810238459585 13.877 2.467 0.0 0.0
J-c-o-ztfg-ztfr dehvils True F99 58984.811878793946 0.17478667846957904 8.009885710585616 0.06753316361987137 -3.138820477224286 0.2354058658482589 0.6179973879915631 0.040372410796418304 8.927 5.393 0.0 0.0
J-c-o-ztfr 1D3 True F99 58984.263373610884 0.18900354914797052 8.131242528269755 0.07715459740309603 -3.1700371652896764 0.23113497422382495 0.6960249892226488 0.045636352810980454 12.885 8.163 0.0 0.0
J-c-o-ztfr dehvils True F99 58984.85480959706 0.17950433153371823 8.048181916467344 0.07139834581765044 -3.1579372306517732 0.23778534366660287 0.6388575622483695 0.04215559447746884 8.238 5.56 0.0 0.0
J-c-ztfg 1D3 True F99 58982.719572618684 0.2878950828015851 7.784104349651628 0.07597818059179705 -4.362224875476776 0.49711180190592813 0.6624262383060946 0.03707109486922043 19.393 12.067 0.0 0.0
J-c-ztfg dehvils True F99 58983.866038874854 0.36035551019084294 7.779437509788433 0.07576034210099757 -4.203126962469602 0.5279269720219734 0.6080766315238374 0.03667659995671378 14.788 12.637 0.0 0.0
J-c-ztfg-ztfr 1D3 True F99 58983.792862302085 0.21707946385616778 8.088147792893903 0.07385089110491166 -3.0867442795203 0.3160420612091273 0.7044363725653824 0.04348101895175644 16.969 12.072 0.0 0.0
J-c-ztfg-ztfr dehvils True F99 58984.68781765636 0.21048325994024306 7.9831613508547985 0.06657473924676578 -3.155931383296614 0.3208895821527422 0.6335260351331351 0.03926146673931711 10.964 8.672 0.0 0.0
J-c-ztfr 1D3 True F99 58983.79011579606 0.22002924885599884 8.117468329021563 0.07909049322844897 -3.0769370247951615 0.3206256942876771 0.7195971082395016 0.04584545010602687 17.314 13.04 0.0 0.0
J-c-ztfr dehvils True F99 58984.734308867555 0.21610109017469603 8.013475958138176 0.07062719780004469 -3.175150950816069 0.3254131695507834 0.6494892720113743 0.04102777885526424 11.071 9.355 0.0 0.0
J-o 1D3 True F99 58983.53491436821 0.283357559577065 8.573431773378912 0.12577841609778492 -3.5222401626515873 0.33932851899378663 0.9049846493215735 0.06310035576325063 13.187 10.623 0.0 0.0
J-o dehvils True F99 58984.74744747696 0.25866537228092085 8.402834228677683 0.11509247992545538 -3.747054494363309 0.38507250589147757 0.8005989309914538 0.05690139648112277 8.623 7.713 0.0 0.0
J-o-ztfg 1D3 True F99 58983.55812974142 0.27236055153713234 8.389716237648587 0.11402733935590441 -3.4600867618936437 0.32619533174650744 0.8187830988758633 0.058985133636643185 14.741 10.408 0.0 0.0
J-o-ztfg dehvils True F99 58984.62929473628 0.2450274952121264 8.23184475270303 0.10490415224131587 -3.5805882542968055 0.36847791235173993 0.721515768378 0.05339866119389842 9.744 7.68 0.0 0.0
J-o-ztfg-ztfr 1D3 True F99 58983.94015181912 0.2051647668432212 8.282921800810321 0.08783462548889792 -3.205196672020718 0.24961393353326233 0.7727764557257311 0.050069807796925936 11.19 8.532 0.0 0.0
J-o-ztfg-ztfr dehvils True F99 58984.64952215744 0.18304555283757024 8.13695777090165 0.08086883321187735 -3.24754580065969 0.25251107376518506 0.6836069256443617 0.04609514327661702 7.651 5.833 0.0 0.0
J-o-ztfr 1D3 True F99 58983.922722281015 0.20851582258727439 8.363714309303832 0.09210388387364754 -3.2249920597700155 0.2532748354002178 0.8158071422479576 0.05179041927239832 10.283 8.748 0.0 0.0
J-o-ztfr 2D True F99 58984.31385150477 0.20674075311852275 8.261887556250384 0.09047244616369016 -3.2785358891936305 0.25266420581978877 0.7538539268156805 0.05120144182570898 8.415 7.495 0.0 0.0
J-o-ztfr dehvils True F99 58984.67841712344 0.1854376820674577 8.208612542214016 0.08507460499141005 -3.2851728776953397 0.25586116090146177 0.7218742669844898 0.04784157417005106 6.88 5.955 0.0 0.0
J-ztfg 1D3 True F99 58981.796003775875 0.5838592787129883 7.806761077761662 0.16894826421588843 -14.768286745876132 3.453822546946823 0.7079443526241509 0.0659660751583601 33.376 3.876 0.0 0.001
J-ztfg dehvils True F99 58981.66364091612 0.6758580336942892 7.721184051707574 0.15873056914710112 -18.200473689894253 4.504650643537521 0.6625450076199675 0.06651070078265056 17.256 3.767 0.0 0.001
J-ztfg-ztfr 1D3 True F99 58983.41700695858 0.26144436543494226 8.29535914226721 0.09340668879599871 -3.0712682047783098 0.3794619420877976 0.8011293970189862 0.051244395516370736 18.212 14.37 0.0 0.0
J-ztfg-ztfr 2D True F99 58983.76499931444 0.26327427945824966 8.21338529019115 0.09299073473634363 -3.1942581537661683 0.3736759727581715 0.7528597068683784 0.05132951331504456 15.282 13.59 0.0 0.0
J-ztfg-ztfr dehvils True F99 58984.45399800075 0.23324750920162138 8.100977120701895 0.08403800108814961 -3.322550103769924 0.3695135126211583 0.6904668216401015 0.04603461455440078 12.457 10.901 0.0 0.0
J-ztfr 1D3 True F99 58983.38106916742 0.2673473289546681 8.375407647581454 0.09982936323767445 -3.0621628399365903 0.390497142052783 0.8413664454859016 0.05375585430393776 19.224 15.644 0.0 0.0
J-ztfr dehvils True F99 58984.47551773893 0.23850972695744874 8.16763041515965 0.08998269544134581 -3.3712200947254347 0.3777771239321984 0.7243632526884675 0.04842237177817573 13.215 11.931 0.0 0.0
o  True F99 58985.157040862934 0.3306911644539834 6.3416125838038955 1.3916230108920167 -3.07307362255116 0.41253463319712824 -0.4957240977269224 0.9150670111184679 0.92 0.889 0.549 0.588
o-ztfg  True F99 58985.169452698676 0.3213382115095537 7.6295499636296125 0.1585172092959724 -3.2311453678487627 0.39808023245016677 0.32441084121972574 0.10137792246452812 0.885 0.853 0.602 0.643
