bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 1.0777925304136458 0.07045193349603093 13.630084051693645 0.03222070386400532 13.600741581364845 0.05581677039187577 58993.17214174369 0.5929320879740599 104.041 22.787 0.0 0.0
c-o  True F99 None None None None 1.0777736822307 0.0704148228729468 13.639157376893953 0.03221052362396762 13.6051678222014 0.05580059202227731 58993.17430314933 0.5925956524859887 103.889 22.76 0.0 0.0
c-o  True O94 None None None None 1.0776936147401772 0.07044004922582017 13.6305127697645 0.0322196632015363 13.601321620915467 0.055811430919234274 58993.170878966645 0.5928341402848739 104.048 22.787 0.0 0.0
c-o-ztfg  False F19 None None None None None None None None None None None None None None None None
c-o-ztfg-ztfr  False F19 None None None None None None None None None None None None None None None None
c-o-ztfg-ztfr  False O94 13.430466180530932 0.014 None None 1.0 0.03 13.56046618053093 0.022 None None 59073.3837473713 0.34 None None None None
c-o-ztfr  False F19 None None None None None None None None None None None None None None None None
c-ztfg-ztfr  False F19 None None None None None None None None None None None None None None None None
J-c-o 1D3 True F19 None None 14.031439037429113 0.059472614246544736 1.029428809044578 0.036318113483894944 13.610733820034667 0.02415042387629728 13.56288317221794 0.027254965595762782 58993.344021679564 0.37498381297720046 313.802 4.969 0.0 0.0
J-c-o 1D3 True O94 None None 14.031802281512798 0.07924775263991586 1.0292258689777456 0.04513579778631105 13.611145815209383 0.027444995764045906 13.563407308349971 0.037376947646209 58993.34276362231 0.4282944297838595 68.725 16.726 0.0 0.0
J-c-o 2D True F19 None None 14.032410727514302 0.059502054880830296 1.0293820355651877 0.03632038285157022 13.610700442079382 0.024150382218244754 13.562843821671652 0.027259058684690484 58993.34414521962 0.3749919449335603 297.022 4.952 0.0 0.0
J-c-o 2D True O94 None None 14.032773864851801 0.07930770084008568 1.029178911078789 0.045140726613934666 13.611112428284684 0.027444890487754194 13.563367865285503 0.03738504692569215 58993.34288670074 0.42831366849218006 68.506 16.726 0.0 0.0
J-c-o dehvils True F19 None None 14.024776871743244 0.05943576491635324 1.022163311939174 0.03632755388216226 13.608301970803073 0.02414076927954813 13.55726549422503 0.027433775646860198 58993.369787749645 0.3746902024233058 77.03 17.012 0.0 0.0
J-c-o dehvils True O94 None None 14.025142576168435 0.0791751483496507 1.0219581958561792 0.04515352484856597 13.60871608395704 0.027421862407736686 13.557785948330357 0.03773051757470554 58993.36846202536 0.4276031584027176 76.956 17.01 0.0 0.0
J-c-o-ztfg 2D False F19 None None None None None None None None None None None None None None None None
J-c-o-ztfg-ztfr 1D3 False O94 None None None None None None None None None None None None None None None None
J-c-o-ztfg-ztfr 2D False F19 None None None None None None None None None None None None None None None None
J-c-o-ztfg-ztfr 2D False O94 None None None None None None None None None None None None None None None None
J-c-o-ztfg-ztfr dehvils False O94 None None None None None None None None None None None None None None None None
J-c-o-ztfr 2D False F19 None None None None None None None None None None None None None None None None
J-c-ztfg-ztfr 2D False F19 None None None None None None None None None None None None None None None None
J-o-ztfg-ztfr 2D False F19 None None None None None None None None None None None None None None None None
J-ztfg-ztfr 1D3 False O94 10.332145283308773 0.014 None None 2.981673070193505 0.03 16.19603814156299 0.022 None None 59150.72454678322 0.34 None None None None
J-ztfg-ztfr 2D False O94 10.332145283308773 0.014 None None 2.981673070193505 0.03 16.19603814156299 0.022 None None 59150.72454678322 0.34 None None None None
J-ztfg-ztfr dehvils False O94 10.332145283308773 0.014 None None 2.981673070193505 0.03 16.19603814156299 0.022 None None 59150.72454678322 0.34 None None None None
o-ztfg-ztfr  False F19 None None None None None None None None None None None None None None None None
ztfg-ztfr  False F19 None None None None None None None None None None None None None None None None
ztfg-ztfr  False O94 10.3967592655423 0.014 None None 2.9827899837492096 0.03 15.941050490226633 0.022 None None 59150.77134601341 0.34 None None None None
