bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 34.223988087858906 0.09089382027747273 0.9175639742602758 0.032257211019650754 58991.79112775992 0.35933588833345403 None None 0.16892336390805748 0.06416265545795367 7.439 3.394 0.0 0.0
c-o  True F19 6 34.25810681430256 0.08731111247566196 0.9175469863986313 0.032257893399744435 58991.791311822475 0.3593412308764322 None None 0.12147223932432241 0.06422882386970408 7.443 3.395 0.0 0.0
c-o-ztfg  True F19 6 34.164281342086085 0.0832166658093597 0.8706486276299015 0.0313666228902437 58991.9844946372 0.3510591158321397 None None 0.13100586648094872 0.06164423862158533 6.459 3.295 0.0 0.0
c-o-ztfg-ztfr  True O94 0 34.12897273625416 0.08769136303776365 0.8737252584418895 0.03120309095512235 58991.99506997272 0.3512176285213799 None None 0.17692901100511293 0.061702979591394334 5.05 2.648 0.0 0.0
c-o-ztfg-ztfr  True F19 6 34.167323750224966 0.08337748440404055 0.8746031591865604 0.030961511565762125 58991.98326012213 0.34884843507895547 None None 0.13243405018993934 0.06132400034356114 4.96 2.613 0.0 0.0
c-o-ztfr  True F19 6 34.25148059865695 0.08525957773683086 0.915376650724815 0.031001515891484862 58991.80100055447 0.350032914469617 None None 0.1231545657181489 0.06228020387196606 5.03 2.446 0.0 0.0
c-ztfg-ztfr  True F19 6 34.083377860862946 0.08829166922107798 0.8543289391184151 0.031383890756505314 58991.83590048721 0.3501288307407648 None None 0.16127782585165443 0.06257628455934332 1.926 1.476 0.001 0.043
J-asg-c-o-ztfg-ztfr 2D True F19 6 34.12614061673647 0.08638967288737083 0.8752605721172495 0.03110425499880238 58991.83937951381 0.3484665780491106 None None 0.17430967490837707 0.06103453130502927 9.091 3.35 0.0 0.0
J-c-o 1D3 True O94 0 34.15732195958257 0.09222381823846224 0.9096086628378364 0.03268148349301089 58991.64101659121 0.3583907758349463 None None 0.20177016215953048 0.06301310817808665 26.189 4.232 0.0 0.0
J-c-o 1D3 True F19 6 34.202891518433425 0.08730551567965698 0.9094426333322002 0.03188390476349849 58991.65454894298 0.3528249255981278 None None 0.15186535125100048 0.06213475261133458 24.605 3.982 0.0 0.0
J-c-o 2D True O94 0 34.161066153880405 0.09190218163416158 0.9096440310438925 0.03257421354997996 58991.653804606016 0.3576508459365952 None None 0.19903093061699964 0.06291321871985633 22.746 4.059 0.0 0.0
J-c-o 2D True F19 6 34.206085685968105 0.08708447160690673 0.9095262415649106 0.03180769300748393 58991.66707106279 0.352308034721728 None None 0.14913283746607783 0.06206423197378217 21.357 3.821 0.0 0.0
J-c-o-ztfg 1D3 True F19 6 34.14720315526003 0.08459752945419727 0.8757630269220503 0.031384306564143115 58991.86677784113 0.3500532042700923 None None 0.14940620667687585 0.06131425620600851 16.34 3.34 0.0 0.0
J-c-o-ztfg 2D True F19 6 34.14966969165294 0.08443257166491581 0.8760079217813469 0.03135460381708047 58991.86859115625 0.3498700127485659 None None 0.14770634033719784 0.06129248845274722 14.223 3.277 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 34.1024886562601 0.08937864408636016 0.8776459593604047 0.031243883071490168 58991.87166067073 0.3503274606612838 None None 0.19863691897433322 0.06139741811609217 13.582 2.813 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 34.1506003846843 0.08463632869271884 0.8790671715588959 0.031004677187276616 58991.861638552975 0.34826735396798525 None None 0.1499399177297565 0.06109404672492625 12.659 2.758 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 0 34.10948760326458 0.08884587931619496 0.8784735407759839 0.03099621382476784 58991.88198941292 0.3482920477795429 None None 0.19817040544309072 0.06112120206517107 12.012 2.752 0.0 0.0
