bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 58989.378502071675 2.1876755503222505 7.407883818896341 0.6400180237846916 1.486783103615712 3.854296948084846 -0.8673673582153624 2.1440906194175384 -1 -1 -1 -1
c-o  True F19 58988.05883543744 0.5191766536221303 7.809021332672621 0.08414464025764919 -0.11394315033911265 0.5335656395251581 0.05192222988756584 0.07300057650730554 0.445 0.413 0.991 0.995
c-o  True F99 58988.059063788416 0.519183398280693 7.8102746910944365 0.08412823941200079 -0.11320246630605338 0.5336184770831132 0.04797603557535927 0.07299344725266925 0.445 0.413 0.991 0.995
c-o-ztfg  True F19 58988.30304475442 0.27295388474217575 7.876763325741964 0.047238211567756414 0.09392891094313979 0.36766853954431805 0.03158776974097803 0.043079813256528175 0.949 0.78 0.562 0.836
c-o-ztfg  True F99 58988.30582405084 0.2667359582168516 7.7593199156332116 0.04623307215096719 0.10430815227452997 0.35815750487909603 -0.0018872691982997384 0.041918799143110884 0.339 0.335 1.0 1.0
c-o-ztfg-ztfr  True F19 58988.11458078632 0.2184300924045733 7.753826085607843 0.041848787798967224 -0.060650941409152156 0.26761867994453353 0.027934010471779437 0.03508350476648271 0.34 0.303 1.0 1.0
c-o-ztfg-ztfr  True F99 58988.112058279636 0.2114357115097181 7.756131947436621 0.040854693515734744 -0.052419582036602894 0.25820844841410834 0.023675472555808683 0.03417401642533103 0.34 0.327 1.0 1.0
c-o-ztfr  True F19 58987.86198712446 0.2978947706387793 7.940189526017585 0.08183495630822073 -0.23578814856434205 0.31445426205427524 0.11627435035258235 0.06684967095673336 0.867 0.682 0.711 0.94
c-o-ztfr  True F99 58987.86522059052 0.28531884935142576 7.820125431701969 0.07909335077746502 -0.22120483087199166 0.301888825395353 0.08084225345146695 0.06447412071042086 0.363 0.346 1.0 1.0
c-ztfg  True F99 58988.440134423516 0.29376292632529594 7.74107246991462 0.06904290723847939 0.1802407184268149 0.47966571605542063 -0.07575106007617 0.1350770620589872 0.12 0.119 1.0 1.0
c-ztfg-ztfr  True F19 58988.1541869918 0.2335095046669799 7.8804686445986585 0.04430380413057984 -0.049688139069870185 0.3047160625657792 0.07290535840917559 0.041411900425849024 1.167 0.877 0.237 0.666
c-ztfg-ztfr  True F99 58988.149394628184 0.2254008837429051 7.762865178281519 0.04315119725775632 -0.052184126836687786 0.2935922701841034 0.041193437705309005 0.0402883257797913 0.24 0.23 1.0 1.0
c-ztfr  True F99 58987.85451066542 0.3156579019690588 7.8621517439597035 0.08885785923115784 -0.3433371836895349 0.3617214842321076 0.1391052159842668 0.0798601381700799 0.151 0.149 1.0 1.0
J 1D3 True F99 58987.51038866252 0.9119866510438444 15.135328652825681 11.383564884230347 22.407317097707846 36.96723943674156 2.502726195053322 3.8711651514512826 1.2 0.943 0.306 0.452
J dehvils True F99 58987.24195546971 0.6265886392251945 6.478436380175939 19.249771240917905 -1.5384466103049526 38.25157233359983 -0.38620519653689545 6.582049806583125 1.053 1.051 0.378 0.379
J-c 1D3 True F99 58987.11691340418 0.23713949225683736 7.869313716539484 0.0833858161851767 1.341064412130564 1.6294474085156652 0.05551132009282947 0.03815704497457431 0.987 0.98 0.448 0.454
J-c dehvils True F99 58987.602146369594 0.5416412726865373 7.865134525738319 0.08723678388135876 0.5535566918078536 1.6261149852870551 0.0926438747407993 0.04252076072019067 0.734 0.729 0.662 0.666
J-c-o 1D3 True F19 58987.518612551256 0.3576324875791332 7.925287864099146 0.06212374249867838 -0.08775168894289874 0.5258971579054997 0.07419083583529631 0.039622552688890186 1.034 0.802 0.414 0.782
J-c-o 1D3 True F99 58987.5190602836 0.357818193728331 7.925282717312749 0.06214678042985173 -0.08786322346709219 0.5259692579542746 0.07419509475170219 0.039650491442679674 0.992 0.773 0.48 0.822
J-c-o 2D True F19 58987.57087919033 0.36169155082275684 7.800280417277936 0.06308880910795932 -0.08101363709984699 0.5272958860299749 0.04005591559052426 0.04149398269271934 0.666 0.527 0.928 0.988
J-c-o 2D True F99 58987.569490003996 0.3612253832575218 7.924153716362477 0.06324251731942043 -0.08900780353925648 0.5261796389795483 0.07315986786013187 0.0415942202188884 0.94 0.753 0.566 0.845
J-c-o dehvils True F19 58987.765338870566 0.4208008052827962 7.837931863852148 0.0650196908261257 -0.16759524628976974 0.5165500538993691 0.08242119329915551 0.04318829587454561 0.514 0.46 0.989 0.996
J-c-o dehvils True F99 58987.76293530957 0.4204003722295462 7.962043675422157 0.06519608593314034 -0.17479073460918357 0.5155030221227923 0.11562001664534476 0.04330953989322439 0.811 0.693 0.765 0.903
J-c-o-ztfg 1D3 True F99 58987.5619524527 0.17875501628933083 7.786760907214463 0.042401641916920176 0.17027772207900926 0.36958154533367227 0.02660272380620028 0.027941389291291092 0.69 0.669 0.949 0.962
J-c-o-ztfg dehvils True F99 58988.09296493429 0.24331698193509554 7.786758965050808 0.04312019176534648 0.11653305272878506 0.35741237778414864 0.04133036179434861 0.030262712719092838 0.51 0.466 0.998 0.999
J-c-o-ztfg-ztfr 1D3 True F99 58987.60866940733 0.15452002139189946 7.75812428418913 0.03695333570855407 -0.08226535192451409 0.2587697750773742 0.02484409601730657 0.025719374325553008 0.604 0.572 0.995 0.998
J-c-o-ztfg-ztfr 2D True F19 58987.95623608885 0.19719811845430715 7.750509941155924 0.038628332723047554 -0.0733842715852221 0.26732757889342595 0.02373493796204154 0.027873556353354752 0.612 0.4 0.994 1.0
J-c-o-ztfg-ztfr 2D True F99 58987.95335817793 0.1971934403933548 7.871801905303535 0.03870170230983897 -0.07500166526893427 0.26717868660477817 0.05458817268909054 0.02795007274272712 1.08 0.747 0.307 0.937
J-c-o-ztfg-ztfr 2D True O94 58987.95314770565 0.19715020039863293 7.871802878707189 0.038692962327916816 -0.07496387783597834 0.2671428718700154 0.05458732790441535 0.027937007760709204 1.128 0.781 0.225 0.902
J-c-o-ztfg-ztfr dehvils True F99 58987.99624565113 0.19680952642926244 7.7713565676749745 0.038128442821079724 -0.0744167103451539 0.2561212062248614 0.044148550599385425 0.02767588394109165 0.422 0.394 1.0 1.0
J-c-o-ztfr 1D3 True F99 58987.373763298485 0.17413584816279778 7.7801089507632835 0.05331274764879258 -0.23388424471159686 0.29364388491274424 0.046090828651784974 0.03587418281397748 0.584 0.529 0.992 0.998
J-c-o-ztfr dehvils True F99 58987.74717068662 0.254128400993312 7.822260073117028 0.05734885411819209 -0.2407981460639834 0.2948786629642772 0.08369223995450016 0.04002337197487812 0.408 0.393 1.0 1.0
J-c-ztfg 1D3 True F99 58987.519079866106 0.19126912665936116 7.81069717445807 0.05145649896287256 0.4918253865251755 0.5310317863409657 0.03727076640557116 0.032286939672774094 0.908 0.89 0.592 0.618
J-c-ztfg dehvils True F99 58988.14897982226 0.26891006060469846 7.79913080697945 0.050729344382363484 0.3008514075901975 0.48997334974782597 0.06355901978745034 0.03565142596244697 0.464 0.448 0.986 0.989
J-c-ztfg-ztfr 1D3 True F99 58987.60295326074 0.15823079600266834 7.762200249484045 0.03873657450852995 -0.07003717758907504 0.2957731384073168 0.03575266262178878 0.027019892327614276 0.692 0.634 0.933 0.967
J-c-ztfg-ztfr dehvils True F99 58988.01960204246 0.2070952778144161 7.771523574795838 0.03962003132311157 -0.07941046455614648 0.2910458578678807 0.05567424284609529 0.02928452582826188 0.36 0.346 1.0 1.0
J-c-ztfr 1D3 True F99 58987.336633828265 0.18210942738389335 7.775900173661451 0.054497952220592887 -0.2590264228476469 0.35441952153255035 0.050622021104652734 0.03604774903831882 0.787 0.607 0.769 0.941
J-c-ztfr dehvils True F99 58987.740554597985 0.276168387187726 7.816919621610442 0.057737798490929755 -0.29606604514543466 0.3512910229608793 0.09302989226507682 0.04024626469129665 0.343 0.325 0.999 0.999
J-o 1D3 True F99 58987.14374999634 0.2184040574776144 7.798098513385753 0.1142199406156437 -0.22688958630112968 0.5212099845459363 0.04261543500726431 0.05916080251672071 0.608 0.605 0.951 0.953
J-o dehvils True F99 58987.500088961635 0.4237963254741675 7.9009144247114875 0.12284299099776445 -0.22043022475654306 0.5361087718892348 0.11212238834040124 0.06644837950234898 0.514 0.511 0.984 0.985
J-o-ztfg 1D3 True F99 58987.530885233136 0.17900495631560562 7.766665045601349 0.05006293589427948 0.0663581442212879 0.3900387542215267 0.02038273570845174 0.02910090318045213 0.704 0.683 0.931 0.946
J-o-ztfg dehvils True F99 58988.04411928019 0.24799430542986328 7.7659703779174345 0.05062800961185389 0.024065292753233426 0.3774220895960669 0.03478292866802928 0.03132696353777832 0.529 0.483 0.995 0.998
