bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.0619535241478 0.16904872252995315 0.5707612448243012 0.051584532606082166 58992.1810287423 0.4836574048136924 None None 0.3135221179976191 0.08237112882905337 1.033 1.0 0.418 0.455
c-o  True F19 6 36.24509730771516 0.1689705000862201 0.5700192770438636 0.05869428207490053 58992.178765157296 0.5357605081808117 None None 0.390630965714836 0.09413720936803686 1.036 1.003 0.414 0.452
c-o  True F99 6 36.34808397987811 0.1531994234312832 0.5699685029457039 0.05868987727034575 58992.17817986617 0.5357462452094531 None None 0.3466940060215154 0.08821533550400343 1.036 1.003 0.0 0.0
c-o-ztfg  True F19 6 35.87731808800483 0.18063273823436826 0.48026235699334435 0.044515041328734906 58991.10740999065 0.41226181516270893 None None 0.5828945596688282 0.07353333513281117 2.15 2.073 0.001 0.002
c-o-ztfg-ztfr  True O94 0 35.80861237349993 0.14630676886064947 0.5331948580713394 0.04417852929143634 58991.39492957931 0.4284368388821545 None None 0.4092230393097783 0.08925112131674538 2.42 2.339 0.0 0.0
c-o-ztfg-ztfr  True F19 6 36.02224262681931 0.15866402251962228 0.5509071981928038 0.04156466223674521 58991.49277116417 0.40644537154957 None None 0.5617065587762968 0.07048856383460753 1.959 1.896 0.001 0.001
c-o-ztfr  True F19 6 36.292590526357955 0.1366302814553266 0.6181884098997872 0.04167742620757336 58992.365420024624 0.41322079409426166 None None 0.40187979558928666 0.08267936794937601 1.026 0.982 0.427 0.491
c-ztfg-ztfr  True F19 6 36.04598765905393 0.18511425525369818 0.5611198288835513 0.056835320924310984 58991.53679065944 0.48178222848529784 None None 0.5590920967642664 0.08405788649567063 3.558 3.444 0.0 0.0
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.26771024169767 0.12916812997017424 0.5578409541775372 0.041207784274338195 58991.36286327871 0.43111437311803463 None None 0.40152466665167674 0.0685572382887874 4.092 3.263 0.0 0.0
J-c-o 1D3 True O94 0 36.408707231048034 0.1012648056295035 0.6222012700652346 0.037662021699944606 58992.7934172199 0.340001356777894 None None 0.17418376801940716 0.083764139394677 3.278 2.097 0.0 0.001
J-c-o 1D3 True F19 6 36.361338559493355 0.10781886093891667 0.5552276208067174 0.038205744149797105 58992.25419020479 0.4318953239434799 None None 0.28558521270174025 0.06749744520647485 1.9 1.357 0.004 0.106
