bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 58992.57777842349 1.0157945491285345 17.51839878068578 17.329608655143385 -2.2199680361746186 0.6822084798491814 8.649053000769202 13.040966859609984 0.869 0.849 0.351 0.357
c-o  True F19 58992.78470671362 0.2996844270530216 7.721422344997166 0.09722216229882266 -2.039118623938462 0.3474575632504478 0.284720306516801 0.07270326635207347 2.625 2.112 0.0 0.001
c-o  True F99 58992.78474659806 0.29968124210684827 7.721680594043217 0.09722071347321243 -2.0390030398692254 0.3474621536299745 0.28305916273008525 0.0727046689169887 2.624 2.111 0.0 0.001
c-o-ztfg  True F19 58992.16566279689 0.22588707210914655 7.886345621980387 0.04541012197540956 -2.1377711660579735 0.28589054458519764 0.3748381272615842 0.04136786384523231 2.958 2.363 0.0 0.0
c-o-ztfg  True F99 58992.22884120028 0.20653950475468524 7.827195962654585 0.04294433174995832 -2.0564575366156186 0.2529688452857885 0.33987764473675636 0.0380352650121438 2.832 2.777 0.0 0.0
c-o-ztfg-ztfr  True F19 58992.369342807884 0.1969046688658499 7.838220381040833 0.044572086435961805 -2.0383747613958167 0.26497452696505136 0.3652747290197026 0.03583425241780281 2.455 1.932 0.0 0.0
c-o-ztfg-ztfr  True F99 58992.42428769158 0.17456646572657267 7.829974436688401 0.042113154076132135 -1.98881269524216 0.22802446509332777 0.34898979190796275 0.03341455891837402 2.44 2.384 0.0 0.0
c-o-ztfr  True F19 58992.815232904155 0.2391249761485093 7.770693899730594 0.09440858455247202 -1.9845673890415656 0.31316997724326895 0.2947793926149275 0.06889001840663853 2.236 1.772 0.0 0.003
c-o-ztfr  True F99 58992.78977788636 0.20505117554661345 7.705625904716959 0.08597413994134419 -1.9661578378025533 0.27250158336025776 0.26438327328851163 0.062435211813044685 2.13 2.091 0.0 0.0
c-ztfg  True F99 58991.64983196545 0.271996241846188 7.790736976010176 0.08151926673721038 -2.453132486413193 0.36494086491389804 0.27895739776911577 0.1421695874658024 2.116 2.075 0.038 0.043
c-ztfg-ztfr  True F19 58992.14866189327 0.2408789696511169 7.894980645698142 0.05085082301726004 -2.1257195075915325 0.37087201453638 0.38450183059175225 0.04478595284677943 2.276 1.769 0.002 0.026
