bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 34.97292239931726 0.09974949356973406 0.8359611672369112 0.03505739570890537 59004.75315200113 0.3654239568832074 None None 0.003694087188964658 0.07925572298408748 3.609 2.911 0.0 0.0
c-o  True F19 6 34.971347288348525 0.09853208867004776 0.8362807266116077 0.03618010803813335 59004.750292464276 0.37136899391515593 None None -0.028504666847152332 0.08244713024434976 3.62 2.921 0.0 0.0
c-o  True F99 6 34.973723448881664 0.09289515981601476 0.836202887879244 0.03617225374866265 59004.751054530316 0.37131949202896 None None -0.02914906967891324 0.07845095894537876 3.616 2.917 0.0 0.0
c-o-ztfg  True F19 6 35.02084511600074 0.08385555445523835 0.842013149234325 0.03271867150964171 59004.99347156256 0.35693126932939867 None None -0.03136596618618957 0.06301232749384203 3.252 2.656 0.0 0.0
c-o-ztfg-ztfr  True O94 0 34.98120128585614 0.08502211586111635 0.8445323597879671 0.032944485166983284 59005.016755536795 0.359726760118525 None None 0.02374338575103144 0.06435148835546539 3.608 3.08 0.0 0.0
c-o-ztfg-ztfr  True F19 6 34.99628746417925 0.08284374837959556 0.8452040828006784 0.032321405738968335 59005.00722382613 0.35568105929606125 None None -0.017525243306316593 0.06314414388877858 3.488 2.97 0.0 0.0
c-o-ztfr  True F19 6 34.96713648116454 0.09355047910144441 0.8414643183251096 0.032832586065939494 59004.75870402382 0.3575807074691597 None None -0.02589988502725309 0.07505737744409653 3.007 2.508 0.0 0.0
c-ztfg-ztfr  True F19 6 34.87552486656727 0.07971535112687664 0.8608799923770069 0.03114289739938598 59004.471170721605 0.35502285056464733 None None 0.05537783274906999 0.06129337215133539 0.762 0.691 0.811 0.887
J-c-o 1D3 True O94 0 34.92534445272593 0.08928043637019878 0.8226026856900972 0.03539747327148137 59004.635316091815 0.3635032262457212 None None 0.01928912018170869 0.06896618961304009 10.952 3.641 0.0 0.0
J-c-o 1D3 True F19 6 34.93298065991569 0.08820742724194984 0.8245684061858342 0.035139669277661795 59004.63053663065 0.36331099684634005 None None -0.011544760700083144 0.06649182819469608 11.067 3.62 0.0 0.0
J-c-o 2D True O94 0 34.93069552101418 0.0894941464888295 0.8255602157947112 0.03509363562359661 59004.64538993574 0.3623641260110225 None None 0.020287652213096613 0.06874240951042208 6.99 3.377 0.0 0.0
J-c-o 2D True F19 6 34.935945690559215 0.08834160203949232 0.8256095493493568 0.03489707357601728 59004.645067948026 0.3622082272221788 None None -0.013422832383756578 0.06661060505357924 6.989 3.362 0.0 0.0
J-c-o dehvils True O94 0 34.91777363296666 0.08928854225056881 0.8220585874774576 0.03547769743493008 59004.62239427047 0.36384903221670867 None None 0.025103158542754685 0.0690632675892588 13.744 3.71 0.0 0.0
J-c-o dehvils True F19 6 34.926871279839034 0.08811274211343004 0.8243754890355569 0.035212303816533216 59004.61777104378 0.36364925009731364 None None -0.00515665909895381 0.06649126632778253 13.793 3.685 0.0 0.0
