bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59001.21869877696 1.451218607414567 37.51515426236266 37.59970229536444 -0.04262951661784389 1.7317189088123943 -41.42576032453936 40.9830309596847 0.162 0.161 0.922 0.922
c-o  True F19 58998.82132723256 0.5743579123629581 8.537031433165335 0.2125222448173661 -1.2404649162561978 0.753714416000247 0.14417191515717503 0.15336466834406753 0.441 0.424 0.992 0.994
c-o  True F99 58998.8213934681 0.5743637560829424 8.537301215959495 0.21251767516077102 -1.2403495544020666 0.7537260084895037 0.14345786956461157 0.15336220483118476 0.441 0.424 0.992 0.994
c-o-ztfg  True F19 58998.7935444749 0.3980671125514582 8.482676352825724 0.05750505228232203 -1.5046007982912917 0.504030603549362 0.10256794838139911 0.060886851011383365 0.382 0.366 0.999 1.0
c-o-ztfg  True F99 58998.79319376594 0.3889412846402165 8.460897796738225 0.056688298979698674 -1.5161495562857548 0.492902814587429 0.09661719115434786 0.05983407628173237 0.371 0.37 0.999 0.999
c-o-ztfg-ztfr  True F19 58998.8227508524 0.333305311902372 8.452167022477113 0.05618694399752027 -1.6281073128796613 0.46834331346460156 0.08999579212635073 0.04879472346457525 0.379 0.359 1.0 1.0
c-o-ztfg-ztfr  True F99 58998.81956096373 0.32321706637040815 8.451885124683404 0.0553588097477205 -1.6417474520844166 0.45651455640114463 0.08870020869979123 0.04785762778553087 0.379 0.377 1.0 1.0
c-o-ztfr  True F19 58998.845751362256 0.41762914953166463 8.498421561134943 0.2032714967907396 -1.5359322147787569 0.6362914789425813 0.11101616202083928 0.14960548558510137 0.44 0.418 0.998 0.999
c-o-ztfr  True F99 58998.83958803394 0.4028033925406123 8.4724104004241 0.19833602226616165 -1.5630761245256601 0.6177015979643647 0.10189746908478547 0.14609834610952896 0.434 0.432 0.999 0.999
c-ztfg  True F99 58998.810353338406 0.459816241340127 8.44829426145824 0.06251038306359061 -1.6003779404544667 0.720353751732488 0.05591620673834853 0.23444516082127445 0.327 0.325 0.974 0.975
c-ztfg-ztfr  True F19 58998.82373537921 0.35939946364569686 8.461407947601293 0.05803455677919773 -1.8203366578147469 0.5448682817302716 0.088163840439415 0.05488573558393285 0.372 0.344 0.996 0.998
c-ztfg-ztfr  True F99 58998.8213830667 0.34830693777274063 8.439846349187993 0.05722298888194824 -1.8233528305583697 0.5308785222020906 0.08145051368156536 0.053524572585002116 0.353 0.35 0.997 0.997
c-ztfr  True F99 58998.828434635194 0.4338749055360487 8.355710366461118 0.23477427063662412 -2.043338202446904 0.8189199293816544 0.02181352586918768 0.17505982443100135 0.471 0.466 0.949 0.951
J 1D3 True F99 59001.361424458766 2.677621803859696 1.3152587125496331 16.559267128311202 -10.756045018850251 17.13999173241823 -2.180380144089063 6.491352678010482 -1 -1 -1 -1
J dehvils True F99 58992.2490561949 10.991187920098445 8.138955249882194 70.08561013950793 -0.0986221083054171 166.03643616238966 0.0006677181969709913 24.97226682818341 -1 -1 -1 -1
J-c 1D3 True F99 58999.975697137015 0.6853407194261998 8.812688550270794 0.36975376639740665 0.22893850777686792 2.348824157084091 0.3366192492690676 0.14569550556670152 1.352 1.348 0.212 0.214
J-c dehvils True F99 58998.79368262075 0.7193031191754742 8.49658106174864 0.23021109835756215 -1.4269558275304774 1.3050063255457878 0.11132924129735043 0.1121929509187853 0.64 0.638 0.634 0.636
J-c-o 1D3 True F19 58999.292328751195 0.5267479230476506 8.72417160937329 0.15763596741769187 -0.7884987330110207 0.8000989138888959 0.2733341329595153 0.08356519764252783 0.67 0.61 0.905 0.947
J-c-o 1D3 True F99 58999.29229992442 0.5267573049386998 8.724165573028511 0.1576410711194238 -0.7885201324678621 0.8001050976914348 0.2733315800702697 0.08357046728562778 0.67 0.61 0.905 0.947
J-c-o 2D True F19 58999.014367096854 0.5172045131532865 8.49865403857394 0.15438339864347314 -1.1857755669421528 0.759313768314473 0.10908681962984947 0.08885244274814044 0.422 0.399 0.997 0.998
J-c-o 2D True F99 58999.01295884942 0.5174130556750106 8.5214645336692 0.15442455789312928 -1.185210957582568 0.7593304819855455 0.1152184355514926 0.08888356944164376 0.424 0.402 0.997 0.998
J-c-o dehvils True F19 58998.84553400847 0.5508623019510686 8.516731827526499 0.1609065725654089 -1.2521883742225635 0.7503697489240174 0.12695917075230745 0.09893091259759 0.424 0.408 0.995 0.996
J-c-o dehvils True F99 58998.84427836542 0.5508670782097522 8.539435511009833 0.16096953179032772 -1.251744625522997 0.7503336561268198 0.1329945052927752 0.0989846281020683 0.427 0.411 0.994 0.996
J-c-o-ztfg 1D3 True F99 58998.92605514212 0.34414562435777507 8.486827104909299 0.05434381047190112 -1.5184593334381977 0.4745353863695329 0.16118833496229318 0.03582661224280684 0.73 0.684 0.879 0.921
J-c-o-ztfg dehvils True F99 58998.78713052803 0.3735872488716868 8.46175899996391 0.05468120224940556 -1.5205775642507529 0.4863926389684414 0.09867274290393252 0.04773566006332802 0.36 0.358 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True F99 58998.8404043612 0.29091855180681636 8.492732757532947 0.05185383843821539 -1.6447952817469447 0.45192533755409275 0.14457144508976627 0.03485538745351439 0.663 0.597 0.962 0.986
J-c-o-ztfg-ztfr 2D True F19 58998.88265011673 0.310568381458892 8.449471476082858 0.05268745539772206 -1.598814849094177 0.4644549917133707 0.08623994012854905 0.03998156399491439 0.373 0.349 1.0 1.0
J-c-o-ztfg-ztfr 2D True F99 58998.88104433942 0.31053581673436376 8.471309346096382 0.05271092388696601 -1.5999590270329667 0.4644363148485595 0.09171779266927901 0.040005982598685916 0.381 0.357 1.0 1.0
J-c-o-ztfg-ztfr 2D True O94 58998.881045054375 0.31052821127302815 8.47130716603915 0.05270958663997754 -1.5999612236098852 0.46442938192276123 0.0917154624701354 0.04000407432910931 0.382 0.357 1.0 1.0
J-c-o-ztfg-ztfr dehvils True F99 58998.80717088054 0.31295893356359766 8.454408695927455 0.05321813509180349 -1.648803832944631 0.4541185929361701 0.09226397593962396 0.04248017412356022 0.371 0.369 1.0 1.0
J-c-o-ztfr 1D3 True F99 58999.190197042975 0.40541373848239476 8.670488333847365 0.11561257033021115 -1.1440766471784731 0.6494921513895567 0.24889869986681962 0.06838699219376271 0.673 0.662 0.941 0.948
J-c-o-ztfr dehvils True F99 58998.835194076455 0.3958847288096918 8.480734790520433 0.13826576971656812 -1.5565634503777837 0.6078895358044273 0.10843368725695259 0.0941027212655152 0.422 0.42 0.999 0.999
J-c-ztfg 1D3 True F99 58999.17010307722 0.39103594690564586 8.456671010628217 0.058699227340313125 -1.656950093611607 0.5649250184158517 0.18157360924434854 0.03918733917479782 0.98 0.972 0.471 0.479
J-c-ztfg dehvils True F99 58998.78244715955 0.42853091075612976 8.452830296845114 0.0579238266118104 -1.6756609995337182 0.5840944052220916 0.09643908149526123 0.06615477029085415 0.3 0.298 0.986 0.986
J-c-ztfg-ztfr 1D3 True F99 58998.86610074337 0.31197840820769235 8.483501005547955 0.05425142735585141 -1.8262590895427808 0.5321890282587841 0.1523909323211987 0.0361054806285712 0.961 0.846 0.518 0.684
J-c-ztfg-ztfr dehvils True F99 58998.80236588159 0.33585993129958175 8.443466014350918 0.05492774446063091 -1.8355860939851163 0.5280408967547484 0.08751015400012979 0.04567853510842695 0.34 0.337 0.998 0.998
J-c-ztfr 1D3 True F99 58999.31105621325 0.4828284984297761 8.674470193782103 0.14257941918650766 -1.103181618440678 0.9739905124777376 0.2572036517129217 0.07883536155510475 0.991 0.973 0.466 0.488
J-c-ztfr dehvils True F99 58998.79341226435 0.4339331056195299 8.430577089355616 0.15513040046715312 -1.931771816857696 0.7993206087407874 0.08116729421929511 0.1033921786391832 0.451 0.446 0.964 0.966
J-o 1D3 True F99 59000.03209430295 0.5881783586207178 8.906051485361626 0.20917248508503383 -0.6380176981160769 0.9006210035681489 0.3832379155740258 0.1094264967080942 0.721 0.719 0.816 0.818
J-o dehvils True F99 58998.85761925263 0.8364803777165947 8.501499507564901 0.25803993691559 -1.1824747833599498 0.9005548639585005 0.11683727582450806 0.15635560070693408 0.444 0.442 0.979 0.979
J-o-ztfg 1D3 True F99 58998.98665367095 0.390773491401544 8.48384217961016 0.05576243260992212 -1.4643643008342724 0.5594287804093573 0.1620748198553818 0.03649864229871049 0.813 0.755 0.744 0.82
J-o-ztfg dehvils True F99 58998.784389067616 0.4393980220420087 8.460523944705592 0.05599436099587591 -1.4930914137333087 0.5783595623728646 0.09917384423295814 0.047631611421603846 0.356 0.355 0.999 0.999
J-o-ztfg-ztfr 1D3 True F99 58998.85264763888 0.31630994457659356 8.495677206206878 0.05326196113240698 -1.699508059352452 0.523575855804533 0.15101832094575773 0.03578655791574872 0.787 0.698 0.826 0.922
J-o-ztfg-ztfr dehvils True F99 58998.809520996816 0.3466425234599391 8.452901723231676 0.0542122448250076 -1.6859592464590696 0.5307191239531828 0.092712903852121 0.0428718090792175 0.371 0.368 1.0 1.0
J-o-ztfr 1D3 True F99 58999.39422099883 0.4546951944270579 8.712744385910913 0.12942860007814228 -1.28506172729795 0.743483380386858 0.27666024607716655 0.07741130992791603 0.63 0.627 0.949 0.95
J-o-ztfr 2D True F99 58998.9798048911 0.4727194400976868 8.444157419523235 0.14865156650436964 -1.5272308917966277 0.7348221067142218 0.08025112770822018 0.09697603338928269 0.428 0.426 0.998 0.998
J-o-ztfr dehvils True F99 58998.86195144437 0.48229207895286863 8.493846373322894 0.17946706016007702 -1.6120472992026935 0.7302934789903945 0.1195911474919029 0.12420336949277534 0.434 0.432 0.997 0.997
J-ztfg 1D3 True F99 58999.45608701634 0.4672215083980265 8.444856956013574 0.062298880580000646 -1.5185953399983905 0.7532145364321621 0.19359610261745303 0.04178399853772384 1.414 1.408 0.194 0.197
J-ztfg dehvils True F99 58998.7927205485 0.545385044914612 8.448546207746423 0.06134418010973394 -1.7528489869125647 0.7829451834886418 0.09926385436894342 0.0682065283681505 0.17 0.169 0.954 0.954
J-ztfg-ztfr 1D3 True F99 58998.894359490165 0.34063114145067075 8.473317986744252 0.0557837835402599 -2.0132481335573384 0.6737271071418288 0.14732569501609558 0.03617154593179218 1.022 0.884 0.429 0.599
J-ztfg-ztfr 2D True F99 58998.92092998223 0.34822121073885237 8.431018770086318 0.05473193833085259 -1.9528859751091674 0.6623426401183669 0.07753717125682516 0.03994658935132806 0.322 0.32 0.997 0.997
J-ztfg-ztfr dehvils True F99 58998.80418999004 0.37497899703840787 8.437943660948491 0.0564371680510178 -2.027090382842566 0.6720047385544063 0.08882452732560846 0.04583163932120683 0.312 0.309 0.994 0.995
J-ztfr 1D3 True F99 58999.6011071508 0.5460206716754606 8.725390390176457 0.1645229080334421 -1.7219628727819574 1.4302739315376505 0.30480349235036774 0.0886393731425421 1.162 1.154 0.308 0.314
J-ztfr dehvils True F99 58998.768369791425 0.5221579844096917 8.415767219540594 0.1929405872538388 -2.853904305627016 1.3095302051867943 0.09534460737555142 0.12812786927423345 0.431 0.422 0.903 0.908
o  True F99 58998.91419912238 0.830251880756884 9.617218196416651 2.853426561417647 -1.36694757517666 0.9875185347265836 0.8807106713809403 1.8949832851658048 0.461 0.46 0.97 0.97
o-ztfg  True F99 58998.78837466959 0.46054388598482904 8.460080738510861 0.05799940156036845 -1.4907252415272627 0.584211342050184 0.09812572810801382 0.05967759806183824 0.371 0.37 0.998 0.998
o-ztfg-ztfr  True F19 58998.82682290842 0.3721253365682718 8.47237960265156 0.057263489996009005 -1.6579819509086988 0.5497489162089473 0.09562573435795653 0.049291710151474245 0.392 0.37 1.0 1.0
o-ztfg-ztfr  True F99 58998.82352543727 0.35986076976802744 8.450467860000074 0.056407205913462606 -1.6769548665187348 0.5343693041385156 0.08929214270136203 0.0483708497596553 0.38 0.378 1.0 1.0
