bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59022.46063993807 0.7953336353686161 30.947813332047165 41.62914351548636 -1.3189158256848912 0.7459687511056414 19.91916330666547 30.986099827331685 0.026 0.026 0.872 0.872
c-o  True F19 59024.91173411432 0.3148654873088528 6.626786836535128 0.12781345527726273 1.4556170454916524 0.6055604972935762 -0.11386293862527934 0.08373016528497423 1.175 0.736 0.298 0.705
c-o  True F99 59024.91184264433 0.31486255807111896 6.627086063112004 0.12780577177003627 1.4558690314270033 0.6055654449845038 -0.11503314049134672 0.08372523089896468 1.175 0.736 0.298 0.705
c-o-ztfg  True F19 59024.79899610003 0.2071465757807134 6.776428106388385 0.03887820956181291 1.549839691328882 0.3125371355559592 -0.02242555935541847 0.03299514025628081 1.356 0.861 0.137 0.634
c-o-ztfg  True F99 59024.83428463019 0.18423615289912515 6.739082419709886 0.03708668686623771 1.540688836720656 0.28505106322988577 -0.03264340903840662 0.03037087103770498 1.105 1.009 0.337 0.446
c-o-ztfg-ztfr  True F19 59024.79490662886 0.18313951519746977 6.738613247135671 0.037219316692549756 1.4386122784605786 0.27368711629884973 -0.008516725406773906 0.028774172308778947 1.081 0.639 0.346 0.94
c-o-ztfg-ztfr  True F99 59024.83042717361 0.16308788362922833 6.735191494924811 0.035117665006055156 1.433355983804619 0.24592392943691518 -0.012622730288133141 0.02687659507862781 1.083 0.902 0.344 0.623
c-o-ztfr  True F19 59024.826173793226 0.2482269814185234 6.64782343093815 0.10058615343889026 1.2898397664504166 0.419908457294335 -0.0902120002307931 0.06991038183355246 1.29 0.713 0.159 0.837
c-o-ztfr  True F99 59024.84608688274 0.2182764982325854 6.614498665033153 0.08293553395854676 1.3241831591811475 0.35443389025209515 -0.09987146056882015 0.058147292294119114 1.05 0.898 0.396 0.602
c-ztfg  True F99 59024.653835706034 0.21347939407307018 6.7630032143896255 0.045003046855758094 1.1210046272319523 0.3812248802396904 0.11493531913165914 0.10463781220573518 0.76 0.721 0.654 0.69
c-ztfg-ztfr  True F19 59024.732466484995 0.19999720177154676 6.7815335343392595 0.03938111336749408 1.3667144055482914 0.293236010129861 0.02794440963822417 0.03416768013115292 0.986 0.611 0.477 0.915
c-ztfg-ztfr  True F99 59024.77226959958 0.18029622326381742 6.742017327024056 0.03742296871894069 1.3356488872617538 0.267524467385248 0.01649282759108215 0.0320829567521898 0.72 0.66 0.817 0.876
c-ztfr  True F99 59024.717140219545 0.26689931606797096 6.619657668966479 0.10162343203919945 1.1066516695906483 0.4356217751131606 -0.07404732892393551 0.07466451814661995 0.649 0.615 0.814 0.844
J 1D3 True F99 59022.830595139334 7.180171431864775 15.251821788979981 10.907272622184385 130.49762494943553 5094.030216348523 2.41601088416102 13.932859856388143 -1 -1 -1 -1
J dehvils False F99 59016.78850421179 1.0 23.250677726654214 1.0 -49.082253685791244 1.0 5.992729867709745 1.0 None None None None
J-c 1D3 True F99 59023.554940156464 0.19309479676806213 6.512266453834346 0.09744222475008125 -0.43163040256221763 0.43658827517305154 -0.06918341791968588 0.04422596168113136 4.394 4.216 0.001 0.002
J-c dehvils True F99 59024.2176321976 0.29479484440300624 6.501420641645028 0.11696865019771488 0.16297545873584535 0.595776919743385 -0.11199827943840579 0.06605200445785915 2.63 2.611 0.032 0.034
J-c-o 1D3 True F19 59024.547037960074 0.27314999511765364 6.5655339900766485 0.09261923272868963 0.9554196739229628 0.4738581264581973 -0.14336143273219584 0.057632746748661264 9.956 1.253 0.0 0.228
J-c-o 1D3 True F99 59024.54749657119 0.2732953966597161 6.602133858378133 0.09270231724098393 0.9589058400950312 0.47424587164428134 -0.13385367489071626 0.05768627333661772 10.352 1.333 0.0 0.178
J-c-o dehvils True F19 59024.7926289359 0.30311530410751125 6.588805011473748 0.11061839195877463 1.247142714341249 0.5579847673720535 -0.13719472385314474 0.06977974903815629 1.991 1.067 0.015 0.382
J-c-o dehvils True F99 59024.792280433845 0.3032278487605264 6.624896332312064 0.1106989099565771 1.2487397094002146 0.5582383739285844 -0.1280407546876365 0.06983629555803979 2.223 1.146 0.005 0.311
J-c-o-ztfg 1D3 True F99 59024.149062382334 0.1464113337096965 6.7090261268874185 0.033538932452001076 0.8581279925096705 0.23892647708750125 -0.01942035953025245 0.02447632174681028 3.255 2.775 0.0 0.0
