bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.99615008954631 0.2005215226832054 0.957349042960236 0.07124075585186683 59022.877757135546 0.7089413553389924 None None 0.029984092542757645 0.10621336456479173 3.112 3.077 0.0 0.0
c-o  True F19 6 36.99225825758848 0.20452216324356576 0.9575540321774046 0.07843469970550775 59022.876270139204 0.7762028894026766 None None -0.012791267256227284 0.11608789150441763 3.118 3.084 0.0 0.0
c-o  True F99 6 36.99402937034763 0.185012493088575 0.9571605510906648 0.07819518561863029 59022.878242321734 0.7741612932365919 None None -0.014220826910602656 0.10696028212661952 3.112 3.078 0.0 0.0
c-o-ztfg  True F19 6 37.01890795757896 0.09937529359342845 0.9684334281764293 0.037242608465629344 59022.69491998331 0.3804257819271419 None None -0.0435207263184883 0.06611420987437355 1.242 1.226 0.126 0.14
c-o-ztfg-ztfr  True O94 0 36.73532687979141 0.09406379242200795 0.9638943583608462 0.03583734865972147 59022.66465641538 0.3763946955582982 None None 0.1320761037599197 0.06300247308252085 1.485 1.449 0.003 0.005
c-o-ztfg-ztfr  True F19 6 36.780943702323846 0.08741207850093238 0.966527427022493 0.03499113650991169 59022.65875467339 0.37064172134079626 None None 0.07238623881887914 0.06258708716073506 1.372 1.339 0.015 0.023
c-o-ztfr  True F19 6 36.725050218527464 0.12075308319056523 0.9549475318187115 0.043068130559040164 59022.64633620999 0.4473523820960922 None None 0.10504219680519761 0.08749129384889498 2.368 2.308 0.0 0.0
c-ztfg-ztfr  True F19 6 36.72171471658196 0.08702340171319804 0.9998008264052838 0.03240213950101983 59022.73278854171 0.35153834587017213 None None 0.1296619416227337 0.06094005142640897 0.471 0.451 1.0 1.0
J-asg-c-o-ztfg-ztfr 2D True F19 6 36.79433519459864 0.0847604249212048 0.9737513423275858 0.034970213641968055 59022.516227826025 0.37185200307957933 None None 0.07146481958520902 0.061993826425830546 1.518 1.472 0.001 0.002
J-c-o 1D3 True O94 0 36.55778260402244 0.12789423246145526 0.9260598813692121 0.06383739080076573 59022.27325442487 0.7850822951611598 None None 0.2487448303064768 0.08329980123068934 6.9 6.01 0.0 0.0
J-c-o 1D3 True F19 6 36.605531823953164 0.11710386443051267 0.9219892103524989 0.06250220927954912 59022.299115061425 0.7729379417497337 None None 0.20124758398199064 0.08277269664111264 6.713 5.823 0.0 0.0
