bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.39496633130428 0.18462700531562334 1.6774524564724396 0.1878927790445515 59032.55817982143 5.111893097182364 None None -0.05476325652757372 0.1995976932995273 23.129 21.204 0.0 0.0
c-o  True F19 6 36.81737870867203 0.1399357040322439 1.6802730395612715 0.1876753715771972 59032.5585899865 5.106985420630964 None None 0.2766839086128505 0.08020801716640683 23.121 21.197 0.0 0.0
c-o  True F99 6 36.889634725769 0.1328482566918397 1.6750781129781591 0.18712756160060343 59032.55870793212 5.090029896065494 None None 0.24304241326000742 0.07659004467118624 22.998 21.088 0.0 0.0
c-o-ztfg  True F19 6 36.72851686354062 0.1248043503865239 1.5784376507944378 0.03984790525009537 59034.736673208245 0.4614490262895244 None None 0.2926505436920042 0.06318962176894326 0.862 0.844 0.674 0.701
c-o-ztfg-ztfr  True O94 0 36.91066356743769 0.11729796969136955 1.5400317414653188 0.0487662352732645 59033.831707076315 0.7268542207927378 None None -0.22523928041330657 0.08312675989219172 2.942 2.88 0.0 0.0
c-o-ztfg-ztfr  True F19 6 36.88949664564288 0.10815871058417366 1.5348414524995306 0.04385460343983221 59034.600070996625 0.528812540405518 None None 0.19179601235512062 0.06438620573551279 1.712 1.677 0.003 0.004
c-o-ztfr  True F19 6 36.9165572386557 0.11312903449432188 1.5609884131976255 0.09481587954784056 59032.558737919564 2.0953653309948925 None None 0.1592790069566904 0.07418711810836147 9.676 8.943 0.0 0.0
c-ztfg-ztfr  True F19 6 36.993655757250465 0.10167336435928016 1.4957861217413333 0.044905821644790934 59034.762588742145 0.47738678798813633 None None 0.12525543345110735 0.06472298204373685 1.173 1.147 0.233 0.262
J-asg-c-o-ztfg-ztfr 2D True F19 6 36.81195774112683 0.11389407559556286 1.4980276263648011 0.06357759695573785 59036.39220820503 0.757835229245484 None None 0.2365551867873382 0.07100554943830892 5.605 4.892 0.0 0.0
J-c-o 1D3 True O94 0 36.576094466303275 0.12728779273384058 1.162215979664063 0.05064201912907706 59042.43040417277 0.7247014156602777 None None 0.21068078077015123 0.08378088797248938 14.032 4.721 0.0 0.0
J-c-o 1D3 True F19 6 36.64580869573132 0.1117316253537852 1.3695761815718044 0.04759529987186415 59041.42687710192 0.5138703926287006 None None 0.31493919776160084 0.06813953456805487 3.736 3.086 0.0 0.0
J-c-o 2D True O94 0 36.5805125649922 0.12801703655010607 1.1587329282619037 0.05127714803820071 59042.37417635891 0.7343013852838516 None None 0.20813769338406313 0.08401926606996227 10.348 4.682 0.0 0.0
J-c-o 2D True F19 6 36.65495195306148 0.11058901763556224 1.3574373564388753 0.047401629932925876 59041.59351934941 0.5181680674633107 None None 0.30431311881329287 0.06805967169110763 3.393 2.903 0.0 0.0
J-c-o dehvils True O94 0 36.556184417628046 0.11980367920509018 1.1495673434084204 0.04944604080365832 59042.44886311998 0.6706686263892134 None None 0.22362669923997833 0.07807306369769482 21.419 4.553 0.0 0.0
J-c-o-ztfg 1D3 True F19 6 36.701800309501415 0.1319048949424795 1.5455212922930945 0.07067331138889121 59037.06444094476 0.8187602160428502 None None 0.31521134117457933 0.07446423605960745 7.777 6.161 0.0 0.0
J-c-o-ztfg 2D True F19 6 36.71233519903417 0.1310859107974834 1.5485613212051976 0.06861088134289972 59036.912071124636 0.8013119374126836 None None 0.30893417922265964 0.07373678047033083 6.856 5.602 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 36.93576702773703 0.11415609102875225 1.3524940490172401 0.05923588075025221 59036.78561800347 0.7696766823049721 None None -0.06526928814460863 0.08810802476729863 9.138 6.89 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 36.798524125443166 0.11289089759372511 1.4786761105786361 0.06526533004810028 59036.715273089605 0.7635437068453224 None None 0.23415606105492934 0.07159728049573251 6.479 5.57 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 0 36.936531308783835 0.10739823111790536 1.3637214111219336 0.0529354913838775 59036.542099432845 0.6948480767765532 None None -0.0743921016636068 0.08184651671914547 7.956 6.187 0.0 0.0
