bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59033.88817668771 0.49475141879004225 6.8817209516880435 1.1625485807352496 -0.5376441561966179 1.077844457904311 0.9393246620218665 1.3248631910016215 0.655 0.612 0.579 0.607
c-o  True F19 59034.1674393214 0.18469532810391284 6.103198808263649 0.05303866345460277 0.4481709813601793 0.20823607765574745 -0.06729183915303993 0.042821616225282036 1.027 0.57 0.425 0.954
c-o  True F99 59034.16794030651 0.18470403261861928 6.104224018618634 0.053027700301415466 0.4496357138014907 0.20827486919273955 -0.07427061525519844 0.042818381013506296 1.028 0.57 0.424 0.954
c-o-ztfg  True F19 59034.41690536577 0.1427539343586887 6.260502100603903 0.029213991239496327 0.5740083035690702 0.15037663120602152 -0.06182400434606926 0.027390314241146647 9.67 3.165 0.0 0.0
c-o-ztfg  True F99 59034.35414987532 0.10837579032276273 6.0560600683004715 0.026874577728993557 0.5799737030037261 0.12520724175225584 -0.1152804727884337 0.02544272369260538 0.807 0.7 0.836 0.949
c-o-ztfg-ztfr  True F19 59034.317549333 0.13133522261585176 6.0527779410978715 0.02741007864718817 0.5742960433716294 0.12312099645647029 -0.10603296829998138 0.023325013573558744 0.771 0.459 0.929 1.0
c-o-ztfg-ztfr  True F99 59034.2824762519 0.10078816207983163 6.056041785949487 0.025319565559009365 0.5700882981691122 0.10268116150191628 -0.11134069571686031 0.02178434983306222 0.773 0.683 0.928 0.984
c-o-ztfr  True F19 59034.08216704287 0.16119155534626092 6.32538069481067 0.05073555763160979 0.5107021912441536 0.14756328572177677 -0.0023567448151755547 0.03951595585450414 9.369 2.83 0.0 0.0
c-o-ztfr  True F99 59034.097008079196 0.11743026652896751 6.116364412511722 0.043219993700919807 0.48729110599162684 0.11931717235565108 -0.061015987081072295 0.03429111090130502 0.839 0.768 0.779 0.879
c-ztfg  True F99 59034.5477349603 0.14062606573616163 6.024092108557241 0.041447287454558494 0.6541821645884125 0.1833950022805241 -0.1954293093805474 0.07226992331439264 0.323 0.309 1.0 1.0
c-ztfg-ztfr  True F19 59034.42440935439 0.15303833058416058 6.263259219186828 0.02942398308038531 0.5801107111445398 0.14777633762466375 -0.05630483707216888 0.028788745730902895 8.905 3.217 0.0 0.0
c-ztfg-ztfr  True F99 59034.40465471349 0.12636790354110958 6.056565719416947 0.027552137999971926 0.5924369636290008 0.12901303329776706 -0.11592255009157823 0.02726776352892028 0.6 0.532 0.991 0.998
c-ztfr  True F99 59034.11917084931 0.17078024058797842 6.133545897288636 0.05176093434493689 0.5288138508429417 0.16484790466635071 -0.04384424777245138 0.0459839537409952 0.663 0.636 0.906 0.927
J 1D3 True F99 59033.56960922455 0.15015208055225873 68.45592340720626 38.94599559654888 1.5820358140963482 1.0050906278978493 21.025642560651832 12.997321704258493 4.546 3.806 0.001 0.004
J dehvils True F99 59033.95655921993 0.13963167156470574 57.09916249404049 25.67553989342708 2.4170729767455437 0.8960590273599698 17.22624039502189 8.583556442862545 8.97 6.79 0.0 0.0
J-c 1D3 True F99 59033.5951016583 0.10502243413829676 6.198292507775502 0.04650581337957513 0.7293380506715226 0.38249906451764 0.010672420179768594 0.03120037196133405 8.762 7.705 0.0 0.0
J-c dehvils True F99 59033.766593633976 0.0970568734200345 6.1791502913283125 0.04669385343063951 0.6250457379542153 0.3801022958911766 -0.0012158775491180828 0.030921285880138077 9.94 8.84 0.0 0.0
J-c-o 1D3 True F19 59034.106136680966 0.16329822802726435 6.339566820124359 0.043444158517867974 0.44117105322659433 0.20622316236967903 0.009841323634899342 0.030140893280003973 15.758 3.072 0.0 0.0
J-c-o 1D3 True F99 59034.10640812648 0.1635376082337013 6.33954254743789 0.04350356380522701 0.4411925046672106 0.2064687352985109 0.009833474150755306 0.030192285822804317 14.572 2.838 0.0 0.0
J-c-o 2D True F19 59034.09974451361 0.16371003910314666 6.138135677668474 0.04444782857629106 0.440609726295723 0.20618346921966613 -0.03338261285992351 0.03143181802887444 5.439 0.721 0.0 0.876
J-c-o 2D True F99 59034.0974883563 0.1637164149866796 6.351390220570698 0.044562685554783016 0.4374480323734164 0.20586277661017058 0.02152099107907176 0.03152101372733136 13.212 2.768 0.0 0.0
J-c-o dehvils True F19 59034.137806703184 0.1613835074371843 6.117687116508008 0.043119268542715534 0.44561671953068904 0.2071640329222537 -0.05344661758601343 0.029781080670106066 6.364 1.077 0.0 0.35
J-c-o dehvils True F99 59034.13545063811 0.16139926202468605 6.33137287145583 0.04322318285159534 0.4424010954060809 0.20681875974059846 0.0019010659654088114 0.029857379234199465 16.546 3.129 0.0 0.0
J-c-o-ztfg 1D3 True F99 59033.923144102584 0.08481002426243449 6.084800179393702 0.024663435376070447 0.6113773081481428 0.12491482884917826 -0.07594380425009731 0.020350723584609615 4.234 2.54 0.0 0.0
J-c-o-ztfg dehvils True F99 59033.99964571691 0.08017638380886569 6.083363526480445 0.024611178082881366 0.6034265253990384 0.12474822759190997 -0.07779099899323172 0.020207836122481202 4.656 2.583 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 59034.01220447839 0.0769208529721382 6.080259006419793 0.023907248928985783 0.48506450432586357 0.09798148192094577 -0.07590070843581037 0.01894139868096341 3.327 2.199 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 59034.26762310954 0.12348591825270945 6.071937712681593 0.026158820886880572 0.5678111262411629 0.12214987162336718 -0.08240681608135489 0.020671761749140448 3.232 0.586 0.0 0.999
J-c-o-ztfg-ztfr 2D True F99 59034.26596772252 0.12349646969337388 6.282353028513993 0.026228365055223492 0.5640162506104697 0.12206355961353922 -0.029633758998539882 0.020732762279271007 9.65 2.545 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 59034.26564027303 0.1233676175551883 6.282383786935535 0.026207623883664075 0.5640267521362932 0.12196362888658854 -0.029616640355570305 0.02070474926652203 10.316 2.717 0.0 0.0
J-c-o-ztfg-ztfr dehvils True F99 59033.981162740165 0.07733386473159944 6.081593988793331 0.023689308020867383 0.5909114148013702 0.10209853780103237 -0.0801713752112126 0.018721005677605502 3.578 1.985 0.0 0.0
