bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.35177922060002 0.1951063974760549 0.8877056725045921 0.08352554053319407 59029.298397429804 0.6677179352923585 None None -0.028849228112215727 0.13562357748113846 8.242 7.959 0.0 0.0
c-o  True F19 6 36.328990426803855 0.21765956488911348 0.8869335094526158 0.08524594334859768 59029.308489864685 0.679225440062362 None None -0.06475230534974454 0.13721738642440326 8.18 7.9 0.0 0.0
c-o  True F99 6 36.32577216396192 0.30341167140430103 0.8867046262473506 0.085231082914532 59029.308424404364 0.679144581982591 None None -0.06297837608716719 0.12524534693545109 8.181 7.901 0.0 0.0
c-o-ztfg  True F19 6 36.439936277284765 0.12977029869711434 0.8913646042574058 0.06084211180544989 59029.171791241286 0.4819206803525843 None None -0.17703655173698452 0.08372367184347136 6.657 6.432 0.0 0.0
c-o-ztfg-ztfr  True O94 0 36.276318086454395 0.13691029583056563 0.8583900954874547 0.06199168658801034 59029.50281334098 0.4992334824243948 None None -0.07947915459523718 0.0932868873423952 9.178 8.878 0.0 0.0
c-o-ztfg-ztfr  True F19 6 36.2497336074444 0.1266266685171493 0.8506056968186989 0.05943010548051967 59029.48484585844 0.48375910323168375 None None -0.12073784510562882 0.08614808047351973 8.723 8.442 0.0 0.0
c-o-ztfr  True F19 6 36.10480620393899 0.1880974356293553 0.7949734184113663 0.06957852948986122 59029.817064423434 0.5773905362464473 None None -0.041580468624304104 0.1396723968695635 10.521 10.19 0.0 0.0
c-ztfg-ztfr  True F19 6 35.70654479067433 0.11248268761537036 0.84968375579582 0.04440586042481281 59029.11867389877 0.3987635504211718 None None 0.16473648115067901 0.07457483962045239 2.0 1.917 0.004 0.007
J-asg-c-o-ztfg-ztfr 2D True F19 6 36.387141217034454 0.10577621909653225 0.8764064282801716 0.054923136084443866 59029.420004672014 0.47818996337291564 None None -0.1840639617755136 0.0730683924899031 8.948 8.149 0.0 0.0
J-c-o 1D3 True O94 0 36.38899660638939 0.14409191087478912 0.8887243785234262 0.07004167854156483 59029.28969773277 0.6657304846662765 None None -0.0561140003817169 0.097914482413479 10.141 8.612 0.0 0.0
J-c-o 1D3 True F19 6 35.890484798327705 0.15431505090802466 1.099040628304363 0.09953766537336738 59029.21906639037 1.0688345055391648 None None 0.5430154104405742 0.14178950967964704 42.613 26.247 0.0 0.0
J-c-o 2D True O94 0 36.44324807757819 0.11763501823144513 0.8911846020971126 0.06925889744670265 59029.309649179246 0.654559729410299 None None -0.08957248145615458 0.09606904347006381 9.527 8.236 0.0 0.0
J-c-o 2D True F19 6 36.42183503787412 0.1134277178615733 0.8906417874256799 0.0698307039696528 59029.316160506736 0.6579992833717964 None None -0.1363344896977337 0.09271409725278924 9.657 8.342 0.0 0.0
J-c-o dehvils True O94 0 36.2026660218695 0.270457180034773 1.9210716022267855 0.10018078669265303 59008.54807813895 4.45265917795864 None None -0.457398049359537 0.2819876440514471 59.405 26.864 0.0 0.0
J-c-o dehvils True F19 6 36.05792308858416 0.21628464766170452 1.1888949623389644 0.18581874506278134 59028.290826176235 2.0880670100825744 None None 0.4636644442964515 0.27351153572691844 44.562 33.484 0.0 0.0
J-c-o-ztfg 1D3 True F19 6 35.92435241272347 0.13758892792248203 0.9821136386005032 0.09692079547089646 59029.41561216712 0.7922664838454921 None None 0.2496614465655564 0.10291523418814387 42.5 28.028 0.0 0.0
J-c-o-ztfg 2D True F19 6 36.45211456178069 0.10540220911580098 0.8895714619386262 0.05491068080294726 59029.2340539358 0.48291873365728877 None None -0.1879433062797441 0.07308903329775247 7.847 6.889 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 36.02691535705585 0.14631979146029936 1.2545626397384404 0.082730805028862 59028.27296658851 1.010121517835249 None None 0.26240111707774944 0.09319961816893979 29.037 17.853 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 35.914402325719514 0.12697318902450547 0.9751498227054767 0.08379476135784457 59029.69947293075 0.6895828920297296 None None 0.23531209143812307 0.09306949942808118 32.598 22.058 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 0 36.455623014091934 0.1117222277366132 0.8722567776438035 0.05957504936859659 59029.6078783377 0.5064349281094912 None None -0.16421532713242243 0.08166485741719627 11.135 10.114 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 1 36.49264729251663 0.11273999693060137 0.8701190533119149 0.058860325012433455 59029.60717944773 0.5028608718340399 None None -0.16120260944188802 0.07916226428788978 10.866 9.885 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 2 36.469284723761014 0.11465460402451444 0.8658016470267166 0.058626578266283806 59029.61349001059 0.5049363894379201 None None -0.1739814007121704 0.08055600252609935 11.157 10.09 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 3 36.458017916509576 0.11195980971471903 0.8699953434879484 0.0583763778718063 59029.58021084618 0.5001886798301967 None None -0.16728409482600815 0.0790153731794922 10.634 9.66 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 4 36.466647681787144 0.11249488637916542 0.8700536658943121 0.05859714670887903 59029.588309875646 0.5015094862499269 None None -0.16870388460635 0.07899959058186161 10.751 9.764 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 5 36.48603494981735 0.11550731217357671 0.8643853555586964 0.057533509433612386 59029.6017328176 0.49963695175965644 None None -0.1745139093901278 0.0781739268549977 10.726 9.715 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 6 36.37807930039391 0.10898216815848874 0.8623225835084393 0.05636226279626714 59029.48054903386 0.4890824882486797 None None -0.1941692868194322 0.07492045707360873 9.975 8.942 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 6 36.39110590492264 0.1118761789844418 0.8652615513044107 0.05808764614042695 59029.459253704554 0.5000144274639824 None None -0.19833146367004492 0.07748336811930787 10.313 9.195 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 7 36.42491959822243 0.1117525018150357 0.8716187653532576 0.05916511627278453 59029.56687833542 0.503672307787209 None None -0.21770093155593326 0.0787488550639174 10.983 9.934 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 8 36.34697210822943 0.1104251262374282 0.8753188219520903 0.06018892246298918 59029.53525661017 0.5097260358744351 None None -0.23313586161168365 0.08351329388496675 11.504 10.317 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 9 36.41257262398798 0.11120234990675791 0.8730213270846141 0.05924495434819013 59029.55819494474 0.5044289686519172 None None -0.2199197377093582 0.07979740561887497 11.035 9.972 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 10 36.523844004350494 0.10552702049066763 None None 59029.593420343 0.5251173403173316 1.0789923481078847 0.0782644810820271 -0.08334236605011422 0.07332996223994485 11.799 9.034 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 11 36.5431162087873 0.1055669736021576 None None 59029.59481727697 0.5251435544219609 1.0788591298286334 0.07824042082511297 -0.08608480522329838 0.07300808842034424 11.803 9.044 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 12 36.564640368132395 0.1052203618704009 None None 59029.581143911746 0.5248217449336715 1.0775390351899718 0.07785851969133276 -0.08423832660049342 0.07296167160840208 11.757 9.021 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 13 36.51022600846596 0.10537930097644792 None None 59029.536429720014 0.5166548658212254 1.0771012401750477 0.07668109014188115 -0.09580650620743071 0.07159908246045442 11.122 8.45 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 14 36.501792925940684 0.10470410755461995 None None 59029.558594252245 0.5224441740744824 1.0772975495759776 0.077504535403187 -0.10094694988597622 0.07313244638389985 11.561 8.844 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 15 36.56896875432908 0.10546051625690346 None None 59029.53476049822 0.5175392331812554 1.0757757943758774 0.07641342772322922 -0.09577717002963322 0.07122887844964126 11.18 8.532 0.0 0.0
J-c-o-ztfg-ztfr dehvils True O94 0 36.126796895718506 0.16684963165972713 0.9236763687771123 0.10050616861903486 59030.20165512072 0.750414736087126 None None 0.06729953257839906 0.11143835645251321 26.342 23.387 0.0 0.0
J-c-o-ztfr 1D3 True F19 6 35.89317328117361 0.13976035396671402 1.1045795244418282 0.08755435477144285 59029.56488713279 0.8476520642566492 None None 0.4836560576108633 0.12323687761619856 31.408 20.455 0.0 0.0
J-c-o-ztfr 2D True F19 6 36.34913917350185 0.12151166318375985 0.8354404990074457 0.06793784474821857 59029.8853847686 0.5832995654921764 None None -0.1996648972397979 0.08945968100088963 11.711 10.481 0.0 0.0
J-c-ztfg-ztfr 1D3 True F19 6 35.80401836134547 0.13703344346972263 1.1739186503693038 0.060326885827351476 59028.62866980236 0.6252876511878638 None None 0.38194769308525944 0.07817367716913012 23.87 8.214 0.0 0.0
J-c-ztfg-ztfr 2D True F19 6 36.33550755619284 0.11423946584093139 0.8428482489409178 0.06339228315151048 59029.47509199931 0.5327703388387184 None None -0.19524595614650486 0.07690210359511597 10.532 8.691 0.0 0.0
J-o-ztfg-ztfr 1D3 True F19 6 35.90302110219642 0.13459024185707505 0.9577538963025906 0.09003400260431359 59029.999928814075 0.7573278457275434 None None 0.2359402664764366 0.09758885325339403 37.819 25.362 0.0 0.0
J-o-ztfg-ztfr 2D True F19 6 36.3733922181748 0.11196126287169335 0.8671696775731738 0.058331458279305325 59029.38676139862 0.5147349415922633 None None -0.20265693009127653 0.0765940512012512 10.881 9.692 0.0 0.0
J-o-ztfr 1D3 True O94 0 35.802536164092466 0.17981005611830275 1.1921812788074984 0.0988794217355632 59029.4396313638 1.2004998400296674 None None 0.5489317513656026 0.13051131023579865 34.938 18.337 0.0 0.0
J-ztfg-ztfr 1D3 True O94 0 35.88594493550669 0.16763684649547667 1.189153006370624 0.10136170730799807 59028.6523145642 0.6626699650104354 None None 0.23696071343180508 0.10834495546651297 30.561 8.684 0.0 0.0
J-ztfg-ztfr 1D3 True F19 6 35.83135686475724 0.1299377494212055 1.1741304102332817 0.06343550117068539 59028.648837913985 0.6765702808290811 None None 0.3170317375103072 0.07970757458184981 30.354 9.122 0.0 0.0
