bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
asg-o  True F19 6 31.063291655170282 0.1321496568007077 0.6540856985987644 0.06908897274126721 59038.94904101501 0.464044275113737 None None 0.04484125118963626 0.07290743804864222 410.19 61.599 0.0 0.0
c-o  False O94 0 31.49183256539511 0.13880520983216685 1.1891570593954595 0.08023214965273114 59038.41976187528 1.0669795848747472 None None 0.06605235525671514 0.10482146472170736 None None None None
c-o  False F19 6 None None None None None None None None None None None None None None
c-o-ztfg  False F19 6 None None None None None None None None None None None None None None
J-asg-o 2D True F19 6 31.046860106855306 0.12362542934192997 0.652721758177961 0.0644011275115874 59038.947963128594 0.45148628560309756 None None 0.05271164269605345 0.07049920616348343 665.921 54.601 0.0 0.0
J-c-o 1D3 False O94 0 31.469623044909458 0.12203916621574704 1.1890468261372977 0.07263682570542708 59038.59690251553 0.9216965863658777 None None 0.08668339218033326 0.0916987473721505 None None None None
J-c-o 1D3 False F19 6 None None None None None None None None None None None None None None
J-c-o 2D False O94 0 31.491680378677923 0.12476993607937739 1.1892091575211223 0.07461059856632096 59038.400549035316 1.0068037119712572 None None 0.07291007922480147 0.09444437906513566 None None None None
J-c-o 2D False F19 6 None None None None None None None None None None None None None None
J-c-o-ztfg 1D3 False F19 6 None None None None None None None None None None None None None None
J-c-o-ztfg 2D False O94 0 None None None None None None None None None None None None None None
J-c-o-ztfg 2D False F19 6 None None None None None None None None None None None None None None
J-o 1D3 True O94 0 31.069060472165106 0.12988248855289383 0.6931508024834866 0.05136256984793371 59038.66858946865 0.4494251099016401 None None -0.012720825571535152 0.12865750073961296 321.135 10.504 0.0 0.0
J-o 1D3 True O94 1 31.078542461665446 0.13322364682304363 0.6931541688866089 0.05136512345374596 59038.66860591293 0.44943830285970665 None None -0.010144190594661014 0.11597734625995276 321.174 10.504 0.0 0.0
J-o 1D3 True O94 2 31.011398358105886 0.13444074421701582 0.6931536753657997 0.05136119816163916 59038.66860419359 0.44941693072741634 None None 0.03453888118999708 0.114789271216249 321.155 10.504 0.0 0.0
J-o 1D3 True O94 3 31.065799382213775 0.13292321005896635 0.6931512945025605 0.05136438175257815 59038.66859111133 0.44943782585821335 None None -0.014412065794909468 0.11808661131984415 321.156 10.504 0.0 0.0
J-o 1D3 True O94 4 31.069121943656448 0.13433018770421962 0.6931515923249567 0.05136476577771898 59038.66859257164 0.449439180318665 None None -0.016563483068379077 0.11623263224827855 321.156 10.504 0.0 0.0
J-o 1D3 True O94 5 30.996325012063714 0.13796897741038003 0.6931521344092596 0.05136427415445611 59038.66859551629 0.44943677089645184 None None 0.029328896295379214 0.10597895372546326 321.159 10.504 0.0 0.0
J-o 1D3 True O94 6 31.01857991315614 0.1313508284844739 0.6931536069973184 0.051360950023149936 59038.66860418199 0.4494152782364949 None None 0.11468822068656533 0.11906846240610074 321.146 10.504 0.0 0.0
J-o 1D3 True O94 7 31.074188831980166 0.12667742430507775 0.693153382827668 0.051360711495306646 59038.66860310609 0.4494141622958281 None None 0.04659395698654697 0.1205033840524761 321.143 10.504 0.0 0.0
J-o 1D3 True O94 8 31.069725462315926 0.11439259148793651 0.6931537388490913 0.051360932375216495 59038.66860467545 0.4494151299002596 None None 0.13641693789458564 0.1651410013025252 321.153 10.504 0.0 0.0
J-o 1D3 True O94 9 31.07912093008091 0.1245969251945034 0.6931535887828371 0.05136092471584461 59038.66860387531 0.4494148080046197 None None 0.0421069877034654 0.12742139077307002 321.149 10.504 0.0 0.0
J-o 1D3 True O94 11 31.213040413872065 0.11688668076698557 None None 59038.90363886813 1.0110947642980104 1.0976756638497267 0.17108883991242724 0.26364641983810794 0.08732411276535071 2849.501 7.884 0.0 0.0
J-o 1D3 True O94 12 31.242129927134528 0.11367981146297645 None None 59038.90348202488 1.0119545497828666 1.0976124623827588 0.17126455611412797 0.25755135846857413 0.08865320863203006 2849.744 7.885 0.0 0.0
J-o 1D3 True O94 13 31.172683152620305 0.11850539365305862 None None 59038.90364235978 1.011614771329666 1.0976649353954322 0.17119823052279384 0.2323005703185124 0.08613543297671201 2849.655 7.884 0.0 0.0
J-o 1D3 True O94 14 31.18755772179151 0.11861353454872534 None None 59038.90458131673 1.0102635753162308 1.097874196584258 0.17094725419497683 0.24535809297653927 0.09024404973512769 2850.029 7.885 0.0 0.0
J-o 1D3 True O94 15 31.23284684480713 0.11267319531420239 None None 59038.90371009099 1.0116525256503222 1.0977094226972213 0.17119864332520818 0.20853606266511165 0.08693484578306264 2849.549 7.884 0.0 0.0
J-o-ztfg 1D3 False O94 0 None None None None None None None None None None None None None None
J-o-ztfg 2D False O94 0 None None None None None None None None None None None None None None
