bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  False F99 59022.27629095366 1.0 73.0 1.0 0.0 1.0 0.0 1.0 None None None None
c-o  True F19 59038.469279459125 0.3157219306696907 -0.2930823307267704 1.6520366306976784 -2.6210311254702896 0.5422518458562651 -1.2652222853158643 1.1063669971325638 435.933 0.89 0.0 0.487
c-o  True F99 59038.472418069134 0.0744255428180205 -0.21262315698565112 0.3615257856967168 -2.6509525048858267 0.09079995916841772 -1.1903752758279278 0.23965975435066236 205.461 6.072 0.0 0.0
c-o-ztfg  True F19 59038.46925389006 0.3159901120393544 -0.3444109400541061 1.6534935187951487 -2.6209962538844307 0.5426843336640669 -1.276688584354169 1.1073459578925258 204.33 0.581 0.0 0.715
c-o-ztfg  True F99 59038.472416411234 0.07442560609232919 -0.21263180390433986 0.3615262448461602 -2.650953091982845 0.09079998264563523 -1.1903808226798256 0.23966015672644694 205.461 6.072 0.0 0.0
c-ztfg  False F99 59240.28728933877 -1.0 5.617687755378332 -1.0 0.0015602206159889265 -1.0 -4.810457698021095e-05 15.520529077125527 None None None None
J 1D3 False F99 59037.66835530638 8.809697116957066 1.493447147510908 192.1965199513032 0.0 46.75681960987592 0.0 64.9782438007524 None None None None
J 2D False F99 59037.48714137297 9.236431549094952 1.4817299842834473 195.01645103058692 0.0 51.67819750344534 0.0 65.92372360316831 None None None None
J-c 1D3 True F99 59037.05683280266 6.488086861759012 1.5603727924385618 109.4770942809712 -2.73404885147144 10.264842331252671 0.04495816785454962 37.25832506508956 -1 -1 -1 -1
J-c 2D True F99 59036.865147086995 6.687433230366202 1.7555234277864018 111.06284166410121 -2.8209184278883668 11.088212527011649 0.11555252277783418 37.80428591163621 -1 -1 -1 -1
J-c-o 1D3 True F99 59038.29059824371 0.06176846483912664 1.6711970112432706 0.08510568991233003 -2.9572061725758676 0.08452807534983137 0.01969150664727437 0.04570019132638796 6352.793 23.352 0.0 0.0
J-c-o 2D True F99 59038.26468226813 0.062809493546043 1.6627452959172886 0.08546701004460465 -2.9761584112870265 0.08531694651196452 0.014711695074828992 0.045939782565197734 4297.433 26.294 0.0 0.0
J-c-o-ztfg 1D3 True F99 59038.29060682181 0.06176863077678996 1.671451349421638 0.08510806302944056 -2.957214210260451 0.08452823029339321 0.01984881591680728 0.04570120345037636 6352.599 23.355 0.0 0.0
J-c-o-ztfg 2D True F19 59038.66064435788 0.28515575306301066 1.7971371271255785 0.13279933567408686 -2.7362072216709885 0.5683369606842009 0.09242149874184469 0.07459210773297201 2218.513 0.722 0.0 0.653
J-c-o-ztfg 2D True F99 59038.66153218943 0.28518113913483656 1.8554035440771686 0.1328762140145193 -2.736055642515511 0.568483753344931 0.10811888163871818 0.07461827983116752 2352.133 0.885 0.0 0.517
J-c-o-ztfg 2D True O94 59038.66154961913 0.2849436348216214 1.8553971108648661 0.1328061738161943 -2.7360483750265487 0.5679895252749106 0.10811427348662733 0.07458286042262514 2386.677 0.917 0.0 0.492
J-c-ztfg 1D3 True F99 59037.05683287137 6.487986707150596 1.5603727801640193 109.47543926137142 -2.734048824458884 10.264717640679951 0.04495816537647446 37.257761600755785 -1 -1 -1 -1
J-c-ztfg 2D True F99 59036.86514664442 6.687239729126953 1.7555249137773519 111.05935862825436 -2.8209188003120578 11.088012424783114 0.11555303996567465 37.8031006511754 -1 -1 -1 -1
J-o 1D3 True F99 59038.290606803996 0.0617686309906082 1.671451329871053 0.08510806323920427 -2.9572142593685484 0.08452823002687455 0.01984880535653496 0.04570120365092229 6352.6 23.355 0.0 0.0
J-o 2D True F19 59038.66065160897 0.28515701989508513 1.7971368072776146 0.13279923075063643 -2.736204232478853 0.5683388438146618 0.09242106085221508 0.07459202964504852 2218.532 0.722 0.0 0.653
J-o 2D True F99 59038.26471400882 0.06280723972900741 1.663004079337969 0.08546872624567482 -2.976148120812355 0.08531531265034144 0.014871368767616971 0.04594035334810442 4297.21 26.293 0.0 0.0
J-o-ztfg 1D3 True F99 59038.290607997886 0.06176863428919078 1.6714533792233284 0.0851080071638043 -2.9572117675149157 0.08452825814791945 0.01984985857435995 0.04570115236616048 6352.511 23.355 0.0 0.0
J-o-ztfg 2D True F99 59038.26471489108 0.0628072094534186 1.6630049216140754 0.08546880632024828 -2.9761469399396336 0.08531532846236033 0.014871493317157723 0.04594039602437068 4297.22 26.293 0.0 0.0
J-ztfg 1D3 True F99 59037.668612075766 8.81914406709425 1.4934957057381109 192.55936467987166 0.0010466126548765238 46.863863487080785 6.883964275894066e-06 65.10005283149606 -1 -1 -1 -1
J-ztfg 2D False F99 59037.48714174633 9.250520689814708 1.4817300308543042 195.43658545156896 0.0 51.82445018418322 0.0 66.06477958647407 None None None None
o  True F99 59038.47241608619 0.07442554640387067 -0.21262395376349508 0.3615250307403542 -2.6509549513508817 0.09079991743601253 -1.1903755080163552 0.23965925517066666 205.462 6.072 0.0 0.0
o-ztfg  True F99 59038.47241659823 0.07442562510644918 -0.2126301925235655 0.3615266261705908 -2.6509530545876716 0.09080001484206389 -1.1903798831312447 0.23966039923010932 205.461 6.072 0.0 0.0
ztfg  False F99 59258.217385198266 -1.0 7.133213633634641 3.529279124704753 -0.004290481375124841 -1.0 0.0010257374595372707 7.905801475711214 None None None None
