bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59054.95260295127 0.5194414118593977 5.498131631808581 0.17207136057283795 1.58423448979182 0.6696863431984454 -1.5638926097415125 0.5778834692871639 1.662 1.601 0.173 0.187
c-o  True F19 59053.912278874406 0.21263599317161383 6.113520612903914 0.059077702510892616 -0.22914092374073822 0.21124627558829065 -0.1736795302419344 0.04981098487635366 2.001 1.594 0.002 0.028
c-o  True F99 59053.91316023555 0.21265251880703318 6.114905187316355 0.05905537344148913 -0.2276975192270904 0.2112937008499632 -0.18200517571019223 0.04980261642476743 2.002 1.595 0.002 0.028
c-o-ztfg  True F99 59053.86123055515 0.10870619608178105 6.218524795294184 0.026519985681729277 -0.19234375621509942 0.12640021974636964 -0.09791437507639986 0.02675755377517305 1.655 1.523 0.005 0.017
c-o-ztfg-ztfr  True F99 59053.77160508521 0.0989395523603968 6.228361602978371 0.026006634216821888 -0.17737122560739182 0.11948648626228482 -0.07996609305900287 0.022985985631517564 1.501 1.366 0.011 0.041
c-o-ztfr  True F99 59053.79947476112 0.13258266670930607 6.132494572492284 0.048060542162117977 -0.35030095184032833 0.15146037044026478 -0.14699491739810444 0.03851875688712677 1.822 1.733 0.001 0.003
c-ztfg  True F99 59053.87602006127 0.11956912465348321 6.276335123294158 0.040060347708392514 -0.3269028611020901 0.15200117035988114 0.044253341291258665 0.07037979884129361 1.547 1.472 0.06 0.084
c-ztfg-ztfr  True F99 59053.70934603361 0.1096588789891395 6.258667140752743 0.029022331721822753 -0.05360733305388123 0.14609863021843317 -0.04235364978303709 0.029121205986322247 0.89 0.812 0.636 0.751
c-ztfr  True F99 59053.719129637306 0.15709711762638115 6.1687770655690315 0.05510651098167705 -0.31078139568044416 0.20616554884711819 -0.108521399531597 0.04884093450953328 1.637 1.56 0.056 0.076
J 1D3 True F99 59054.07970306653 0.22528330871900087 121.60572211760612 283.0329128555602 5.3544893209800115 1.8080489515657332 38.68432420864761 94.20747429784987 6.984 6.911 0.0 0.0
J dehvils True F99 59052.88230639572 0.2038527889265505 769.6935001951259 0.15781814188387236 -1.3557890141067417 1.1313508543355308 254.04416750296937 0.0748316485044711 -1 -1 -1 -1
J-c 1D3 True F99 59053.285320883966 0.10354346784489085 6.235966164821163 0.04524877131885417 -0.05387604007536208 0.2933117483199377 -0.06181046415017967 0.03212349457407978 7.076 6.918 0.0 0.0
J-c dehvils True F99 59053.2935071551 0.16221980388246177 6.288754341702128 0.047250406335692816 -0.16109751198453565 0.29069822405770757 0.022250603742963976 0.03483467818710395 1.663 1.59 0.113 0.133
J-c-o 1D3 True F19 59053.91519012282 0.18767508287425336 6.1395641773333764 0.04879404862296842 -0.23162940350105085 0.2092177309263093 -0.14740341289042325 0.03554180697237132 7.456 2.022 0.0 0.0
J-c-o 1D3 True F99 59053.908351420076 0.18766167191694974 6.393835546228842 0.04906155320808057 -0.23503703420254973 0.20890152644785057 -0.08085788077355774 0.03569812587595835 14.367 4.198 0.0 0.0
J-c-o dehvils True F19 59053.71980053159 0.19681842074346623 6.210529710383132 0.05205507087688819 -0.2850048199255566 0.20649434847449358 -0.07585999578501093 0.03913667388137185 3.298 1.707 0.0 0.009
J-c-o dehvils True F99 59053.712743299126 0.1967088987338171 6.46452143787734 0.05236428810198894 -0.2883753210189933 0.2061715805867184 -0.00983611286892909 0.03932910523568579 9.612 4.082 0.0 0.0
J-c-o-ztfg 1D3 True F99 59053.581165329706 0.07680348468845798 6.224915385594663 0.02422862868472539 -0.42563050276463665 0.11574269919347516 -0.07106285972340189 0.02073667006112476 3.493 3.178 0.0 0.0
J-c-o-ztfg dehvils True F99 59053.76448032813 0.0977829323888697 6.242437000784973 0.02497065171397375 -0.366603716844072 0.11895469467619038 -0.04731238437979862 0.022069797803853156 2.579 2.066 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 59053.58912566764 0.07198249280247414 6.221249656153898 0.023824676120364027 -0.45993527871606676 0.1067984621567142 -0.06914797050281761 0.019233183747463255 3.034 2.779 0.0 0.0
J-c-o-ztfg-ztfr dehvils True F99 59053.7528877608 0.08883278543202569 6.240188668685275 0.024559295254823536 -0.3936684040719365 0.11057560644187786 -0.05000535447807153 0.020244465135805224 2.304 1.885 0.0 0.0
J-c-o-ztfr 1D3 True F99 59053.435135111795 0.08616736097769856 6.189643002988456 0.03908487958158961 -0.5112348178945514 0.14042703404424786 -0.09163042656321557 0.028149100963644855 3.391 3.08 0.0 0.0
J-c-o-ztfr dehvils True F99 59053.57382658373 0.1166379988718484 6.233425331980149 0.04209544929390744 -0.46141709859774604 0.14510312634096487 -0.05301642037927199 0.03099955262195314 2.576 2.038 0.0 0.0
J-c-ztfg 1D3 True F99 59053.53960261558 0.07809072925744992 6.236475069273759 0.02547595420218049 -0.4057334981791144 0.13906634726287304 -0.0366664870797926 0.025790332092844464 4.475 4.128 0.0 0.0
J-c-ztfg dehvils True F99 59053.69992779214 0.10296630738203716 6.263674577146552 0.026321733486922815 -0.3804188288600306 0.14330409792712662 0.0215747667817187 0.028040974548911544 1.826 1.734 0.009 0.016
J-c-ztfg-ztfr 1D3 True F99 59053.5585332185 0.07421272501925406 6.229264535470573 0.024650477342745093 -0.45404209409119367 0.12336436969584753 -0.05081172518889835 0.021358197437791254 3.428 3.239 0.0 0.0
J-c-ztfg-ztfr dehvils True F99 59053.716874796555 0.09419725020142192 6.252628314810156 0.025590926307129683 -0.38911140049290377 0.12866097613710623 -0.01979371857792117 0.0227909711479267 1.999 1.708 0.0 0.006
J-c-ztfr 1D3 True F99 59053.37093087925 0.09092407889105678 6.199826138100516 0.0403980257569455 -0.47870384597234583 0.1880336351088498 -0.07452463989441226 0.029605604951616238 4.241 4.071 0.0 0.0
J-c-ztfr dehvils True F99 59053.46919092914 0.13004795226636814 6.253900116321551 0.0433266221846317 -0.45545211349037606 0.19458762007024155 -0.019127858418780265 0.032727282348230656 2.251 1.798 0.001 0.018
J-o 1D3 True F99 59053.34051887621 0.10174346448780372 6.310620211882408 0.09214957778606266 -0.6507196456173073 0.20625215521682808 -0.03015229939865767 0.05206376109567533 4.205 4.127 0.0 0.0
J-o dehvils True F99 59053.48721629282 0.16115125534050037 6.516521495355722 0.09774686522618924 -0.6364618213092323 0.2094623489454499 0.10402196811828161 0.05592870700182148 2.151 2.116 0.001 0.001
J-o-ztfg 1D3 True F99 59053.57156660107 0.08206399671673856 6.238263569580907 0.027530077647563093 -0.5014429105311908 0.1271482246230724 -0.06866596242937557 0.02128737729357422 3.702 3.394 0.0 0.0
J-o-ztfg dehvils True F99 59053.799195153784 0.10982750237111709 6.259762783678916 0.028278368229791434 -0.41291830993666223 0.13212253432937887 -0.04330391657185115 0.02262879580139227 2.614 2.101 0.0 0.0
J-o-ztfg-ztfr 1D3 True F99 59053.58050107307 0.07616103416454768 6.234010325940346 0.02685617438012608 -0.5306805229895313 0.11557804350961559 -0.06436580375983653 0.020051689869616692 3.129 2.908 0.0 0.0
J-o-ztfg-ztfr dehvils True F99 59053.77142153607 0.09759204971711523 6.2577162681654865 0.02774941313955274 -0.4398507783557119 0.12108831160132981 -0.04198577481473802 0.021125003530168954 2.281 1.881 0.0 0.0
J-o-ztfr 1D3 True F99 59053.38628839485 0.09191133945973746 6.243747806673597 0.07387937362160521 -0.6940867094567478 0.16222814348597084 -0.055642179672539864 0.04649838744903115 3.402 3.271 0.0 0.0
J-o-ztfr dehvils True F99 59053.53104242265 0.13097437042256657 6.41279607217403 0.07909298147896925 -0.6435518433630314 0.16949011116089951 0.059252317288116474 0.05038101212613645 2.047 1.885 0.0 0.001
J-ztfg 1D3 True F99 59053.5229937797 0.0845130442586923 6.238117293212413 0.028972962876941746 -0.5008283632887122 0.15836877810888858 -0.04584546398631434 0.026655954392443778 5.332 5.101 0.0 0.0
J-ztfg dehvils True F99 59053.72385818043 0.11659089187128725 6.261327134442801 0.02950494964193288 -0.437776539221271 0.16527649755145543 0.01834599542423398 0.028981687475855326 1.995 1.914 0.01 0.015
J-ztfg-ztfr 1D3 True F99 59053.538294880374 0.07911452537733615 6.233849999109867 0.02775612123697052 -0.544822168956681 0.1367016338705338 -0.05036770552943158 0.021877179668211417 3.73 3.575 0.0 0.0
J-ztfg-ztfr dehvils True F99 59053.73136877293 0.10488668569526 6.262051675653493 0.028744129713368705 -0.4469062304877075 0.14519907995330897 -0.01747453052614118 0.02331722550477521 2.034 1.733 0.001 0.009
J-ztfr 1D3 True F99 59053.280346232335 0.10089568533694665 6.201630217116688 0.07754860303253266 -0.8772943331195808 0.24899143919427055 -0.06797520634474241 0.04691313289797948 5.134 5.025 0.0 0.0
J-ztfr dehvils True F99 59053.342849265005 0.15522736637120627 6.371293899514093 0.08122841308239641 -0.8513223878905092 0.26505650754417304 0.0550489715576741 0.05002986790145286 1.502 1.455 0.115 0.133
o  True F99 59054.09529892217 0.27443255398257493 6.70283048084193 0.9971490884051383 -0.5026042468389269 0.2688220507468798 0.21562478044846256 0.6475359586356478 2.215 2.163 0.002 0.003
o-ztfg  True F99 59053.941060005964 0.1255304751556368 6.23824668987575 0.02958298931860427 -0.21949005834037222 0.1415299753411813 -0.09440927192547731 0.027350525226994923 1.481 1.439 0.035 0.047
o-ztfg-ztfr  True F99 59053.810470367134 0.1105226028584396 6.245414472804391 0.029191655675693415 -0.20203579429049712 0.1319455779123212 -0.0716207248521051 0.023912650418752582 1.425 1.332 0.032 0.067
o-ztfr  True F99 59053.79085923931 0.1656691737301907 5.871583166168746 0.3563760647325232 -0.44168125130451563 0.1914887306057385 -0.3262313822014409 0.25219049696314155 1.832 1.785 0.003 0.005
ztfg  True F99 59053.37000468372 0.26568252269938136 7.467926230200254 1.0409020558166868 -1.003881060942453 0.28007857106859313 2.5543420191598516 1.7127755198829948 1.267 1.215 0.231 0.265
ztfg-ztfr  True F99 59053.749437689126 0.12487117858284837 6.272610312316363 0.032188677138193636 -0.043993860181618605 0.16981300222297085 -0.03817565958624707 0.0297969889175372 0.668 0.636 0.875 0.902
ztfr  True F99 59053.398948425005 0.3640919300665009 7.055270753326814 4.815857153928296 0.10733637684540065 0.5099278573178052 0.5197744249377253 3.4460005095916486 0.355 0.342 0.928 0.935
