bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59051.06898780438 0.4903509991868719 31.222149232754802 46.84962351790105 -2.9416534791664226 1.0618798740270894 20.157082001015915 36.081499353080446 0.449 0.438 0.718 0.726
c-o  True F19 59049.87643421092 0.4731221419143594 7.424138947691491 0.07216287045745622 0.9187873772858244 0.4398175282643107 -0.01422057991024929 0.062212871545238364 1.078 0.955 0.354 0.533
c-o  True F99 59049.87651224781 0.4731352090375484 7.424878593393915 0.07215404295686893 0.9192885417490008 0.439858265519565 -0.0165287903866738 0.062209192357196796 1.078 0.955 0.354 0.533
c-o-ztfg  True F19 59049.91896079521 0.30551683324157847 7.378936016695605 0.030090161032780168 0.7958155531275497 0.31072008971887266 -0.08567478708973864 0.033394525620497106 1.434 1.051 0.035 0.382
c-o-ztfg  True F99 59049.913682513696 0.29143787378721203 7.311359379629511 0.029182383883916075 0.789171238856326 0.2969248091374476 -0.10079913563342828 0.03196545806295031 0.915 0.864 0.627 0.716
c-o-ztfg-ztfr  True F19 59050.03831632725 0.2258942106922459 7.312465226365903 0.02871254320029289 0.5705214658523198 0.22150549195209288 -0.05210357637695342 0.026571461267418117 0.857 0.686 0.777 0.97
c-o-ztfg-ztfr  True F99 59050.03237395106 0.2118456780923298 7.3144633442592575 0.02783590367688323 0.5661824878796855 0.20901113813285263 -0.05267843795906429 0.025631116609320357 0.856 0.755 0.779 0.92
c-o-ztfr  True F19 59050.07836580781 0.2765482098656715 7.509253428119675 0.06746606017215441 0.5408349688798453 0.256125085912005 0.0646414858309245 0.054198570235937674 1.304 0.937 0.078 0.596
c-o-ztfr  True F99 59050.06791354507 0.255691549620552 7.440606779634267 0.06457173397390856 0.5382769351472942 0.2396626874351399 0.04659434255753868 0.05178982086573168 0.921 0.829 0.627 0.791
c-ztfg  True F99 59050.255595699 0.37488284786525033 7.271806883711043 0.03361915101851404 0.7250610395386653 0.3852537840243057 -0.2715259445124326 0.0919262065182356 0.357 0.353 0.991 0.992
c-ztfg-ztfr  True F19 59050.10073164666 0.25945052809199415 7.387704318192437 0.029767225816092837 0.45823536338234505 0.24669083638980335 -0.010523250366679395 0.030965757182249823 1.365 0.813 0.074 0.775
c-ztfg-ztfr  True F99 59050.10198509718 0.24233502274794663 7.320094518767308 0.028828094818142736 0.4544746630644999 0.23267535546472431 -0.02841319888381302 0.029880659766097602 0.577 0.475 0.978 0.996
c-ztfr  True F99 59050.203149261186 0.3127497084990294 7.502394395824322 0.07342287189244716 0.37077558989074627 0.2748676813603037 0.12619396282730283 0.06312131212387821 0.317 0.313 0.999 0.999
J 1D3 True F99 59050.9999451868 0.6455769801217651 6.049112122697534 6.241877292203336 -12.687484950313141 4.627043545200448 -0.3472389659884164 2.2029813459162972 1.176 1.148 0.309 0.317
J 2D True F99 59050.337395712195 1.702144851522273 9.059181375325622 14.74078492275608 -3.919998901386281 29.436781806356855 0.5913509456052543 5.019634983957416 0.884 0.883 0.413 0.414
J dehvils True F99 59050.37280583006 1.7803767943197464 3.7542307186959647 8.249092684891494 0.5390483015135644 28.19622791954509 -1.3440036550056225 2.907642710154795 1.274 1.272 0.259 0.259
J-c 1D3 True F99 59049.96876863732 0.3298474840483443 7.41197962456943 0.060405356091664475 0.8844834012222229 0.7849066447184823 -0.03897534327991184 0.03739897724847588 0.998 0.99 0.439 0.446
J-c 2D True F99 59050.16134735596 0.40743675659540174 7.410399016337537 0.06205005233283237 0.7983462535653925 0.8010017302699957 -0.04426434783660857 0.04562523355887084 0.695 0.689 0.714 0.719
J-c dehvils True F99 59050.49204772343 0.3559697717978516 7.427853200198093 0.060053827927464054 0.5816104114523956 0.7860743377166997 -0.016307690672248062 0.03835157499176927 0.704 0.698 0.688 0.694
J-c-o 1D3 True F19 59049.863845828135 0.36292385170219227 7.479874704172298 0.055516162893746425 0.9440373244812752 0.43419639368754614 -0.013341083253519195 0.038669848102534196 1.258 1.023 0.144 0.43
J-c-o 1D3 True F99 59049.863878365315 0.36301859616989063 7.479881964727678 0.055529947599336126 0.9440411400102956 0.4342508085139315 -0.013339883460556631 0.03868555846609489 1.232 1.007 0.166 0.456
J-c-o 2D True F19 59049.92051807215 0.3849026090356557 7.406014324949143 0.058772733887691386 0.9519839363460216 0.43641132465074245 -0.03554256418900552 0.04373783403429656 0.982 0.852 0.498 0.712
J-c-o 2D True F99 59049.92261921245 0.3843399896981336 7.477663774257057 0.058853342005759236 0.9484199209445647 0.4360990486891225 -0.016895117848043425 0.043803751784694 1.176 0.975 0.222 0.509
J-c-o dehvils True F19 59050.05108593761 0.36274264541220314 7.425168726782674 0.05595344914948237 0.9168062039486587 0.43178685944722006 -0.016084299802266822 0.039013140113431426 1.005 0.862 0.459 0.693
J-c-o dehvils True F99 59050.05489702891 0.36188270637919595 7.497280307789177 0.05602379091151464 0.9126076147455106 0.43140471086327026 0.003027535268817866 0.0390658469946201 1.206 0.989 0.193 0.485
J-c-o-ztfg 1D3 True F99 59049.92446453164 0.2202328923797446 7.318360092122136 0.027514788601471652 0.7616998330986553 0.29152234977495917 -0.08532806363049703 0.023827827948748773 0.929 0.859 0.612 0.742
J-c-o-ztfg 2D True F99 59049.95778442836 0.24363183618665424 7.315482352119819 0.027994340241514967 0.7688956092485073 0.29322641229543606 -0.09261300853615846 0.025806442994257876 0.847 0.799 0.762 0.836
J-c-o-ztfg dehvils True F99 59050.09772319094 0.2345207950785218 7.324214970947108 0.0277954867112065 0.7260586027350893 0.2901087005509676 -0.07686100570876007 0.02432238206690315 0.943 0.852 0.584 0.751
J-c-o-ztfg-ztfr 1D3 True F99 59050.00126749437 0.1757054794342815 7.308567479083786 0.025807583553319045 0.577385649554661 0.20870391021559087 -0.06072034379891285 0.021259395898557465 0.867 0.759 0.772 0.927
