bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.42993543109255 0.08368424729417037 1.0378063728381857 0.032891744623299225 59071.06794006708 0.37413522558840245 None None 0.0031672052460874405 0.062425138849629316 0.312 0.303 0.999 0.999
c-o  True F19 6 36.41597174849711 0.08484027566598255 1.0374404875361187 0.03358405809203017 59071.06429190596 0.38240716432242927 None None -0.030766541860834364 0.06311352619804712 0.317 0.307 0.999 0.999
c-o  True F99 6 36.42476594448632 0.0839306688064593 1.0372063678975185 0.033611232225644536 59071.062347794475 0.38283216656309504 None None -0.03294087896190801 0.0624931556750195 0.32 0.31 1.0 1.0
c-o-ztfg  True F19 6 36.43041964685544 0.0814844597077118 1.1174507537169964 0.03574232804401593 59070.175976443716 0.3545021429944875 None None 0.019602792600393493 0.06079247516548506 0.479 0.455 1.0 1.0
c-o-ztfg-ztfr  True O94 0 36.374047826911415 0.0848421174799057 1.17988328825409 0.033663449657929466 59070.2297262905 0.35637207738461324 None None 0.06016766261558977 0.06185717401793223 0.699 0.651 0.996 0.999
c-o-ztfg-ztfr  True F19 6 36.37574666329602 0.08390784331729857 1.1404847435290886 0.03479167892418644 59070.31979578777 0.35601348334997296 None None 0.06109196844004125 0.06077864604784281 0.692 0.649 0.996 0.999
c-o-ztfr  True F19 6 36.35723923098828 0.0879683883536271 1.0712281558622918 0.034942015712377074 59070.983493188956 0.3837447375512467 None None 0.01693693321981286 0.06536441161714927 0.815 0.765 0.878 0.936
c-ztfg-ztfr  True F19 6 36.312566888386804 0.08724368492922344 1.147960191809786 0.03510675719879928 59070.446461443586 0.35401378864982386 None None 0.10107844150084344 0.06082926041194858 0.569 0.534 1.0 1.0
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.3946616520142 0.08017100034585325 1.107086699499369 0.03370681212019214 59070.56715585119 0.3574144897026935 None None 0.026692191257579632 0.06071289509400825 1.201 0.839 0.055 0.914
J-c-o 1D3 True O94 0 36.44065419166315 0.08301936432257381 1.0276295952498995 0.032007045906298236 59071.13621066756 0.3608998312509797 None None -0.011981653809686748 0.06107611861720079 0.331 0.304 0.999 1.0
J-c-o 1D3 True F19 6 36.42061529412643 0.08412977804837454 1.0316591425369508 0.032057670574762664 59071.11785228705 0.3606242692312188 None None -0.04014690045870053 0.06107506717771709 0.309 0.29 1.0 1.0
J-c-o dehvils True O94 0 36.490886811519324 0.08693319531518069 1.0359806668670275 0.03380057694209137 59070.94622786816 0.37816295819692586 None None -0.04249824130272784 0.061867364471053087 0.576 0.529 0.954 0.973
J-c-o dehvils True F19 6 36.4697859401238 1.1680551454795804 1.0491062960634563 0.033462689602922195 59070.91061461277 0.3741297524181972 None None -0.06448198925439069 0.06192595681589105 0.496 0.457 0.983 0.991
J-c-o-ztfg 1D3 True F19 6 36.42783968772521 0.07853917427649278 1.0619714656070394 0.032372938337823315 59070.47120648596 0.3506293167523485 None None -0.01581831064633842 0.06044127937547986 0.464 0.39 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 0 36.39641494253472 0.0828832098969387 1.0807862613665529 0.03433836885135813 59070.63323501653 0.36167225484760707 None None 0.03230030567911647 0.06105425662194553 1.838 1.082 0.0 0.248
J-c-o-ztfg-ztfr 1D3 True O94 1 36.415083811169026 0.0829118945876767 1.0837376291729564 0.03414872744315143 59070.64376757657 0.36031352076181167 None None 0.02672000978708489 0.060946437845078506 1.734 1.017 0.0 0.429
J-c-o-ztfg-ztfr 1D3 True O94 2 36.4796026648947 0.08413833869248263 1.1890720493858467 0.034454877314553066 59070.23860176034 0.3640927923012902 None None -0.00205222155265888 0.062490418055640234 2.992 1.077 0.0 0.262
J-c-o-ztfg-ztfr 1D3 True O94 3 36.403537081900296 0.08270278494093188 1.0830688298984819 0.03404671536273921 59070.60851266047 0.35993842652555796 None None 0.01944323484243697 0.0608654660447068 1.616 0.978 0.0 0.554
J-c-o-ztfg-ztfr 1D3 True O94 4 36.402238671707856 0.08283724944844788 1.0840632210371892 0.034058396397771036 59070.6435722846 0.35973876514769443 None None 0.02143678671086917 0.06088789077310435 1.689 0.986 0.0 0.529
J-c-o-ztfg-ztfr 1D3 True O94 5 36.50238076135367 0.08431090704056969 1.1892707925141455 0.033831432989248525 59070.221487156196 0.36214250326699127 None None -0.01505762419528349 0.06201285510944238 2.338 0.97 0.0 0.581
J-c-o-ztfg-ztfr 1D3 True F19 6 36.39729270433601 0.08123649376879026 1.117043526463139 0.033438455568793504 59070.543688014215 0.355533254577939 None None 0.034443862168840024 0.0606597749503388 1.197 0.753 0.063 0.984
J-c-o-ztfg-ztfr 1D3 True F99 6 36.39822512157593 0.08138096500007373 1.1112759072134089 0.0334833118835098 59070.5746954775 0.35658212044428383 None None 0.03786279223015453 0.06066279309550709 1.046 0.706 0.341 0.995
J-c-o-ztfg-ztfr 1D3 True O94 6 36.39266447251093 0.0816309863738885 1.1166404844247324 0.03375374672807428 59070.55085733477 0.3572167409476852 None None 0.038262878869380464 0.06075437350326353 1.185 0.742 0.075 0.987
