bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.06139341354697 0.23987350378340447 0.42440383190318615 0.05236733298603124 59088.18126289211 0.5134986873843966 None None 0.10927006742159982 0.09575711259875325 0.744 0.729 0.709 0.724
c-o  True F19 6 36.30202127408353 0.27857139211062 0.42414903218286165 0.07020177999864487 59088.1770053362 0.6631704143808554 None None 0.29795756544499585 0.1534944081580024 0.75 0.736 0.703 0.718
c-o  True F99 6 36.40061915419797 0.24560054040389362 0.423715658140481 0.0700515306076678 59088.17063358843 0.6622320198793901 None None 0.25670206672498974 0.1393508635710222 0.748 0.733 1.0 1.0
c-o-ztfg  True F19 6 36.02266741251632 0.24340098406434127 0.43819363162178027 0.05758616757831485 59087.70523874551 0.4444565717773103 None None 0.6030176189306179 0.08680109761012797 1.9 1.836 0.003 0.004
c-o-ztfg-ztfr  True O94 0 35.82587313499697 0.1689687141502007 0.5077668085798549 0.04070023226888925 59087.941614916366 0.4301143677838229 None None 0.49015516772619183 0.07118445472939282 1.799 1.726 0.001 0.001
c-o-ztfg-ztfr  True F19 6 36.12924111341096 0.17880446539495579 0.5249230458742423 0.03682819665329733 59088.02859694115 0.39269261114665055 None None 0.5919585345425874 0.06628057305909364 1.265 1.215 0.103 0.146
c-o-ztfr  True F19 6 36.45919681048448 0.12628081762156668 0.5324879196647726 0.03416439914989745 59088.08832989603 0.3818688626057465 None None 0.27998983071481504 0.08065634255231548 0.515 0.491 0.992 0.995
c-ztfg-ztfr  True F19 6 36.142885601858175 0.18894233702135224 0.5619534394913361 0.04011571762639469 59088.56365283458 0.41359144155962985 None None 0.6057225531882304 0.06860203887205309 1.528 1.46 0.024 0.039
J-c-o 1D3 True O94 0 36.50220703707834 0.1137053159818546 0.49518169456102096 0.03636393733593011 59088.87127694417 0.4701284220766102 None None -0.027065658781630284 0.09150796413116771 0.844 0.789 0.655 0.723
J-c-o 1D3 True F19 6 36.33056185926627 0.12751095409026045 0.42195191252134123 0.03730139015793722 59088.27989943639 0.44164972605570685 None None 0.2775393832940961 0.07433806377497287 0.643 0.609 0.86 0.888
J-c-o dehvils True O94 0 36.59532956154454 0.1365254095336873 0.49568845364586084 0.03840729908369403 59089.119490699304 0.5288168744632111 None None -0.08589170844740548 0.10694439302189378 1.596 1.372 0.048 0.128
J-c-o dehvils True F19 6 36.401348127267624 0.12308400200051203 0.4122158135641551 0.03790761380465443 59088.38483522007 0.4708874178431798 None None 0.21499682401609355 0.0766796266907884 1.109 1.02 0.341 0.43
J-c-o-ztfg 1D3 True F19 6 36.27371483151366 0.1797457360207264 0.5144332621954323 0.04555210797906016 59087.853220513185 0.4106068599919954 None None 0.5138019614401284 0.0698080005934122 1.629 1.568 0.013 0.02
J-c-o-ztfg-ztfr 1D3 True O94 0 36.09450801825513 0.1453604678570904 0.5583154364477282 0.0356060594308687 59088.31183267478 0.39070303520080324 None None 0.4180631679525363 0.06844754074051983 1.925 1.706 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True O94 1 36.031751000316646 0.14470305562662175 0.5600853838904204 0.0359021862435071 59088.32330950683 0.39214479692753096 None None 0.4061914472078207 0.06844110575967713 1.998 1.753 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 36.00194594611743 0.14286790593732782 0.5225684542872253 0.036622066075236506 59088.07047632574 0.398211039981597 None None 0.3891282487973968 0.07015033557925486 1.868 1.724 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True O94 3 36.0596946973228 0.14409230524230676 0.5630076586666796 0.0355272229065566 59088.342704950184 0.38932285365084585 None None 0.40702825211563537 0.06723472418313882 1.903 1.671 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True O94 4 36.04648118659898 0.1444385232960653 0.5606698330344562 0.035773884894048646 59088.32670006361 0.39106533993625425 None None 0.4079365264148067 0.06775129660231989 1.95 1.714 0.0 0.001
J-c-o-ztfg-ztfr 1D3 True O94 5 35.88253213011796 0.14727349754376431 0.5238109551194324 0.037408023826713446 59088.08264029694 0.40459323171017897 None None 0.40475001031885044 0.07099017531493643 2.121 1.939 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 36.184488105052985 0.17167930797159128 0.5420205118505713 0.03542804977608631 59088.20596621908 0.3860947884294697 None None 0.5731771380025632 0.06508284087350194 1.477 1.367 0.013 0.038
J-c-o-ztfg-ztfr 1D3 True O94 6 36.1715298693834 0.17515792546536063 0.534255860351792 0.0367159604958509 59088.16323225204 0.39801660087712665 None None 0.581199587635339 0.06636522743353047 1.387 1.301 0.032 0.068
J-c-o-ztfg-ztfr 1D3 True O94 7 36.298982447908955 0.15326996408195478 0.5446987548934156 0.033766831828757525 59088.21595755501 0.3735132897213079 None None 0.4825963048509847 0.06379248627826682 1.102 1.009 0.28 0.456
J-c-o-ztfg-ztfr 1D3 True O94 8 36.500530774072324 0.16362350280846527 0.5257025038967431 0.03382645930780616 59088.09648995113 0.3742711782442503 None None 0.5497307000498544 0.06441025788716961 1.031 0.965 0.411 0.547
J-c-o-ztfg-ztfr 1D3 True O94 9 36.33021797271302 0.15314924927739568 0.5447358688853685 0.03370853291601838 59088.21650561018 0.37326742831234194 None None 0.4837842570378961 0.06382440685217863 1.098 1.006 0.288 0.462
J-c-o-ztfg-ztfr 1D3 True O94 10 36.7928543821896 0.1537353833998472 None None 59089.72986903417 0.4871873868035743 1.1060949635555408 0.08588151192391451 0.4492380827738558 0.07518796192839634 3.7 3.027 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 11 36.82200879883267 0.1502698347429198 None None 59089.78628616651 0.4816349297514738 1.1070360738369267 0.08576821194003995 0.4234703856296318 0.07479516167554777 3.629 3.005 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 12 36.82474368979228 0.1530535743279096 None None 59089.75834722587 0.48548872736312537 1.1064438236033498 0.08626939455758963 0.43826790396512105 0.07501707578694615 3.737 3.078 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 13 36.73522120215878 0.15101397943472292 None None 59089.741617764135 0.4870468884046267 1.1062953028280227 0.08635052557289376 0.4122195404665751 0.0748242620939359 3.754 3.09 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 14 36.78275366753068 0.14954573625387768 None None 59089.73089735821 0.4823215932316033 1.1008214981686681 0.0854293501366086 0.4230929362076978 0.07532849107703875 3.706 3.033 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 15 36.74554732847391 0.15282924235380235 None None 59089.74403181234 0.4868190889641053 1.1064964750641735 0.08650180332190335 0.41360332362980146 0.07439232966738826 3.766 3.096 0.0 0.0
J-c-o-ztfg-ztfr dehvils True O94 0 36.027045641476114 0.1707273855786308 0.5894671403407946 0.03914159235549445 59088.57630667948 0.4279917297124247 None None 0.5391142034649483 0.07566993777003363 3.458 2.72 0.0 0.0
J-c-o-ztfr 1D3 True F19 6 36.39427877302438 0.12046669688731892 0.5106442622433224 0.03324118863899048 59087.87162655279 0.3782644093012695 None None 0.3129566732308008 0.07270352302825969 0.599 0.556 0.979 0.99
