bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.635264185094144 0.09143473753936943 0.9938116140438029 0.035233766996278566 59107.443009654315 0.3959677249277091 None None 0.0882513938486586 0.06394156611535819 1.447 1.347 0.063 0.107
c-o  True F19 6 35.63848810522089 0.091222230744534 0.994303147585261 0.03665410395001397 59107.439015416545 0.41117972581126505 None None 0.047990871392659396 0.06502802204941607 1.442 1.342 0.064 0.11
c-o  True F99 6 35.66251694565002 0.08824358817118762 0.9939690787936354 0.036634650139515536 59107.441233033205 0.4110064066419135 None None 0.03795915328430867 0.06403606865424592 1.442 1.343 0.0 0.0
c-o-ztfg  True F19 6 35.49911703112701 0.08084570917370434 0.909220420201771 0.03189253796240116 59107.72541791041 0.36700284031157515 None None 0.06329234319034542 0.061924863223730704 1.373 1.269 0.038 0.092
c-o-ztfg-ztfr  True O94 0 35.44866139863763 0.0878590978343941 0.9238379591978954 0.031788459107202655 59107.792856307264 0.3742409822399564 None None 0.1396937528905655 0.062020727421313385 1.502 1.35 0.003 0.023
c-o-ztfg-ztfr  True F19 6 35.48151580507404 0.08206401374954604 0.9248791242813339 0.03135459068707824 59107.744824908375 0.36596730409632283 None None 0.08293017293337668 0.061555284261679624 1.406 1.265 0.011 0.059
c-o-ztfr  True F19 6 35.60279989528353 0.08574648609251274 0.9827481123163562 0.03240138550119533 59107.55229869191 0.3804213813250502 None None 0.05619502218177733 0.06304955209371899 1.274 1.17 0.09 0.189
c-ztfg-ztfr  True F19 6 35.34232332177961 0.08509199711711139 0.9214638227409954 0.03086659853759543 59107.08626139591 0.36025749633373794 None None 0.13567175662780373 0.061386349961187726 0.694 0.622 0.956 0.986
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 35.552553437424244 0.07912993423961437 0.9415825585074941 0.03159091608849919 59107.48147389123 0.36080553342653904 None None 0.05055608773262964 0.06114015252744088 1.889 1.579 0.0 0.0
J-c-o 1D3 True O94 0 35.699202544184935 0.0865079128667991 1.0205617806526956 0.03546983096083523 59107.245110849006 0.3824606192167247 None None 0.061048111082816034 0.06200928243973327 1.784 1.392 0.003 0.062
J-c-o 1D3 True F19 6 35.69506682279106 0.0829638443514898 1.028214144526604 0.03422462329137216 59107.20099362428 0.3400004145587125 None None 0.030003831343062642 0.06187076933741993 1.783 1.366 0.003 0.073
J-c-o dehvils True O94 0 35.79262709546122 0.08602645760920463 1.055157505730936 0.0376062522389016 59106.879748504405 0.3975657992143586 None None 0.01857299412751362 0.06223268575471952 2.168 1.715 0.0 0.005
J-c-o dehvils True F19 6 35.7830976497178 0.0829207163508015 1.0762931707066972 0.03595298288883097 59106.82457588197 0.3919976602297714 None None 0.0039029358403166966 0.06221538360170628 2.003 1.584 0.0 0.015
J-c-o-ztfg 1D3 True F19 6 35.562140886219076 0.07958429839625479 0.9203257249788379 0.032295831794500116 59107.42875076159 0.3630593665285382 None None 0.026660315361850217 0.06147583449183532 2.01 1.62 0.0 0.002
