bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59115.91897298333 2.1480248240452107 8.183444247873528 1.0816422950956832 -1.86246660255037 1.208596014989353 -0.8140150564468839 2.4581474462040074 0.02 0.02 0.98 0.98
c-o  True F99 59115.10804866902 0.48680429836870936 8.768344899740589 0.22442898031682545 -1.8918313882832631 0.6295490657419345 0.05898196113756583 0.1547232407540998 0.473 0.465 0.948 0.952
c-o-ztfg  True F99 59115.34740803222 0.2430164852950283 8.873271499721529 0.04315733644963915 -1.4820711812568472 0.2859233735031145 0.1269249400706478 0.04034327950344333 0.347 0.342 0.999 1.0
c-o-ztfg-ztfr  True F99 59115.331142518015 0.19295961796460057 8.860698223757673 0.04112397048773199 -1.6241557308924168 0.24799686599777962 0.1002298051316118 0.033693691066449045 0.45 0.434 0.999 0.999
c-o-ztfr  True F99 59115.198890518346 0.25313502534196847 8.758856262036481 0.20245133463264942 -1.9250897907593918 0.36683915189493005 0.0322371233046022 0.1456606228591726 0.554 0.528 0.964 0.974
c-ztfg  True F99 59115.383017804474 0.2725096349047088 8.878801809841876 0.05398302692476337 -1.583357946724772 0.4104927351522698 0.20076436701062933 0.21914634948408268 0.214 0.212 1.0 1.0
c-ztfg-ztfr  True F99 59115.364959482744 0.2084934149679507 8.854056106153774 0.042495814876519815 -1.6075144362045026 0.27152810043500447 0.08216351516336438 0.038260405744178744 0.379 0.37 0.999 0.999
c-ztfr  True F99 59115.29206225506 0.2711944468516301 8.582892681421619 0.21662046541221538 -2.079936913543096 0.4035927502913819 -0.1091596921132626 0.1599549565858095 0.419 0.405 0.964 0.969
J 1D3 False F99 59114.723627490406 2.514863689173023 8.03750231033532 64.7239419146352 -14.606182730902347 33.691826427785024 -0.08171466914265238 23.374688257644234 None None None None
J 2D False F99 59114.64398177649 1.9033130132131655 8.585042878146936 49.384064934486325 -14.138238543715559 29.3085643651368 0.1041723617583708 17.798312261719886 None None None None
J-c 1D3 True F99 59114.94500396238 0.34085094470456745 7.528764804345403 0.1989686072974063 -2.3250367997945776 0.6152516938868358 -0.04297335688749981 0.07744107830913165 0.161 0.159 0.977 0.977
J-c 2D True F99 59114.906390711076 0.34617089799934486 7.533182133126253 0.20046809560198683 -2.3430850390626343 0.6127542889707368 -0.04066357813514494 0.08795148254737838 0.184 0.181 0.969 0.97
J-c-o 1D3 True F99 59114.926056864555 0.3052854787615738 7.510947425522691 0.10770468056624959 -2.173557865782232 0.4407451370567685 -0.043716102142977234 0.060517236032663985 0.431 0.417 0.979 0.982
J-c-o 2D True F99 59114.87263970639 0.305215096026787 7.53401766821856 0.12478682083760585 -2.1885900551177544 0.44653246273264724 -0.02686808144126895 0.07593692407947293 0.43 0.419 0.979 0.982
J-c-o-ztfg 1D3 True F99 59115.22299737385 0.2051187795688481 7.7506878421923835 0.03922370662920878 -1.5204500754558419 0.2824969720380747 0.07494160286441305 0.028583583284929572 0.587 0.482 0.967 0.993
J-c-o-ztfg 2D True F99 59115.19002473785 0.2048528925068808 7.759237892615655 0.04010276222837813 -1.5266358116838408 0.2825501232071338 0.09082001916591831 0.03228694105863527 0.495 0.457 0.992 0.996
J-c-o-ztfg-ztfr 1D3 True F99 59115.24583364498 0.1724334049204181 7.729087781872666 0.0381913540945431 -1.6114201763595357 0.2465237488726462 0.0700299816637221 0.027049460499515652 0.613 0.528 0.977 0.995
J-c-o-ztfg-ztfr 2D True F99 59115.2149564876 0.17251932160002398 7.740221186941148 0.03958976246055121 -1.6182793907181399 0.24662766932274646 0.0834894968139079 0.029680274254966648 0.543 0.51 0.993 0.997
J-c-o-ztfr 1D3 True F99 59115.09151737068 0.2107342880303928 7.59452447314364 0.08952447186864489 -2.0464963870704485 0.3234825464446275 -0.015564390137327685 0.05723018457400921 0.537 0.511 0.978 0.985
J-c-o-ztfr 2D True F99 59115.07593127793 0.2118404615604683 7.6024282738399 0.10986783304528228 -2.049722034394286 0.32612762053100086 -0.009766367167148382 0.07413695591798883 0.543 0.518 0.976 0.983
J-c-ztfg 1D3 True F99 59115.19583913505 0.23551892858852097 7.769600360083989 0.04367016197977396 -1.38454632403031 0.32906171792646094 0.04080037977019679 0.03537503986619601 0.3 0.296 0.999 0.999
J-c-ztfg 2D True F99 59115.179165322945 0.23753213163880899 7.770590692311888 0.04385939037840754 -1.3856447740174924 0.3315059190087941 0.04221721123604068 0.048278696139105896 0.314 0.31 0.998 0.998
