bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 38.21176488199187 0.14280319057140675 0.9975229312930086 0.06366842089195683 59113.423339099325 0.5600758522104833 None None -0.04959837851425535 0.08286741083442196 0.255 0.255 1.0 1.0
c-o  True F19 6 38.24087001868471 0.12498587043564438 0.9975850431689812 0.06367203872236454 59113.42428434077 0.5600288867880489 None None -0.13281889034666208 0.08360300046962564 0.255 0.255 1.0 1.0
c-o-ztfg  True F19 6 37.94938342608048 0.10025695377936236 0.8958225013631558 0.04367993750824997 59113.254540361406 0.4449009498496934 None None 0.01215523518090565 0.06840568682900387 0.366 0.365 1.0 1.0
c-o-ztfg-ztfr  True O94 0 37.77640155296328 0.0967820333281477 0.904799944474517 0.042200892136707385 59113.308579284436 0.4246856372846547 None None 0.13559084821866782 0.06774990669584502 0.424 0.422 1.0 1.0
c-o-ztfg-ztfr  True F19 6 37.81237275557047 0.09127981559694015 0.9023991415630559 0.04161923736098665 59113.309491989065 0.4203370205414065 None None 0.07823148200747078 0.06629612403839077 0.441 0.44 1.0 1.0
c-o-ztfr  True F19 6 38.03318134305017 0.11299970813835129 0.9689838372101055 0.05011196856034648 59113.45503882621 0.4739211865219661 None None -0.04496221724119441 0.08330261794697032 0.431 0.43 1.0 1.0
c-ztfg-ztfr  True F19 6 37.74836739223918 0.09444557865574081 0.9089404762164811 0.044228875549626415 59113.22840540073 0.43746467457934546 None None 0.11488317472411326 0.06722086963634653 0.403 0.401 0.999 0.999
J-c-o 1D3 True O94 0 38.20990222154176 0.10025268778300278 1.1542212706736978 0.055571529114837204 59113.026074937174 0.5865466023170087 None None 0.008234684042957865 0.07213698772065989 0.284 0.282 1.0 1.0
J-c-o 1D3 True F19 6 38.08007987709491 0.13015560457905223 0.9468312591395119 0.055414988687473396 59113.04309162012 0.4994488604626591 None None -0.05885210188500736 0.06938547483064211 0.304 0.302 1.0 1.0
J-c-o 2D True O94 0 38.234036099990725 0.10244618502648907 1.1383233537556485 0.06174521732717568 59112.96439378039 0.5796299687546691 None None -0.0064079911743810105 0.07224416756063624 0.266 0.264 1.0 1.0
J-c-o 2D True F19 6 38.1355464318752 0.09615333924754599 0.9730529719655395 0.056943348541476556 59113.101392954646 0.5101096633029089 None None -0.07687804262314683 0.07107587975158608 0.28 0.278 1.0 1.0
J-c-o-ztfg 1D3 True F19 6 37.97321858239516 0.08815592789631879 0.8870618875119743 0.04283993804808101 59113.16251345952 0.42958455590996397 None None -0.00688010703451583 0.06379107100509751 0.362 0.36 1.0 1.0
J-c-o-ztfg 2D True F19 6 37.99331330992645 0.09003523805029642 0.8915962418037472 0.04315835467008883 59113.156278182505 0.43494323971335874 None None -0.014266763226041621 0.06442727902051183 0.36 0.359 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 0 37.87045178262345 0.08975579889859432 0.878656410924549 0.04240369543381711 59113.17005455467 0.42106356832051994 None None 0.06305339057959347 0.06610982718352092 0.5 0.496 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True F19 6 37.89894147026241 0.0874817791178949 0.879123353440946 0.04217945008697987 59113.170981821146 0.4189130681723753 None None 0.008045932369683999 0.0643684327467482 0.528 0.524 0.999 0.999
J-c-o-ztfg-ztfr 2D True O94 0 37.881315681806555 0.08980023810371332 0.8844616388972945 0.04156275371679081 59113.16597576492 0.41743038445508474 None None 0.06593081231650257 0.0659419051786425 0.481 0.478 1.0 1.0
J-c-o-ztfg-ztfr 2D True O94 1 37.89418900096339 0.09060820341586105 0.8798902100244547 0.0417176407084703 59113.17782059848 0.418352575221757 None None 0.05290164826810634 0.06570116274685386 0.496 0.493 1.0 1.0
J-c-o-ztfg-ztfr 2D True O94 2 37.888684042414326 0.08992639569526124 0.8716446029638437 0.041245018129052465 59113.19147864401 0.4153996182199864 None None 0.05430530065840462 0.06621283990585455 0.494 0.491 1.0 1.0
J-c-o-ztfg-ztfr 2D True O94 3 37.88588328641713 0.08966390173085718 0.8856617084450734 0.04134400975057331 59113.175841522934 0.4161685049964452 None None 0.04546489915714841 0.0653566808180225 0.466 0.463 1.0 1.0
J-c-o-ztfg-ztfr 2D True O94 4 37.879539040305275 0.09013547997980004 0.8808989943585398 0.041765691408402056 59113.17255701623 0.41868552459113506 None None 0.043563311459183456 0.0656542093071908 0.496 0.493 1.0 1.0
J-c-o-ztfg-ztfr 2D True O94 5 37.89817361964064 0.09025589738432106 0.8710877003224358 0.04097308035118307 59113.20506053071 0.4139265772831158 None None 0.03760860987535374 0.0657093591137713 0.485 0.482 1.0 1.0
