bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.38020923872911 0.10161312459812519 1.2137260666622738 0.05170433217860708 59122.55562714783 0.5534888426495983 None None 0.03986805637542428 0.07414461826905636 7.218 6.013 0.0 0.0
c-o  True F19 6 35.42602088168966 0.09980587743965565 1.210161493865632 0.05704715052832758 59122.557916735386 0.6039949319485484 None None 0.04073704208413686 0.08521720163001903 7.236 6.015 0.0 0.0
c-o  True F99 6 35.44580773089238 0.09478141545072409 1.2101750765252355 0.05700039936129861 59122.5572196477 0.6035297968142319 None None 0.03273143638522037 0.08070349099684834 7.217 6.001 0.0 0.0
c-o-ztfg  True F19 6 35.43486504878315 0.08572909143206611 1.1968258019582259 0.04078010215772653 59122.55408326896 0.44790346444180035 None None -0.012003544476254997 0.06700618418934468 3.97 3.24 0.0 0.0
c-o-ztfg-ztfr  True O94 0 35.37602109100671 0.08786035044356878 1.2389850951752128 0.034694275826721827 59122.40047207252 0.4035513439111772 None None 0.004450966939639585 0.06398192222711296 3.507 2.791 0.0 0.0
c-o-ztfg-ztfr  True F19 6 35.439789292778336 0.08598567367849376 1.2390522906014032 0.03419626487333876 59122.3886383364 0.3962822121513604 None None 0.019120994204360163 0.06443262253472101 3.533 2.82 0.0 0.0
c-o-ztfr  True F19 6 35.409523294222645 0.09419315700533828 1.2523474297576271 0.03655334306287515 59122.517684907805 0.45541095207459387 None None 0.0859953965474032 0.07153404042014905 5.063 4.226 0.0 0.0
c-ztfg-ztfr  True F19 6 35.399675888539775 0.087704459284407 1.2329422222681095 0.03515621124580227 59122.40438339724 0.3917978228179235 None None 0.030571201366531537 0.06432834262287375 2.793 2.12 0.0 0.0
J-asg-c-o-ztfg-ztfr 2D True F19 6 35.38644416431283 0.08533805526596595 1.235741370530513 0.03626767932308482 59122.57529353631 0.4375049941991926 None None 0.06226057532512518 0.06477273715590194 8.405 4.503 0.0 0.0
J-c-o 1D3 True O94 0 35.369274228027905 0.09476539765992704 1.2301669872545047 0.04539337105696506 59122.5911373598 0.5350861396419873 None None 0.04602116036009317 0.06795756933062118 20.221 6.258 0.0 0.0
J-c-o 1D3 True F19 6 35.33642846342431 0.09579792165874686 1.206663774120742 0.05582976573780671 59122.90274795405 0.6192933939654416 None None 0.10685598875939115 0.08269545626218817 24.666 8.612 0.0 0.0
J-c-o 2D True O94 0 35.38336405588837 0.0932662213670201 1.085339177633569 0.0514995020423839 59123.31352222013 0.43671700147035925 None None 0.006961489473307564 0.06811458352710088 13.22 6.047 0.0 0.0
J-c-o 2D True F19 6 35.39500267037986 0.09449182017339346 1.2221773759083538 0.05371526136370871 59122.74013946859 0.608118060587736 None None 0.07183904070113993 0.08054673748481911 19.27 7.462 0.0 0.0
J-c-o dehvils True O94 0 35.434398028055526 0.09196305530319225 1.0840461149617773 0.04735979987513797 59123.30299431074 0.4178084739218837 None None -0.02846068937287853 0.06582617694191854 8.122 5.752 0.0 0.0
J-c-o dehvils True F19 6 35.42111681940316 0.09014141459810797 1.2059710745594892 0.05012764995936301 59122.88229377833 0.5412140953557725 None None 0.03864289407080018 0.07613637091648134 12.264 6.08 0.0 0.0
J-c-o-ztfg 1D3 True F19 6 35.3656203386822 0.08790951861581078 1.2133698739707461 0.045400561090665585 59122.59184255026 0.4902531245690661 None None 0.0524637879373369 0.0700404269833302 16.549 5.738 0.0 0.0
J-c-o-ztfg 2D True F19 6 35.345852500473775 0.08521094179622712 1.1013908172570461 0.042879056837177555 59122.55411561217 0.4039294783831258 None None -0.005544124549502037 0.0651247170086861 10.143 4.312 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 35.38634489104983 0.08743601693444414 1.2428806302674027 0.0358949186380407 59122.55288251376 0.46063439522293664 None None -0.0029287893690118573 0.06327986879639376 8.344 3.101 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 35.36564591149668 0.0873494931369305 1.2250147792677606 0.037541078022931815 59122.5553200871 0.4503417218218138 None None 0.05981107510346874 0.06598633544716655 11.851 4.479 0.0 0.0
J-c-o-ztfg-ztfr 2D True O94 0 35.42796465641851 0.08731929203122765 1.2396570008707255 0.034339194924351675 59122.474790779546 0.4039845768986389 None None -0.019108223081736462 0.06300489145129881 9.923 3.368 0.0 0.0
