bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59121.43415022348 2.62557126706979 11.373343753431534 7.149594955594266 0.7927930539990407 2.6495937617100176 2.5693607953512476 7.32797182778703 0.43 0.428 0.651 0.652
c-o  True F19 59122.76167436987 0.6427515388672446 8.215205542014697 0.20145732031747876 0.6451048916781557 0.9220369798489655 0.09641557702012074 0.14429581315417667 0.586 0.552 0.905 0.927
c-o  True F99 59122.76322577192 0.6270755596560076 9.237430056267947 0.19565969334857375 0.6475028678388348 0.9052856899380051 0.07348264498058094 0.1398447412312875 0.496 0.495 0.956 0.957
c-o-ztfg  True F19 59123.165148016604 0.2672748311468575 8.099157464431837 0.03806345030872911 0.7075672596051328 0.3956261610292044 0.0008242521559487668 0.04680597378577065 0.715 0.558 0.89 0.983
c-o-ztfg  True F99 59123.16536839593 0.26105419090843035 9.124845518581838 0.03754546783225909 0.713136472179845 0.38778346365428684 -0.019037860630952086 0.04591827282400035 0.337 0.334 1.0 1.0
c-o-ztfg-ztfr  True F19 59123.20318346072 0.20593856259748888 8.025500991555246 0.034951079481013766 0.7655192704955214 0.32234476344227125 -0.04508495414364197 0.02970114902738226 0.337 0.316 1.0 1.0
c-o-ztfg-ztfr  True F99 59123.202639628915 0.1993517232849664 8.027419500113778 0.03439880325545785 0.7709240210832673 0.3140213283298092 -0.04762876968217222 0.029128199215906897 0.337 0.332 1.0 1.0
c-o-ztfr  True F19 59123.175447394315 0.29421364698186064 8.212936457700966 0.17510891345067087 0.7858924962550868 0.4750791807684721 0.06147654273415788 0.13613832024552808 0.578 0.493 0.984 0.997
c-o-ztfr  True F99 59123.17751024367 0.2827495069877333 9.237617799626573 0.17081375824781755 0.790342398820885 0.4602489791608277 0.04033967109813508 0.13299492616189898 0.374 0.369 1.0 1.0
c-ztfg  True F99 59123.22764605533 0.28281129953739903 9.129331458829078 0.04022685618985889 0.8637739614667639 0.46264804751997973 -0.15877583965491227 0.2144665568999171 0.232 0.23 1.0 1.0
