bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59124.52346837096 0.18901620641738545 7.960587552218385 0.4744546116430049 -2.5514988572000297 0.2835770190056028 0.9367715783047803 0.5095037876722136 2.008 1.957 0.074 0.082
c-o  True F19 59124.8835037635 0.17721868200175334 6.12169556944873 0.08741825493482032 -2.0260634082665328 0.27356647959607155 0.026127466895431845 0.06261120500134575 1.415 0.827 0.103 0.683
c-o  True F99 59124.88362149058 0.17721486383186288 6.1218273973333535 0.08741490212302529 -2.025897315254625 0.27356074029179 0.0246714999273659 0.0626099828241167 1.415 0.826 0.103 0.683
J dehvils False F99 59120.19943188135 0.9473358939060211 772.0202719597016 0.22137200904039533 -20.698358487972442 7.326004318023982 254.0933623205653 0.06552685772762522 None None None None
J-c dehvils True F99 59124.255513665994 0.12379335762626473 6.023516162661141 0.04895183272200906 -2.7604777647895924 0.20813618083066782 0.006905977028035451 0.03329256159680682 39.002 34.399 0.0 0.0
J-c-o 1D3 True F19 59124.8487893967 0.16928196586235839 6.186855679419977 0.06423645273798828 -2.030244634889126 0.255724230220164 0.05709605055987921 0.040591328987529866 9.315 1.359 0.0 0.105
J-c-o 1D3 True F99 59124.848817425474 0.16933187804835342 6.1868503680789315 0.06425378126373446 -2.0302714669775095 0.25578124708760613 0.057096369000263644 0.04060394298139651 9.305 1.35 0.0 0.11
J-c-o 2D True F19 59124.837536760875 0.1687791099707514 6.12502633815272 0.06451892945019169 -2.057772968466744 0.2550446053388733 0.031604950574265114 0.04104905836152328 9.057 1.262 0.0 0.167
J-c-o 2D True F99 59124.83839189072 0.16882258705944714 6.169450986962168 0.0645512102716616 -2.055733491167608 0.2551137143411444 0.04308113327018456 0.04106837195777952 9.186 1.34 0.0 0.115
J-c-o 2D True O94 59124.83836200542 0.1687764973260288 6.169454822770808 0.06453596932065857 -2.0557219016998647 0.2550603457217801 0.04308023062650811 0.04105719504203376 9.202 1.349 0.0 0.11
J-c-o dehvils True F19 59124.82904610234 0.16833682639654995 6.112731998478967 0.06267069355557797 -2.078902821631459 0.2532720395577738 0.021918877244968306 0.03924717956498064 18.028 1.444 0.0 0.067
J-c-o dehvils True F99 59124.82992929399 0.16838123079942516 6.157247451330409 0.06269756727848158 -2.076769341173737 0.253340784147671 0.03347340741740235 0.03926126970668951 18.07 1.522 0.0 0.043
J-o dehvils True F99 59124.06708919477 0.14318716505399146 6.131061585443769 0.09555551435069358 -2.7608226887675222 0.2944380228183791 0.03345314722908806 0.05331591225198928 24.314 21.835 0.0 0.0
o  True F99 59124.62470957734 0.26515361405730514 5.315568380320391 1.8143290647598989 -1.750881854483754 0.3571332772211599 -1.2760333026342323 1.287249716424542 0.945 0.855 0.495 0.585
