bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59136.11218953496 0.8924016711789984 5.789211804494936 0.661763606058837 -2.691533041220245 2.1279053277514457 -1.2491962061535309 1.9278109342105223 0.355 0.345 0.551 0.557
c-o  True F19 59134.89519343595 0.33581855858471404 6.51371323748494 0.0729071446499319 -2.807571019776633 0.3637920675626155 0.14374533836588677 0.056024109068319804 9.176 2.939 0.0 0.0
c-o  True F99 59134.895694740146 0.3357620119891909 6.514589769526872 0.07288779527654861 -2.8068283779484045 0.3637353557066187 0.13864726153031906 0.056016397489113766 9.17 2.938 0.0 0.0
c-o-ztfg  True F19 59134.08061680262 0.170757691510972 6.7706432333275135 0.03688495446132434 -2.4204466720594544 0.20833157213932746 0.2586752040464573 0.03302716421421258 10.257 4.076 0.0 0.0
c-o-ztfg  True F99 59134.35026826296 0.14223942705542247 6.6226861094366845 0.03368417111959261 -2.4596060505253288 0.16182474418773493 0.22524612339672798 0.028921191989237937 6.01 5.16 0.0 0.0
c-o-ztfg-ztfr  True F19 59134.41822459287 0.132589574384842 6.617600875947815 0.03397105616069315 -2.45643242873079 0.14405656954766435 0.1971642056594135 0.02856641439868134 6.265 2.673 0.0 0.0
c-o-ztfg-ztfr  True F99 59134.61466327529 0.09961511310540273 6.619453459003594 0.030818320604039048 -2.501435907459081 0.10215524067518311 0.1946139318901242 0.02545136378976953 6.105 5.205 0.0 0.0
c-o-ztfr  True F19 59134.905165293785 0.1800318599392495 6.667676743875517 0.06356723748258962 -2.4988950588502616 0.17520337458130247 0.15825263066253442 0.04877484421020427 11.224 3.793 0.0 0.0
c-o-ztfr  True F99 59134.90442026043 0.11768247829105336 6.5050818610246015 0.053229593501000406 -2.5130153402989936 0.11395998607243807 0.11236697585878622 0.04077325934946479 7.288 6.086 0.0 0.0
c-ztfg  True F99 59133.56515812169 0.1986472155434585 6.764016164792482 0.056615287671826824 -2.268473335238741 0.22308185014991427 0.5082772202299701 0.08420575136845912 1.523 1.479 0.059 0.073
c-ztfg-ztfr  True F19 59134.33899856126 0.1406203758408636 6.763990214228864 0.03548407187122599 -2.4056921873598975 0.15399315684720355 0.21594852879601595 0.03470551514916737 7.372 3.716 0.0 0.0
c-ztfg-ztfr  True F99 59134.49705296701 0.10820592999006652 6.604191632166071 0.032543797951772625 -2.461330519635688 0.11373571840218048 0.1645360800118753 0.03145677682108475 4.551 4.056 0.0 0.0
c-ztfr  True F99 59134.8249003837 0.1363103515954159 6.455348707404724 0.058766283360347636 -2.4759752575721876 0.13203081781953696 0.045177114808248556 0.051127047108459646 5.092 4.641 0.0 0.0
J 1D3 False F99 59149.541839342724 1.0 11.76593835060401 1.0 956043.4611777426 1.0 -1.6640327573214018 1.0 None None None None
J 2D False F99 59149.545075992675 1.0 13.213418005528068 1.0 1747244.210629032 1.0 -1.3964524189717933 1.0 None None None None
J dehvils False F99 59149.6419747125 1.0 12.788888017405224 1.0 1585389.7704733007 1.0 -1.4903879022040631 1.0 None None None None
J-c 1D3 True F99 59140.464609226416 0.1601023086381148 7.246778863634908 0.06813606651764008 1.2050679253644088 1.039148883893986 0.6531195753970244 0.041524376215403114 193.356 146.808 0.0 0.0
J-c 2D True F99 59141.50855224805 0.345982093273535 7.153668792712354 0.07247624281012054 3.347291974170452 1.392497873354417 0.4413281575988085 0.04103443639939394 107.872 95.23 0.0 0.0
J-c dehvils True F99 59140.04573814099 0.23563051372040275 7.117748253836542 0.08502418771210052 -0.6639746364978081 1.1569304420968312 0.5765794359751577 0.057694177490614784 281.67 114.353 0.0 0.0
J-c-o 1D3 True F19 59135.83751046653 0.3403427668951508 6.878798836919122 0.0689081775707814 -2.6555373498998636 0.35892371569860004 0.3506885995905809 0.0489007689614765 207.448 11.776 0.0 0.0
J-c-o 1D3 True F99 59135.83674916026 0.34075780387304766 6.878535775356038 0.06896853529247966 -2.657519381787619 0.35943420669389375 0.35055464351308097 0.048959501401609075 206.6 11.624 0.0 0.0
J-c-o 2D True F19 59135.68303282142 0.3560931656331637 6.635080234150908 0.06885196962557744 -2.6838976569861677 0.35356543790500977 0.23332936881407196 0.049621640898920356 86.441 10.197 0.0 0.0
J-c-o 2D True F99 59135.68482419086 0.35564732082824896 6.791924338117566 0.06895153306527917 -2.679360471928033 0.35286134535380786 0.2728272526688866 0.049699772739685885 89.177 11.455 0.0 0.0
J-c-o dehvils True F19 59135.8298686813 0.3406696428126281 6.709860256784952 0.06840852664614389 -2.6464520313830073 0.35616080601494365 0.2997770033502084 0.04861259769896634 279.154 10.524 0.0 0.0
J-c-o dehvils True F99 59135.82925113476 0.34010815621629403 6.867487108588413 0.06851887180768784 -2.6401745124507316 0.35505180174094253 0.34002720201182823 0.048703395999260914 289.187 11.758 0.0 0.0
J-c-o-ztfg 1D3 True F99 59133.8890691763 0.15402761579458604 6.435246611144855 0.02427645409657951 -2.6807601784146806 0.16207007139750915 -0.03198468711019801 0.02048220644007731 151.674 43.295 0.0 0.0
J-c-o-ztfg 2D True F99 59134.48525874593 0.17102626967227827 6.4339056854385674 0.02632363826076503 -2.515630934337892 0.16856454810302618 -0.06703943691539944 0.022676148094377034 52.804 40.943 0.0 0.0
J-c-o-ztfg dehvils True F99 59133.752706269355 0.16640618262095738 6.401263495891866 0.023561512860909194 -2.7098047395031113 0.16242969972354043 -0.080105547800297 0.019476228977878384 237.62 47.918 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 59134.38257410012 0.11477697000288581 6.454796393885778 0.022709599010518316 -2.561393240640202 0.11144146785182243 -0.010002543312851971 0.018948081190940873 99.373 35.893 0.0 0.0
J-c-o-ztfg-ztfr 2D True F19 59134.56705942431 0.14237609322684397 6.635142716627687 0.032782586526805164 -2.420634557186808 0.1449740731833455 0.21091911264877206 0.025945296369363158 34.916 7.312 0.0 0.0
J-c-o-ztfg-ztfr 2D True F99 59134.566982387216 0.1424306272164392 6.790276162244396 0.03284153286979108 -2.420961855352976 0.14498612048052936 0.24914760801046387 0.02599516207113205 36.993 8.334 0.0 0.0
J-c-o-ztfg-ztfr dehvils True F99 59134.271833462015 0.11740255747147957 6.409443641822748 0.02170864213701139 -2.5898969040535533 0.11329747147383176 -0.06681780306945063 0.01784469137889937 155.333 39.568 0.0 0.0
J-c-o-ztfr 1D3 True F99 59134.526532496 0.14619501950444827 6.189562507024971 0.03552676425545257 -2.5684365619119744 0.12817904919082873 -0.17696176622163104 0.027495794808432818 150.644 44.852 0.0 0.0
J-c-o-ztfr 2D True F99 59135.66446856951 0.16773787597206558 6.460652920213768 0.04974244902957371 -2.25557859153819 0.12451054454481462 0.04599162573538858 0.03551386001509867 44.81 42.296 0.0 0.0
J-c-o-ztfr dehvils True F99 59134.363700264024 0.14605346438976846 6.113590185180659 0.033541860960227134 -2.6042832875997197 0.13083131812192092 -0.24727741147943183 0.025759257453508762 238.676 49.875 0.0 0.0
J-c-ztfg 1D3 True F99 59119.97481663598 0.3117325264955324 8.480890672758154 0.15467633200819955 44.35256086859291 7.115153446506364 1.0609196301118253 0.048563038968729245 76.363 8.069 0.0 0.0
J-c-ztfg 2D True F99 59140.20503693954 0.16420881823024433 7.256559005801929 0.04621719515130429 1.1169103817888004 0.4074947435669001 0.569566422602825 0.03755649366587788 57.362 55.432 0.0 0.0
J-c-ztfg dehvils True F99 59119.95340871625 0.31331303742706595 8.482057907354346 0.15535691450863975 44.652426819331545 7.18449900271629 1.05680904858195 0.04884269029060689 81.728 8.298 0.0 0.0
J-c-ztfg-ztfr 1D3 True F99 59134.166144011004 0.12263015320621495 6.434507749756513 0.023295531379538638 -2.4687650644437005 0.12622253468799868 -0.08488764567109353 0.021850691540815054 132.94 38.332 0.0 0.0
J-c-ztfg-ztfr 2D True F99 59134.96841393085 0.15197771953553832 6.554723555715615 0.031149200650747562 -2.2815890072878156 0.1221315500804728 0.06612866210610097 0.026368925116904578 39.49 37.458 0.0 0.0
J-c-ztfg-ztfr dehvils True F99 59134.06494210816 0.12329127077404065 6.397446881574608 0.02240913227504002 -2.465549027662087 0.12862183039669559 -0.14307927017348654 0.02058369764591595 211.834 42.555 0.0 0.0
J-c-ztfr 1D3 True F99 59134.25504959133 0.16211145082371153 6.1456984648824236 0.03821515448609033 -2.472889523471536 0.15068007137432715 -0.2712809731852758 0.03266994823521337 233.837 54.399 0.0 0.0
J-c-ztfr 2D True F99 59135.817416803584 0.23598336361568803 6.451491702130541 0.05937827619454488 -2.167783459149984 0.14535245025253113 -0.006923169709108641 0.04561668518064752 61.059 59.511 0.0 0.0
J-c-ztfr dehvils True F99 59134.080815578025 0.15942318018676427 6.077888756503043 0.03616844732907128 -2.4764473388097565 0.15448582316418882 -0.34321415838954505 0.03060397857658815 377.27 61.135 0.0 0.0
J-o 1D3 True F99 59140.106542032205 0.10469853143404369 7.759491139804738 0.10505302569622263 0.7360623587931241 0.26978605594497945 0.8556666105783803 0.057472531610192744 106.581 98.407 0.0 0.0
J-o 2D True F99 59140.20452054115 0.14849417089280625 7.307612624598061 0.11790891230974049 0.8359524076418916 0.2850783736013015 0.5624497767136154 0.06602069396922419 75.066 72.625 0.0 0.0
J-o dehvils True F99 59140.218115346186 0.10004011433427482 7.673947273214574 0.10623975388604709 1.0500815131029233 0.2732203893815671 0.7960396483283376 0.05834705993560475 125.526 108.8 0.0 0.0
J-o-ztfg 1D3 True F99 59133.55523779101 0.1596788482113244 6.480082420833676 0.026804935190382583 -2.8363521974820927 0.17583240365462283 -0.003755993548430022 0.020437673348830062 174.863 46.353 0.0 0.0
J-o-ztfg 2D True F99 59139.12718076606 0.22021134080234556 7.178213297558377 0.06123637646966266 0.29847842002448693 0.28443406133163024 0.49040840097962946 0.043099591592002835 51.029 49.542 0.0 0.0
J-o-ztfg dehvils True F99 59133.39214055097 0.155956971703427 6.451168959961188 0.025998382450311545 -2.8819925340262147 0.1756935773592174 -0.046116023992746336 0.019449032067510037 273.13 50.717 0.0 0.0
J-o-ztfg-ztfr 1D3 True F99 59134.25256991015 0.11804738819005939 6.485371438580385 0.024511752424400055 -2.601274733291962 0.11599982854923159 0.009970386270629343 0.018759249483596946 106.828 36.507 0.0 0.0
J-o-ztfg-ztfr 2D True F99 59135.14981976825 0.12936365921509546 6.620855480478074 0.03387953022003613 -2.2752203418390025 0.1141568221800997 0.14974005962992645 0.02412260709623897 36.165 33.235 0.0 0.0
J-o-ztfg-ztfr dehvils True F99 59134.13517210196 0.11627921872177384 6.442039597120276 0.02340875681114702 -2.6395879182531568 0.11724698241856388 -0.04146741720543397 0.017631832886464447 165.999 40.666 0.0 0.0
J-o-ztfr 1D3 True F99 59134.75173302204 0.12536278006126256 4.809188007674611 0.2036396298592379 -2.5732039391510666 0.11922256494889598 -1.0989874347193134 0.149000234744652 206.496 43.497 0.0 0.0
J-o-ztfr 2D True F99 59135.29982604588 0.15621181620907637 5.881523863949452 0.12909621065825705 -2.373963270246395 0.12388066555454764 -0.3275664016637836 0.086981040072101 49.224 47.145 0.0 0.0
J-o-ztfr dehvils True F99 59139.70618190067 0.14075380671097262 7.935145537538926 0.1269614159539737 -0.4513209343350909 0.1924528792443079 0.9374692045300136 0.07514369518354912 79.489 72.112 0.0 0.0
J-ztfg 1D3 True F99 59118.98758637594 0.5218997445847866 11.842044541792008 5.442562284252881 1114.3847206002213 5591.383984226923 1.3667516385413978 0.15727236193016303 208.37 0.85 0.0 0.641
J-ztfg 2D True F99 59134.32416396873 0.2292195111243091 6.567247308196858 0.042484670335828506 -1.9457726693326474 0.2601092845368421 -0.20819411950454236 0.05977027408013888 76.542 76.201 0.0 0.0
J-ztfg dehvils True F99 59118.945025987116 0.4947541746085423 11.712786526060398 4.663981216861 986.2429487424798 4241.374986333041 1.361567667124314 0.1399470004623505 232.165 1.044 0.0 0.404
J-ztfg-ztfr 1D3 False F99 59120.90328020336 0.2760234420042594 8.537666695934075 0.0998712467330011 59.27603446062466 5.378417580160168 0.6740565748122147 0.07602463100443796 None None None None
J-ztfg-ztfr 2D True F99 59134.98245922801 0.17469411088173914 6.606038848192002 0.036061070795774426 -2.199938220942828 0.13325235353891324 0.0839057424395814 0.02798871916846255 43.527 41.448 0.0 0.0
J-ztfg-ztfr dehvils True F99 59133.81192994991 0.13388089617581686 6.458632676236206 0.024858992822866705 -2.5096574373145133 0.137257641489063 -0.1051505019297222 0.020400626158560285 232.079 44.005 0.0 0.0
J-ztfr 1D3 True F99 59140.03434124261 0.11323787164772427 8.02744472884405 0.09419249735880818 -0.8993961588173487 0.22712670693799233 0.9702107424152395 0.054585009441534715 95.304 87.646 0.0 0.0
J-ztfr 2D True F99 59134.441184277006 0.17224168740029977 1.925094124955557 0.8621120886329648 -2.3803902480143933 0.15580602060035292 -3.431699539163458 0.6998776547406658 83.051 45.021 0.0 0.0
J-ztfr dehvils True F99 59140.25508966582 0.10080061141228677 8.01824321708548 0.09164342331813634 -0.6211584037316873 0.23973356631817896 0.9454419149275206 0.052521760239941956 107.731 97.133 0.0 0.0
o  True F99 59133.745013628715 0.30234080499861943 -3.7799862317132793 2.1112497652210584 -3.0419448288829294 0.3166197772786289 -8.02237188418635 1.8943379553448847 5.189 4.312 0.0 0.0
o-ztfg  True F99 59134.28155751465 0.15352108251758184 6.663632864913986 0.03837967753010573 -2.4419353416761234 0.17710194402594948 0.2408888718989111 0.03028824116291819 6.475 5.63 0.0 0.0
o-ztfg-ztfr  True F19 59134.36805571226 0.1382777935898955 6.816960011856218 0.038238217898109134 -2.4277958881322164 0.150195270298949 0.2566648188711228 0.030132463895107316 9.352 3.699 0.0 0.0
o-ztfg-ztfr  True F99 59134.59302451322 0.10406267883172735 6.670557457868745 0.03588168921491088 -2.4724168397329134 0.10662811238116111 0.22327581187414536 0.027542070360343857 6.355 5.501 0.0 0.0
o-ztfr  True F99 59134.87941989875 0.12427868310356625 6.000395131840454 0.34360494958149745 -2.513338808564325 0.11823618487232367 -0.23469381262183836 0.2397289641123079 8.71 6.814 0.0 0.0
ztfg  True F99 59133.82666721349 0.396870557042137 6.465674446433489 0.20796161752617234 -1.9208604180420958 0.4468077529040826 -0.5467724212935834 1.0665753631393622 1.44 1.417 0.113 0.123
