bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  False F99 59138.690329684934 3.2316945401088084 51.93679520613326 38.457396964042196 -3.438559062482912 0.9483179595576937 34.41553411439819 28.26668419023119 None None None None
c-o  True F19 59139.12281836488 0.4466285695484325 7.460782303225874 0.09196750437243802 -1.0982073385807596 0.5189831184065435 0.013761699963978165 0.07640545976668243 0.632 0.606 0.915 0.933
c-o  True F99 59139.12704538285 0.4073516250911454 7.448986183074806 0.09626662568880331 -1.0163561178272835 0.47424208389541656 0.03393588222628932 0.07561043868004255 0.589 0.587 0.939 0.94
J 1D3 False F99 59139.21833934588 3.856604696050606 15.347121643032269 22.702379934012537 77.55646100845533 1850.4413041527055 2.1300499052467963 13.16456845523968 None None None None
J-c 1D3 True F99 59138.457047986005 0.4091978417123639 7.482120468229637 0.07399146912565625 -1.7891677258431375 1.4285676865808739 0.07081272996910035 0.04930199219355209 0.351 0.35 0.844 0.844
J-c-o 1D3 True F19 59138.88457405013 0.3458942268235228 7.503147313252297 0.07228857957871851 -1.2591299454487197 0.49306011228019353 0.05818239754534373 0.04987749645271737 0.641 0.578 0.927 0.963
J-c-o 1D3 True F99 59138.88653678824 0.3457816440362864 7.650722398948227 0.07256135448984032 -1.2643323243849123 0.4922216361535298 0.09703848271023313 0.050059788518940815 1.076 0.907 0.357 0.606
J-c-o 1D3 True O94 59138.886502673326 0.34564291415021486 7.650745069043366 0.07253935410992395 -1.264505715194015 0.4920930051278646 0.0970530782388519 0.050036908963164435 1.128 0.943 0.292 0.55
J-o 1D3 True F99 59138.83721896857 0.3080143717986898 7.634120589323285 0.13566486522774096 -1.211786978373564 0.5038332292010874 0.1218699638219175 0.07686544056300192 0.628 0.625 0.919 0.921
o  True F99 59139.355459387574 0.45682233479508033 10.16061857062757 2.2451955871126152 -1.2195637536516222 0.5808946067064844 1.048922985790599 1.4085632194723396 0.65 0.648 0.878 0.879
