bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.422334627612436 0.14817794479904825 1.2582383767455059 0.07578365370961178 59143.108957439996 0.9525523459918805 None None 0.027316666413454947 0.09269088171789779 0.639 0.638 0.764 0.766
c-o  True F19 6 37.50062688022493 0.13381991568937157 1.2581653205403638 0.07578141111154653 59143.111334474874 0.9523196212535138 None None 0.04437525495321957 0.10111432278308212 0.639 0.638 0.764 0.766
c-o-ztfg  True F19 6 37.356378097553865 0.11268792526975725 1.1889556853129326 0.051738718597398356 59141.86991755163 0.5369192648009092 None None 0.09728434654923085 0.07412502744776446 0.948 0.941 0.53 0.539
c-o-ztfg-ztfr  True O94 0 37.310390281004885 0.09547466766280281 1.1888397397721204 0.041164708615832324 59142.081508152056 0.4621560133314668 None None 0.09365293897462153 0.0652781173789155 0.699 0.689 0.927 0.935
c-o-ztfg-ztfr  True F19 6 37.30054082626876 0.09847231191454309 1.1069749541952665 0.055105692802171286 59142.29277202157 0.4436463209914018 None None 0.08874061214534965 0.06420173017719837 0.731 0.723 0.898 0.906
c-o-ztfr  True F19 6 37.38507372762835 0.10119427004094314 1.192353320378872 0.04623948442113093 59142.381550072314 0.5979952334644472 None None 0.061283327838127476 0.07719757072327449 0.638 0.628 0.926 0.932
c-ztfg-ztfr  True F19 6 37.230390766386535 0.1030236861356382 1.0425143362555813 0.04654898026943723 59142.60155271715 0.4479040991502188 None None 0.09160313201121258 0.06594684639597982 0.899 0.891 0.634 0.647
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 37.343219982561294 0.08997806215905649 1.0577779751350105 0.042785313800640795 59142.581851132905 0.42610731980967564 None None 0.028483264593531694 0.06326077373012358 1.264 1.17 0.106 0.198
J-c-o 1D3 True O94 0 37.49486048771487 0.11057366556129279 1.1159262524033027 0.05137060788642777 59143.30749680688 0.7191206305688113 None None -0.013423651784056058 0.07432906574079161 0.658 0.636 0.793 0.813
J-c-o 1D3 True F19 6 37.45438127894185 0.09046682867549151 1.1407369562415877 0.04842091758524208 59143.49067551075 0.6370705028945292 None None -0.0013996058839589737 0.06474414896803496 0.655 0.631 0.796 0.818
J-c-o-ztfg 1D3 True F19 6 37.349909571754566 0.0888385872386734 1.0466917852626656 0.04669357194597117 59142.08981558955 0.4415071637294922 None None 0.03151740014613803 0.06269583582170223 0.841 0.828 0.696 0.714
J-c-o-ztfg-ztfr 1D3 True O94 0 37.32582597960177 0.09173318932872025 1.0404346787518373 0.03849870441794114 59142.649373638706 0.4025930517186857 None None 0.06073488923635729 0.06286025014040776 0.955 0.861 0.557 0.729
J-c-o-ztfg-ztfr 1D3 True O94 1 37.34809809616403 0.09209662331518298 1.0427217132689333 0.03850525301761979 59142.64383397958 0.40199737603082847 None None 0.05019710754273505 0.06261346623366 0.935 0.842 0.594 0.762
J-c-o-ztfg-ztfr 1D3 True O94 2 37.35916705215427 0.09189353170035956 1.0480718472939892 0.0396332179367364 59142.67886872447 0.40813627671947666 None None 0.052934599647396656 0.06305728309003691 1.072 0.938 0.344 0.59
J-c-o-ztfg-ztfr 1D3 True O94 3 37.33110235110573 0.09125359042355291 1.041833171742886 0.03797313104100799 59142.64044870402 0.39830391687763467 None None 0.044327072532244056 0.06240521225286853 0.871 0.787 0.712 0.843
J-c-o-ztfg-ztfr 1D3 True O94 4 37.33499614145422 0.09171889565458265 1.042546312172526 0.038295728637675996 59142.647141657566 0.4002205974095664 None None 0.04310894566194088 0.06249696504172996 0.909 0.817 0.644 0.802
J-c-o-ztfg-ztfr 1D3 True O94 5 37.375839947607126 0.09123370192762387 1.055776813023591 0.03911750630193277 59142.62909701465 0.403949121779137 None None 0.038759617529055775 0.06265395357433778 0.95 0.84 0.565 0.765
J-c-o-ztfg-ztfr 1D3 True F19 6 37.328878418764965 0.08700332260707724 1.0550180221165517 0.03885878683025136 59142.69413023144 0.39961493987782365 None None 0.03870324999060077 0.062265940600054144 0.897 0.802 0.667 0.823
J-c-o-ztfg-ztfr 1D3 True F99 6 37.33619260254751 0.08816013694344636 1.0576880521802772 0.03980983033069264 59142.68257937597 0.4049494791769505 None None 0.04565976839531185 0.06287123098644992 0.85 0.767 0.748 0.868
J-c-o-ztfg-ztfr 1D3 True O94 6 37.32477388175503 0.0885843480378619 1.0550874440684037 0.04000459954766125 59142.698415736624 0.4073852056286767 None None 0.04250680370241666 0.06278915567380379 0.89 0.795 0.678 0.832
J-c-o-ztfg-ztfr 1D3 True O94 7 37.32947972709895 0.08626703572490116 1.061326649794393 0.037716967057874716 59142.57539021688 0.3926995949725017 None None 0.027470680833798694 0.061978249042547603 0.723 0.655 0.914 0.962
J-c-o-ztfg-ztfr 1D3 True O94 8 37.33486688360869 0.08527442882357977 1.0637344801187212 0.03755516285666536 59142.57404764438 0.3909594743025917 None None 0.03710036004371093 0.06237267554617044 0.7 0.633 0.934 0.973
J-c-o-ztfg-ztfr 1D3 True O94 9 37.32956093233533 0.08602699173889296 1.061323246945529 0.03761254514588798 59142.57318594196 0.39197177141463224 None None 0.029882917244776017 0.062026953146481476 0.711 0.646 0.925 0.967
J-c-o-ztfg-ztfr 1D3 True O94 10 37.382699126195334 0.09184445191269591 None None 59142.58079031485 0.3991195891355287 0.901703753769462 0.06587105429378348 0.0526185103469948 0.06302306175638486 0.689 0.659 0.942 0.96
J-c-o-ztfg-ztfr 1D3 True O94 11 37.39283301845617 0.09153846548827492 None None 59142.578300708876 0.40000007031054 0.8994260196780095 0.06597855703376154 0.048533102797940646 0.06294788858257326 0.69 0.66 0.941 0.96
J-c-o-ztfg-ztfr 1D3 True O94 12 37.391827733249706 0.08992965837250334 None None 59142.55305963911 0.40137880118805475 0.8922238939218475 0.06622913238000402 0.04830691132692083 0.06288010714117594 0.67 0.64 0.954 0.97
J-c-o-ztfg-ztfr 1D3 True O94 13 37.38642405306661 0.09186231532547072 None None 59142.56042238208 0.39590912986981575 0.9016949215643874 0.06544215752083234 0.03644995141322267 0.06216913957833914 0.636 0.61 0.971 0.981
J-c-o-ztfg-ztfr 1D3 True O94 14 37.383158232803076 0.09194652715052033 None None 59142.57583831575 0.39862558875005294 0.899041687297421 0.06587063341789355 0.039497948171720226 0.0625457066487395 0.671 0.64 0.954 0.969
J-c-o-ztfg-ztfr 1D3 True O94 15 37.39213847919596 0.08928744900063972 None None 59142.53494247692 0.3984726476212955 0.8928040468200666 0.06545901499942959 0.03417678695222425 0.06201872563852589 0.623 0.599 0.976 0.984
J-c-o-ztfr 1D3 True F19 6 37.395563598970256 0.08784833891860723 1.0852589941537738 0.03842833899502137 59142.79922755254 0.4131209162054148 None None -0.017902664081717274 0.06393329932912387 0.578 0.557 0.971 0.978
J-c-ztfg-ztfr 1D3 True F19 6 37.30630518020459 0.08986287289350894 1.0430497099915736 0.04059368178211652 59142.803194688386 0.4090034560730726 None None 0.046571808382998486 0.06281388543480579 0.986 0.9 0.492 0.641
J-o-ztfg-ztfr 1D3 True F19 6 37.35396302978632 0.0860703209749692 1.0801377325828019 0.03835900579931689 59142.34686392996 0.39966169442771776 None None 0.03243821844321911 0.061863921338317966 0.757 0.66 0.864 0.949
J-ztfg-ztfr 1D3 True O94 0 37.28919409302511 0.09854967434986282 1.0355599759450231 0.04161966153367621 59142.51490481133 0.42378446499657124 None None 0.07736355482175913 0.06379933766826858 1.093 0.956 0.33 0.536
J-ztfg-ztfr 1D3 True F19 6 37.33500128838935 0.08749384429008589 1.0682874344828033 0.039597026510572154 59142.346230909934 0.407237539102772 None None 0.034301945110876156 0.062160937661569035 0.815 0.694 0.756 0.897
