bps_used variant success reddening_law Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None 1.102890283369282 0.056378751347662376 16.43231407905541 0.034391935002467684 16.340018656680357 0.03339406545980101 59147.87496993812 0.5163269656271039 1.049 0.989 0.398 0.45
c-o  True F99 None None 1.1031135280708837 0.0562828498843948 16.45831790234154 0.034302088532444215 16.35352450314689 0.033258125075204995 59147.86393639907 0.5157420834304055 1.041 0.981 0.0 0.0
c-o  True O94 None None 1.103154036472564 0.056504662500121546 16.433251502535352 0.03440623408099984 16.341902810460965 0.03337931680587513 59147.87084235276 0.5169527482970026 1.051 0.991 0.397 0.448
J-c-o 1D3 True F19 16.768151524643773 0.04929569878573689 1.080969223035873 0.037632520045667625 16.423724532188547 0.02898695608813248 16.317816899246782 0.026137656771296376 59148.17624764205 0.3981583393232712 1.184 1.051 0.284 0.398
J-c-o 1D3 True O94 16.769470795859128 0.05301858674552775 1.0810491138250131 0.04260348675160907 16.424681832651302 0.03338806091908695 16.31961300852102 0.03051429836057761 59148.17370247726 0.4378207302227609 1.185 1.052 0.283 0.397
J-c-o 2D True F19 16.80471413355237 0.049845409640952694 1.07728144922908 0.0374727640076862 16.420744060730378 0.028626459454095206 16.31505064256944 0.02606597312983835 59148.14202278037 0.3969188404129536 1.077 0.977 0.374 0.471
J-c-o 2D True F99 16.81933908230543 0.05386987828105228 1.077180040246385 0.0422944954934974 16.446589965941484 0.03278833014173324 16.3283202456832 0.030363932353582368 59148.13499289418 0.43544858609082787 1.073 0.973 0.377 0.475
J-c-o 2D True O94 16.806042954924692 0.05392585833086428 1.077373330265939 0.04236096479498943 16.421708433289943 0.03283795154672253 16.3168599530262 0.030410106594330154 59148.139342396 0.43587919486353516 1.079 0.979 0.372 0.469
J-c-o dehvils True F19 16.86796953754931 0.04896240902976326 1.0721919912829339 0.0366792043049442 16.417485354303846 0.02851364816297079 16.309947246159343 0.025681763568495157 59148.20341352039 0.38831571988132046 1.08 0.976 0.371 0.472
J-c-o dehvils True O94 16.869313573815013 0.052476497377935104 1.0722668154782666 0.041113216708629496 16.41845840544802 0.03266799539686694 16.31174478796928 0.029831845966203842 59148.20106786716 0.4219362540746928 1.082 0.978 0.369 0.47
