bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 30.705959170209894 3.130546554871757 1.0711069670578235 0.1058428355575446 59159.743745426465 0.5569184957767139 None None 2.228421383952085 2.791078290318002 19.885 7.864 0.0 0.005
c-o  True F19 6 31.19252524446887 2.5902650628488613 1.070456624382763 0.10732953186209017 59159.754751056855 0.5605991805912022 None None 2.197820341486359 2.8682110127409173 20.624 8.153 0.0 0.004
c-o-ztfg  True F19 6 32.729329787282445 0.11502028646487464 1.1893431099962748 0.061124527092063445 59159.1541148335 0.49319327708218685 None None 0.33595367608578713 0.10157442276376565 10.052 4.944 0.0 0.002
c-o-ztfg-ztfr  True O94 0 32.626019750358395 0.15276561125520477 1.18907741120952 0.09437753179104326 59159.21203748481 0.6923855489200313 None None 0.32933767970246364 0.11386088491096037 5.085 2.48 0.0 0.011
c-o-ztfg-ztfr  True F19 6 32.723248051646806 0.11336337546519844 1.1891031072982539 0.057222812400896717 59159.204066936094 0.4763936614389799 None None 0.3327912878120246 0.09748771932113054 5.727 2.86 0.0 0.006
c-o-ztfr  True F19 6 32.879078174690804 0.40845393132351787 1.0757807278158211 0.08667395161752427 59159.58832862723 0.5088145332844748 None None 0.18717226150373026 0.43830618849937175 16.495 9.343 0.0 0.0
c-ztfg-ztfr  False F19 6 None None None None None None None None None None None None None None
J-c-o 1D3 True O94 0 32.567602393031535 0.12683266284603162 1.073136581438477 0.10589635207070432 59159.77426421503 0.5619354755784804 None None 0.3743849117831966 0.09293313034762073 21.492 6.186 0.0 0.0
J-c-o 1D3 True F19 6 32.59863770575393 0.11834258691030232 1.0862086231761634 0.07046284489876088 59159.69764507449 0.450433176043513 None None 0.4177760858758344 0.12024669610818847 155.569 4.454 0.0 0.001
J-c-o 2D True O94 0 32.627029310782845 0.12326125349303764 1.079436836694606 0.10677519159631481 59159.743775997566 0.575894079277655 None None 0.3176921458426945 0.0956181944161262 13.072 6.066 0.0 0.0
