bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59159.67811772347 0.7755051659420881 6.087267269970261 0.22233593072751315 2.049816169388815 1.562704077249979 -0.8005404552531232 0.574703793537024 0.88 0.869 0.475 0.481
c-o  True F19 59158.41819770427 0.31099413676460985 6.437542409644129 0.10501840434963315 0.19204277259484373 0.31677392918697544 0.03246540312641762 0.07198556041845344 1.553 1.263 0.078 0.216
c-o  True F99 59158.36528989616 0.23974457509942665 6.444559440679255 0.08988116545398989 0.24123048325672192 0.27469168292068424 0.03060825293936454 0.06197041681091488 1.535 1.505 0.084 0.094
J 1D3 True F99 59159.76488210914 2.3821328139174027 6.906342318833139 67.1717123254014 7.596988308707322 35.021578948918275 0.025431389089647465 23.516008110351446 -1 -1 -1 -1
J-c 1D3 True F99 59158.957727985864 0.393483885661311 6.407123829251093 0.1075495060119129 0.7244129003500953 0.6263063037728293 -0.1072771174974369 0.04598469284642795 0.713 0.706 0.661 0.667
J-c-o 1D3 True F19 59158.25732429421 0.29072323213193696 6.279050671745145 0.07290498104518581 -0.016331756952277725 0.2995840951032663 -0.0917563936141434 0.04252493008253586 2.444 1.364 0.001 0.138
J-c-o 1D3 True F99 59158.264968304444 0.2910944105435372 6.445669336220079 0.07299583578115423 -0.007810123860317079 0.29964600329317503 -0.048233537788682855 0.04260383325177527 4.812 2.459 0.0 0.001
J-c-o 1D3 True O94 59158.264430198615 0.2908380316713104 6.4455833840426555 0.0729380459117519 -0.007913952977138889 0.2994265765687037 -0.04826594510303451 0.0425668618623391 5.134 2.608 0.0 0.0
J-o 1D3 True F99 59158.16875960497 0.33469947484128326 6.086655161941821 0.10071752079892125 0.3497418811680575 0.32521719245432545 -0.20888312972628356 0.05819207212373837 1.768 1.741 0.061 0.066
o  True F99 59158.16319367526 0.3382956531837295 6.662248326753236 1.5249977368817258 0.1017495303483297 0.47102616281815024 0.17256900780108053 0.9899053142313415 2.256 2.212 0.021 0.024
