bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.37558777267326 0.19546940871091348 0.9928412815810064 0.0719471069854208 59154.68201210542 0.6813150743365189 None None 0.34169327416949385 0.1474075060553309 0.764 0.76 0.793 0.797
c-o  True F19 6 37.443901055275894 0.17441633718573113 0.9928126515690501 0.0719406773277262 59154.68237923144 0.6812657986827212 None None 0.3002242753233618 0.15006175532370425 0.764 0.761 0.793 0.796
c-o-ztfg  True O94 0 37.36074090035041 0.14507888587323922 0.9210882261564416 0.0510606457789819 59154.28035698314 0.5342084775538094 None None 0.2793942950835946 0.0771513822731052 0.663 0.661 0.939 0.941
c-o-ztfg  True F19 6 37.41247320240249 0.12778050598300486 0.9220806898007788 0.04664059364251545 59154.25148933731 0.4959675010347942 None None 0.2351282606571033 0.0731930842797993 0.664 0.661 0.939 0.941
J-c-o 1D3 True O94 0 37.244867804551504 0.198165476102404 1.189086437336529 0.12910969939693195 59153.893715869104 0.8680100097349998 None None 0.5251514054962023 0.13734866579799632 0.826 0.815 0.727 0.742
J-c-o 1D3 True F19 6 37.22348800736847 0.13390587189441971 1.111126583906486 0.06111858374086593 59153.565786109364 0.6277269033167198 None None 0.6007820633955077 0.08493270079147097 0.966 0.953 0.516 0.536
J-c-o-ztfg 1D3 True O94 0 37.05792481099368 0.1381625828360729 0.8831916860265515 0.054811427671479514 59153.94408417371 0.5276658894893703 None None 0.39372129893783514 0.0705570465683676 0.868 0.854 0.704 0.726
J-c-o-ztfg 1D3 True O94 1 37.03787301287134 0.13422026487005503 0.8877697432801286 0.05389367922210842 59153.93383125126 0.5223422150475093 None None 0.3722614083940778 0.06873960699192183 0.821 0.809 0.779 0.796
J-c-o-ztfg 1D3 True O94 2 37.09538805927032 0.13836319570838918 0.8958140928341373 0.05380792128116749 59153.90198285154 0.5252379161509281 None None 0.38788416460529124 0.0689907353807863 0.822 0.81 0.776 0.794
J-c-o-ztfg 1D3 True O94 3 37.01658914942155 0.13390087807759143 0.8859696210468969 0.05407024326415064 59153.92698300089 0.5243682284957744 None None 0.3705872998305123 0.06904660479709475 0.833 0.821 0.76 0.778
J-c-o-ztfg 1D3 True O94 4 37.02231109592295 0.1332859808936804 0.8874831744923988 0.05381248002853932 59153.92726428701 0.522469671820824 None None 0.3674849799949076 0.06875628699780133 0.819 0.807 0.782 0.799
J-c-o-ztfg 1D3 True O94 5 37.06231617642784 0.13452013342062244 0.897591618649474 0.05333532761063623 59153.89406075109 0.5222319230802198 None None 0.36440780452147903 0.06785897616331155 0.794 0.783 0.817 0.832
J-c-o-ztfg 1D3 True F19 6 37.147085879920745 0.1276696713029391 0.881744338974274 0.0498065273427945 59153.94236044769 0.48963338504315806 None None 0.35025303850550243 0.06600261072998975 0.862 0.849 0.714 0.735
J-c-o-ztfg 1D3 True O94 6 37.118360020459086 0.13383624772552516 0.8787018091542619 0.055229575350930725 59153.94353644383 0.5319273806170126 None None 0.3628884207347727 0.06896115802587421 0.927 0.911 0.601 0.629
J-c-o-ztfg 1D3 True O94 7 37.07887972116966 0.1302192195692792 0.8645717959459699 0.055540217941843203 59154.01324233062 0.5236061018416165 None None 0.35245086905899775 0.06936832934380706 0.931 0.915 0.593 0.622
J-c-o-ztfg 1D3 True O94 8 37.184180769724925 0.13910594913195473 0.8542111030741177 0.059004771347465436 59153.9981625952 0.5444215633246446 None None 0.3966866286197645 0.07359375708473641 1.131 1.104 0.264 0.301
J-c-o-ztfg 1D3 True O94 9 37.09301654616261 0.13127959147561094 0.859800444506563 0.05600499094457052 59154.025319798304 0.5243964510836261 None None 0.3588297152717828 0.0701764919637338 0.957 0.939 0.547 0.578
J-c-o-ztfg 1D3 True O94 10 37.02354080653069 0.1331426657316055 None None 59154.00167614999 0.49335684752499614 1.2873345342189917 0.07402440881462163 0.4034783197721416 0.06999585862470373 0.725 0.706 0.901 0.919
J-c-o-ztfg 1D3 True O94 11 37.02944401836677 0.13181099112195319 None None 59154.00037574431 0.492417040118361 1.2868835823268936 0.07423757215437547 0.3942535489060101 0.06968602602637194 0.716 0.698 0.909 0.925
J-c-o-ztfg 1D3 True O94 12 37.05663116788403 0.13108000614830675 None None 59154.00104362363 0.4907682279674145 1.2917786049550766 0.07317387579850951 0.38578381530745026 0.06911402926419018 0.71 0.69 0.915 0.931
J-c-o-ztfg 1D3 True O94 13 36.98232750064034 0.12669722553262003 None None 59153.99855745219 0.491053269850155 1.2862140281067218 0.07432875476333885 0.3615010979501612 0.06848428836265139 0.706 0.687 0.918 0.934
J-c-o-ztfg 1D3 True O94 14 36.9651248029438 0.11496866730269448 None None 59154.36098161279 0.4795993893806231 1.5082759394284122 0.0800975692274389 0.2262948128505233 0.08710411373321135 0.936 0.904 0.585 0.642
J-c-o-ztfg 1D3 True O94 15 37.01384131302389 0.12671407909327734 None None 59153.994031420385 0.48761336626498325 1.2847783662680827 0.07524978212553585 0.3543258912225594 0.0679148809322231 0.673 0.655 0.944 0.954
