bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.25610352411604 0.149891091962275 1.1099784960100363 0.08497266292781379 59163.64483169488 0.8305771506418185 None None -0.1590058500358515 0.08727379653203515 1.581 1.439 0.089 0.14
c-o  True F19 6 36.231170017301125 0.1684597283026103 1.1100877041564037 0.09427636289119433 59163.63652039018 0.9172065923183228 None None -0.18972243729213742 0.08574381685288635 1.591 1.447 0.086 0.136
c-o  True F99 6 36.19095982494437 0.1567936177473853 1.1101142064743212 0.09408600622231521 59163.63597295247 0.9157889778355582 None None -0.17221678616893007 0.08107092146102632 1.586 1.443 0.0 0.0
c-o-ztfg  True F19 6 36.19750058278474 0.10151140311269208 1.0882421933636748 0.04635826509478299 59164.619790323326 0.3863635964751721 None None -0.18294635323052538 0.06444474387066813 1.763 1.601 0.005 0.017
c-o-ztfg-ztfr  True O94 0 36.10206313983927 0.09375614165751871 1.0791179292011321 0.042192764151108855 59164.757950857645 0.39045371023104336 None None -0.08902756103501716 0.06382357821466199 1.701 1.535 0.001 0.007
c-o-ztfg-ztfr  True F19 6 36.10423405090978 0.08992251410438358 1.0847533880523414 0.038551448479511745 59164.73606676233 0.37137304640676533 None None -0.13626289707014047 0.062128012577602615 1.469 1.323 0.013 0.054
c-o-ztfr  True F19 6 36.06126664170023 0.10191979079428763 1.086797465027764 0.046164285281012345 59164.6634674305 0.4541146134276221 None None -0.09125484234852965 0.0676715877608042 1.563 1.41 0.018 0.055
c-ztfg-ztfr  True F19 6 36.071788278071985 0.08725594504699799 1.086262771378582 0.03610152403120609 59165.04180236036 0.3634714589995625 None None -0.11333464073055055 0.061840091238630504 0.975 0.863 0.518 0.727
J-asg-c-o-ztfg-ztfr 2D True F19 6 36.08724916068566 0.08733159815234932 1.088065690623923 0.038981502263954665 59164.925827894054 0.37850956882764125 None None -0.11703443120118122 0.0625009372272272 1.943 1.804 0.0 0.0
J-c-o 1D3 True O94 0 36.13204706438077 0.09731329220852732 1.0795236371120467 0.05031403730757099 59164.53188299331 0.4612625620318657 None None -0.08845201448060448 0.06708050362267991 1.457 1.332 0.112 0.173
J-c-o 1D3 True F19 6 36.085440996616704 0.09505875012687257 1.065106274874214 0.0449513902069769 59164.667473653724 0.4507537400133946 None None -0.11559548659516702 0.06909536537518501 1.605 1.477 0.064 0.104
J-c-o 2D True O94 0 36.13699359681647 0.0991116039054004 1.081200113156791 0.05114550038077925 59164.49556505156 0.4709006341602473 None None -0.09074206048101159 0.06768355228543249 1.45 1.326 0.115 0.176
J-c-o 2D True F19 6 36.09116766361437 0.09665256290217755 1.0670958756599305 0.0455320555693726 59164.628516441895 0.45828524666933645 None None -0.11792669975987806 0.06949825035951841 1.586 1.46 0.069 0.11
J-c-o dehvils True O94 0 36.19991643760577 0.09381685162671038 1.089392935027898 0.051666491003926264 59164.162502292624 0.45309663930798005 None None -0.12639433122300556 0.06617194554578393 1.586 1.439 0.069 0.119
