bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.418588718010916 0.20685242044037888 0.6253106169716661 0.0989966096833364 59184.356701571305 1.0137864774369656 None None 0.2851775048403198 0.1703976670214843 0.992 0.983 0.453 0.463
c-o  True F19 6 36.57088645270811 0.17900980929983729 0.6252374715104205 0.09899644105084447 59184.35687144148 1.0137392317020955 None None 0.32714701610675584 0.14884298159108839 0.992 0.983 0.453 0.462
c-o-ztfg  True F19 6 36.57362970588924 0.09908930516369055 0.8493651620142848 0.04072163032097732 59169.78055694737 0.48263221070852935 None None -0.015554646820030866 0.06912640604290284 1.346 1.325 0.112 0.124
c-o-ztfg-ztfr  True O94 0 36.4207600811818 0.09862998129321283 0.8542172192633557 0.038251687559336084 59169.963827031104 0.4577638373910746 None None 0.09092692182373517 0.06855210415638362 1.391 1.364 0.047 0.058
c-o-ztfg-ztfr  True F19 6 36.4578507545113 0.09200162140786124 0.8566969195300445 0.0367352574106529 59169.94161148665 0.43960132307822974 None None 0.0456164631459175 0.06625332011411036 1.341 1.315 0.069 0.083
c-o-ztfr  True F19 6 36.48616213411849 0.11497496515062233 0.8822279372456512 0.035888735622993606 59170.04368034146 0.43579547487091763 None None 0.03420988822807693 0.09978240469415861 0.665 0.654 0.922 0.93
c-ztfg-ztfr  True F19 6 36.3116554430385 0.0898321548997864 0.7998664751621386 0.0338419910335309 59170.42736441921 0.3853493172734464 None None 0.057031723535977775 0.06360779134615528 0.614 0.597 0.941 0.951
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.49877467608898 0.08861804230883691 0.879395708849579 0.038225841406658495 59169.66871067323 0.4535743214201364 None None 0.0381784512212355 0.0653455032165518 1.824 1.775 0.0 0.0
J-c-o 1D3 True O94 0 36.525845769320526 0.09962540877984748 0.8707770654733133 0.04899520729836822 59169.61990781748 0.536531816875359 None None 0.018587863669097628 0.08776029793165771 0.776 0.741 0.746 0.786
J-c-o 1D3 True F19 6 36.53820735315033 0.0937367197887942 0.8704109314886851 0.045988166855741246 59169.605563243385 0.5117099728516978 None None -0.027443583817247905 0.07988646011374868 0.776 0.741 0.746 0.786
J-c-o 2D True F19 6 36.47113448506753 0.1053786143053871 0.9132085412683812 0.04865498895410382 59169.57968895319 0.566373666062262 None None 0.0837328445121059 0.09279361029032268 0.752 0.742 0.774 0.785
J-c-o-ztfg 1D3 True F19 6 36.563142640342356 0.08943479889804512 0.8354540077587539 0.038507641929770686 59169.827534486714 0.44188175491298265 None None -0.03276720908405913 0.06472681384781728 1.117 1.082 0.301 0.346
J-c-o-ztfg 2D True F19 6 36.50488559096218 0.09283616701339413 0.8327344326879693 0.03844106027987686 59169.996321493105 0.4408369042430142 None None -0.0008001306795374539 0.0662901309938557 1.052 1.033 0.388 0.416
J-c-o-ztfg-ztfr 1D3 True O94 0 36.51222943271145 0.08780650345101408 0.8457834039937467 0.03613695432841381 59169.93197316421 0.4183284316777293 None None 0.02205229850372189 0.06550230306369188 1.272 1.223 0.102 0.143
J-c-o-ztfg-ztfr 1D3 True O94 1 36.530804822658155 0.0886316620661419 0.8444429900886775 0.036105692173110236 59169.930722950194 0.4173464495473217 None None 0.015123965671582562 0.06508083988701067 1.254 1.206 0.116 0.159
J-c-o-ztfg-ztfr 1D3 True O94 2 36.518485217922176 0.08821001055653808 0.8411614333910535 0.03644260917754954 59169.92927645354 0.42071330781831817 None None 0.01590955129384138 0.0657257289530485 1.309 1.256 0.078 0.114
J-c-o-ztfg-ztfr 1D3 True O94 3 36.50913379466833 0.08803404619255421 0.8453229933116962 0.03584211177328953 59169.922459655485 0.41483877342428505 None None 0.009264916492694175 0.06482403820964658 1.203 1.158 0.163 0.215
J-c-o-ztfg-ztfr 1D3 True O94 4 36.51079564355047 0.08823866905714849 0.8452391676542272 0.03598425888945831 59169.914635944006 0.4164551442682641 None None 0.009265207137550534 0.0649242713078118 1.23 1.183 0.136 0.185
