bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 37.018936231615996 0.2153908667015391 0.7972658662348029 0.05653493284500885 59167.33998176899 0.5439510531466303 None None 0.22816181694760088 0.10243753016053608 0.362 0.36 0.997 0.997
c-o  True F19 6 37.08582597958216 0.19311194144617522 0.7973090780456438 0.05653522671254057 59167.340268393345 0.5439391712538323 None None 0.20568650131811603 0.10588959660925912 0.362 0.36 0.997 0.997
c-o-ztfg  True F19 6 37.1942464646974 0.12925419441152844 0.8098617588327592 0.04190412906286638 59166.96514297563 0.4222973579813526 None None 0.1437669736238352 0.07268581297554748 0.299 0.298 1.0 1.0
c-o-ztfg-ztfr  True O94 0 37.14286742263659 0.1052673291774286 0.8192124257310546 0.036764849032098215 59167.094964404474 0.3959347972324146 None None 0.17822802113857922 0.0650628878659205 0.32 0.318 1.0 1.0
c-o-ztfg-ztfr  True F19 6 37.193868765830814 0.09966846430301377 0.8182130306896094 0.035970233059937844 59167.10096577811 0.3879749867064251 None None 0.1491097114826481 0.06430667772860191 0.324 0.322 1.0 1.0
c-o-ztfr  True F19 6 37.08959445958283 0.11666337078912069 0.8152966056709754 0.038203533629158785 59167.30335531701 0.40983678910061755 None None 0.2201343812656972 0.07695429967587111 0.364 0.362 1.0 1.0
c-ztfg-ztfr  True F19 6 37.22392950218315 0.09636972248834 0.8245450656454103 0.03516799642704945 59167.082248702594 0.38475960358786715 None None 0.13903891566577511 0.06347176239940079 0.275 0.273 1.0 1.0
J-c-o 1D3 True O94 0 37.46259842831516 0.11278465822291947 0.8433096482720719 0.05643169343836744 59166.92939848045 0.5457788768569215 None None 0.055845378681924004 0.07804250534748583 0.596 0.592 0.944 0.946
J-c-o 1D3 True F19 6 37.47787618701827 0.10370407651749172 0.8352062009862563 0.0545539055236575 59166.94234369976 0.5341246366771594 None None 0.020225273246060004 0.07211606582319642 0.602 0.598 0.94 0.943
J-c-o-ztfg 1D3 True F19 6 37.466290270193745 0.0956371513549714 0.8297800626242028 0.04291628672069513 59166.82795744777 0.42814124704659445 None None 0.022324790588696703 0.06505943304837065 0.445 0.441 0.998 0.998
J-c-o-ztfg-ztfr 1D3 True O94 0 37.34481131724309 0.0953545573345217 0.8445753241002281 0.03860260891132823 59166.839776193585 0.41283330230420423 None None 0.1027225625333768 0.06504945410791681 0.606 0.595 0.985 0.988
J-c-o-ztfg-ztfr 1D3 True O94 1 37.35322983446027 0.09585915775129004 0.844399119735371 0.03863573075305203 59166.94161279107 0.34000034055176337 None None 0.09278604055153232 0.06468246519664594 0.606 0.595 0.985 0.988
J-c-o-ztfg-ztfr 1D3 True O94 2 37.34863039325298 0.0959951226448951 0.8369774367191866 0.03914014650444543 59166.83858437416 0.4134549928544908 None None 0.09535384105698765 0.06522433011382858 0.627 0.615 0.979 0.983
J-c-o-ztfg-ztfr 1D3 True O94 3 37.33762528731069 0.094348867566741 0.8422281578379517 0.03814636012579943 59166.85997337335 0.40840014398035723 None None 0.08321128840506661 0.06444957197278833 0.565 0.556 0.993 0.994
J-c-o-ztfg-ztfr 1D3 True O94 4 37.33969914981357 0.09486126645872565 0.8430704626803334 0.038483307066715204 59166.84537841958 0.4112031738811218 None None 0.08367828601083163 0.06459569910735272 0.591 0.581 0.989 0.99
J-c-o-ztfg-ztfr 1D3 True O94 5 37.34834491548639 0.09573968546413299 0.8354276885179167 0.038833259339593806 59166.85322143067 0.41066967708395946 None None 0.07857489018500696 0.06476182419025296 0.6 0.589 0.987 0.989
J-c-o-ztfg-ztfr 1D3 True F19 6 37.36612017943859 0.0922206987870879 0.8400356259512995 0.0382859879460504 59166.940287828365 0.3400003222805297 None None 0.06645619771176194 0.06409024274521406 0.57 0.56 0.992 0.994
