bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59175.93376472089 0.573315149685507 7.013777346412519 0.48019626995197656 -1.2755461352670776 0.5399776240585092 -0.3869267056227616 0.7265492053058492 0.942 0.884 0.452 0.491
c-o  True F19 59175.654838843955 0.25737440096767056 6.152206638139948 0.08513457610438184 -1.5270595036511727 0.24194755000868665 -0.03914614874531819 0.0712882736528258 1.261 0.531 0.208 0.939
c-o  True F99 59175.61361898687 0.17826820820032552 6.140595315598501 0.06409057360022043 -1.637114378484337 0.1664852546073654 -0.042186776479458295 0.053592478515466224 1.225 1.117 0.234 0.33
J 1D3 False F99 59167.40226606339 10.117106551531931 6.2426418770325816 78.69170624466669 -0.1733109039863729 -1.0 0.0001819915888816546 27.620191886098212 None None None None
J-c 1D3 True F99 59175.603660854904 0.25704450281333785 6.227575958544271 0.07544336547718687 -1.5552062428831332 0.3823187219870906 0.05571115128043253 0.050411462839343946 0.991 0.532 0.422 0.752
J-c-o 1D3 True F19 59175.480026552366 0.20517265406387056 6.217281735031529 0.06272007308185475 -1.5637558108322414 0.23349626553761268 0.025539528408994802 0.04282060773324896 1.503 0.561 0.078 0.929
J-c-o 1D3 True F99 59175.47636798335 0.2052212286716792 6.21901222368818 0.06273000311123957 -1.5643786607689987 0.2333581450544418 0.02473432064918229 0.04284113986825028 1.518 0.564 0.073 0.927
J-c-o 1D3 True O94 59175.47983822848 0.2051756211109027 6.217618287348969 0.06272771424106192 -1.5639450927055032 0.23350493500785047 0.02564562725371235 0.04282614177322508 1.5 0.561 0.079 0.929
J-o 1D3 True F99 59175.5286359883 0.5685911224180038 6.344933431281157 0.2363577964532916 -1.6162977468784883 0.34078979635267886 0.09206215482882518 0.12494725611406302 1.581 0.609 0.105 0.808
o  True F99 59182.37814699525 1.2319491200915622 -4.202495174684088 5.087828515314232 -0.42146697083655055 0.7419282735611736 -9.619956908581017 4.56328194272915 4.309 4.096 0.0 0.0
