bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 38.119629268486115 0.24055223450436092 0.9023016174565057 0.07615836801589315 59172.5189544515 0.7663626943080738 None None -0.16849634113912615 0.22028550384020432 0.468 0.467 0.981 0.981
c-o  True F19 6 37.92793314463402 0.1988965661792776 0.8787261140149516 0.08833433762275034 59174.204966165984 1.6828970660988538 None None -0.10392778381354588 0.20237441011422433 0.48 0.479 0.975 0.975
c-o-ztfg  True F19 6 38.060638759125304 0.13405195305460058 1.0117870622594185 0.05733695804233567 59172.319249683205 0.5008472003517088 None None -0.06621274815888437 0.07252970618124335 0.393 0.392 0.999 0.999
c-o-ztfg-ztfr  True O94 0 37.88444362165084 0.09803965700846133 0.9748395510257879 0.04488178256857992 59172.42630821593 0.44079566914357265 None None 0.04213531819512532 0.066305472741866 0.402 0.4 1.0 1.0
c-o-ztfg-ztfr  True F19 6 37.89618568592404 0.09470062036747573 0.9741830870433243 0.043715317434525634 59172.44472416085 0.4321905688356564 None None -0.017094014193309477 0.06598899570760049 0.411 0.41 1.0 1.0
c-o-ztfr  True F19 6 38.06616370560161 0.16055204963464123 0.9157312905486089 0.054199326571656076 59172.461009042425 0.4786984065220303 None None -0.1966715695791702 0.1527900700060151 0.445 0.444 0.997 0.997
c-ztfg-ztfr  True F19 6 37.88205037698006 0.093559578630321 1.0100474693236372 0.04822349474957892 59172.387147729365 0.4351933890488453 None None 0.011370818815684502 0.06524664885322191 0.337 0.335 0.999 0.999
J-c-o 1D3 False O94 0 37.955970181569306 0.11602081719706318 0.9130281880819512 0.05893930175076507 59172.69340919451 0.6540861605252652 None None -0.05915205921217923 0.10932551336727757 None None None None
J-c-o 1D3 True F19 6 37.98750729664012 0.11223136913022583 0.909688948642666 0.059962732759113124 59172.66967152642 0.6542044865793875 None None -0.14729098908814903 0.10985842168052537 0.435 0.434 0.99 0.99
J-c-o-ztfg 1D3 True F19 6 38.024784297148464 0.10240534205193381 1.0042610043641178 0.05200496400424041 59172.294759752716 0.4948225200048336 None None -0.053342307248925004 0.06696629730213322 0.385 0.384 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True O94 0 37.91480047988954 0.09270555718911812 0.9774012808007709 0.044002714003826104 59172.41389915707 0.43374156526547597 None None 0.02837113724933643 0.0644688068707017 0.414 0.412 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 1 37.927991079184444 0.09412086129922023 0.9768401476686844 0.04415925500684198 59172.42239146548 0.43519781719337436 None None 0.02261832958157809 0.06430487625783116 0.425 0.423 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 2 37.93193540586466 0.09318519067440645 0.9797172135325591 0.044548065297452796 59172.40552625902 0.43661972710380165 None None 0.0275546916079623 0.06450682686498796 0.427 0.425 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 3 37.92640190973933 0.09351515755959372 0.977145555623971 0.043815107719046426 59172.415003336944 0.4322542894704845 None None 0.007583170544595687 0.06430982784220755 0.406 0.404 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 4 37.9140086467573 0.09409388122148332 0.9771999866181493 0.04418630702435859 59172.422090277236 0.43533962970342077 None None 0.012620863416428171 0.06436903421736849 0.425 0.423 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 5 37.94789574400576 0.09413221980520793 0.9795148607972683 0.044390210427415866 59172.40726930538 0.4354225830629275 None None 0.012062221693793472 0.06427807517805545 0.42 0.419 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True F19 6 37.92971715613884 0.09101031081987465 0.9834181944569443 0.04451020994724884 59172.402792268666 0.43682242615579603 None None -0.029343991646885784 0.06495717094364166 0.421 0.42 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True F99 6 37.92723656472205 0.09212514573168365 0.9881583975479433 0.04623007343363557 59172.376915722925 0.4488194377206311 None None -0.02358144678355089 0.06515464786104605 0.424 0.422 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 6 37.92921456993536 0.09251453945608568 0.9847076761398181 0.04603932373069197 59172.395250120135 0.44743231205477635 None None -0.027907208835728167 0.06560531351731771 0.423 0.421 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 7 37.906040173973764 0.09138772786950222 0.9829891329364067 0.0444019871305284 59172.4004980964 0.4373400572006213 None None -0.02787670313737445 0.0650753642045323 0.424 0.422 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 8 37.89145567468887 0.08970576038460792 0.9844072133763383 0.04444824314385969 59172.39218504732 0.4376931974847239 None None -0.026369866919077882 0.06550236994948733 0.423 0.421 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 9 37.90471783253699 0.09099547935778646 0.982993792682167 0.04439081332235847 59172.399831658964 0.4369359993579128 None None -0.0276808487901356 0.06515326969534835 0.422 0.42 1.0 1.0
J-c-o-ztfg-ztfr 1D3 True O94 10 37.87858808663124 0.09491521414945542 None None 59172.797430182356 0.41362036341803765 1.1222864240093116 0.07625187008318855 0.05444443581179984 0.06699391836726189 0.49 0.476 0.998 0.999
J-c-o-ztfg-ztfr 1D3 True O94 11 37.8860567193352 0.09555557668403847 None None 59172.80561085383 0.41289655853016594 1.1251044890244555 0.07461401706146634 0.05203847309855595 0.06674779511239998 0.506 0.492 0.997 0.998
