bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.53188755855834 0.17798611741426149 1.0300481498813705 0.09274900538985875 59175.36966605714 0.5655407636743852 None None 0.09882608879313468 0.08470109420753416 0.797 0.782 0.664 0.68
c-o  True F19 6 36.55850789856321 0.18145675845438283 1.0359686609755543 0.0972367208195521 59175.31434745235 0.5780861386732287 None None 0.05710833564268155 0.08556330571730157 0.793 0.778 0.668 0.685
c-o-ztfg  True F19 6 36.178469826520846 0.11539282646471605 0.9419790996478317 0.04324134268500828 59174.14414773968 0.43927114801554923 None None 0.20057611784245957 0.07167289857794236 1.115 1.088 0.305 0.34
c-o-ztfg-ztfr  True O94 0 36.127005391887735 0.10897746283579973 0.9591922283566708 0.0394750150569435 59174.5063447926 0.3985768001023834 None None 0.2662904976710198 0.06650427060397386 1.075 1.042 0.337 0.394
c-o-ztfg-ztfr  True F19 6 36.19883506462487 0.10106730229261231 0.9663587129021493 0.03898301787676877 59174.46375331085 0.3943712603200503 None None 0.21241001448057772 0.0658486511303749 1.098 1.065 0.3 0.354
c-o-ztfr  True F19 6 36.29981718384894 0.10045167363405681 0.9845443820934882 0.041799323663580204 59175.027610778474 0.39848972063847127 None None 0.15099298052679855 0.07174930578388383 0.879 0.857 0.656 0.69
c-ztfg-ztfr  True F19 6 36.12991014395685 0.10742652708743541 0.9466479022241336 0.04188959941000701 59174.773472146975 0.4140365168357748 None None 0.2352406904875513 0.0681921123957483 1.185 1.15 0.207 0.246
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.22265132142919 0.10004548178065746 0.9658112573965144 0.04002380175343668 59174.41200312564 0.4025276487920752 None None 0.192044541505356 0.06628928600492788 1.279 1.249 0.088 0.111
J-c-o 1D3 True O94 0 36.5098639674185 0.18579340953390844 1.066968218671088 0.124672515557089 59175.12171533846 0.6848338719371518 None None 0.14023388181391042 0.08246314473972219 0.855 0.834 0.609 0.632
J-c-o 1D3 True F19 6 36.57581009307898 0.13681829817053925 1.0360702998893694 0.0747725145702976 59175.57805909137 0.5030982588887496 None None 0.04924724347345484 0.07761471121925421 0.755 0.741 0.719 0.735
J-c-o-ztfg 1D3 True F19 6 36.22166270333781 0.11277861649491375 0.9521395276792946 0.04431296527857067 59174.10726514086 0.4423856075292146 None None 0.18613452615639028 0.07095989433361251 1.123 1.097 0.294 0.326
J-c-o-ztfg-ztfr 1D3 True O94 0 36.151880842670536 0.10571392019484434 0.9615467856653247 0.03827935971895687 59174.528616966774 0.3893917678355019 None None 0.2541795209132894 0.06533235239308871 1.021 0.991 0.433 0.491
J-c-o-ztfg-ztfr 1D3 True O94 1 36.129985405379195 0.10598933887834097 0.9622085369308372 0.03843546200001949 59174.520165697126 0.3903288774100909 None None 0.24385642193764986 0.06519229314125631 1.036 1.005 0.405 0.462
J-c-o-ztfg-ztfr 1D3 True O94 2 36.151333451480106 0.10658707706293145 0.9617446706256038 0.038462976214783826 59174.5245123948 0.3905691397657112 None None 0.2588993817696586 0.06545098877335298 1.044 1.013 0.391 0.448
J-c-o-ztfg-ztfr 1D3 True O94 3 36.12764389384597 0.1047503971826326 0.9643847390064684 0.03853876100963493 59174.50259062057 0.3908811599888396 None None 0.23421949495033714 0.06521295642054067 1.034 1.003 0.409 0.466
J-c-o-ztfg-ztfr 1D3 True O94 4 36.12026801398364 0.10516723483939999 0.9640323905846818 0.03855376828858812 59174.505978389134 0.39094683988284146 None None 0.2366490914159654 0.0652003478720688 1.038 1.007 0.402 0.459
J-c-o-ztfg-ztfr 1D3 True O94 5 36.130853790204206 0.10588214357192104 0.963341633868626 0.038625715604331465 59174.50972272071 0.391483796623314 None None 0.24096840095100608 0.06527898904565385 1.052 1.022 0.375 0.431
J-c-o-ztfg-ztfr 1D3 True F19 6 36.22200543371029 0.10092115650152861 0.9779948174884178 0.039891768808345954 59174.41594572438 0.3976853989807946 None None 0.20836501957199313 0.06571863174817301 1.1 1.07 0.295 0.345
J-c-o-ztfg-ztfr 1D3 True F99 6 36.27782180994544 0.09760053372017545 0.9767487687344037 0.04051997431964942 59174.43551973661 0.40167177787435615 None None 0.18596917250498904 0.06498109161480924 1.046 1.016 0.386 0.442
J-c-o-ztfg-ztfr 1D3 True O94 6 36.22727349191746 0.10204679046083613 0.980014218946621 0.041181609790808885 59174.41343536955 0.40505048773403174 None None 0.20894956729182926 0.06628877642298954 1.083 1.053 0.323 0.375
J-c-o-ztfg-ztfr 1D3 True O94 7 36.20545424931587 0.09896287685927456 0.9732345389132678 0.03887543065811763 59174.46273586695 0.39157950875450104 None None 0.19754370231694282 0.06526006609203168 1.008 0.979 0.457 0.513
J-c-o-ztfg-ztfr 1D3 True O94 8 36.29648742119456 0.0979819408553637 0.974083236638614 0.03874127679511931 59174.46368405464 0.3905366869667833 None None 0.20520157479342807 0.06541511215699655 0.986 0.957 0.499 0.556
J-c-o-ztfg-ztfr 1D3 True O94 9 36.223160676405186 0.09871922496767975 0.9736211835670554 0.03886485560907504 59174.46111199234 0.3914698074024495 None None 0.19895764810592617 0.06529706862036957 1.005 0.975 0.464 0.521
J-c-o-ztfg-ztfr 1D3 True O94 10 36.25852737264756 0.1100164869479936 None None 59174.27547322192 0.3826480584301227 0.987916454637305 0.06596206691134078 0.2606235760755148 0.06467680591139158 1.065 0.998 0.352 0.478
J-c-o-ztfg-ztfr 1D3 True O94 11 36.25824314264256 0.11000133156862296 None None 59174.273969684225 0.38283647731326587 0.9876037889303364 0.0659954873937408 0.25741375719293746 0.06465937378618722 1.069 1.002 0.345 0.469
J-c-o-ztfg-ztfr 1D3 True O94 12 36.26797452728199 0.1096981163551233 None None 59174.27103715536 0.38303755749166213 0.9876639839977732 0.06599937915002964 0.2595809081100038 0.06470753813277141 1.073 1.006 0.338 0.461
J-c-o-ztfg-ztfr 1D3 True O94 13 36.22539514951061 0.10973637627826043 None None 59174.25901097867 0.3840410355858277 0.9883002037942623 0.06610548888742664 0.23387972704248408 0.06457154504140146 1.097 1.029 0.299 0.418
J-c-o-ztfg-ztfr 1D3 True O94 14 36.24173834431718 0.10920057996852375 None None 59174.26549407422 0.3833839565491842 0.988129694791274 0.06603092426008182 0.24504340113822123 0.06463528134263821 1.081 1.013 0.326 0.447
J-c-o-ztfg-ztfr 1D3 True O94 15 36.235449226653564 0.10950234951905626 None None 59174.25281514156 0.38451826349367857 0.9867239193435763 0.06620066698669913 0.23401463168643877 0.06461702866435584 1.105 1.039 0.285 0.398
J-c-o-ztfr 1D3 True F19 6 36.3458042609956 0.09816535502090457 0.992060414158998 0.042344978891671145 59175.02136728201 0.40035496854857294 None None 0.12071759035010728 0.07105594646344461 0.857 0.836 0.694 0.726
J-c-ztfg-ztfr 1D3 True F19 6 36.38690452413143 0.11396527989659085 1.1890884309091208 0.048348243957124434 59173.73665007864 0.41214457399596727 None None 0.2634154883272065 0.06617426762624842 1.122 1.069 0.279 0.356
J-o-ztfg-ztfr 1D3 True F19 6 36.19206542375999 0.10198970655045939 0.9717585124462207 0.03787685631603574 59174.30202538514 0.39258466709609624 None None 0.23190823450053857 0.06539642583761233 0.9 0.872 0.649 0.697
J-ztfg-ztfr 1D3 True O94 0 36.078455875789075 0.11690217482050039 0.9631440656055651 0.041906312944331045 59174.40881680472 0.4118571253233163 None None 0.3077466018703158 0.06797603940611423 1.009 0.975 0.453 0.504
J-ztfg-ztfr 1D3 True F19 6 36.165080122401946 0.10715495848805505 0.9689736771975243 0.04149080523975717 59174.38221895451 0.40830115505967896 None None 0.24493995773373162 0.06760130908924485 0.994 0.962 0.475 0.525
o-ztfg-ztfr  True F19 6 36.173765790501626 0.10154143482547748 0.9636339810772051 0.03691790528500801 59174.35523697074 0.3869696839502494 None None 0.23286199581701553 0.06521193281651042 0.844 0.816 0.739 0.782
ztfg-ztfr  True O94 0 36.05342299582894 0.11731578490927072 0.9592142393722018 0.040175590601321365 59174.47370004191 0.40115183344804 None None 0.31818278785861875 0.06734222669500607 0.885 0.852 0.643 0.694
ztfg-ztfr  True F19 6 36.13790576991517 0.10700880674332001 0.9591919831955019 0.039592742479073906 59174.4741487176 0.3974546767900179 None None 0.2523222688920241 0.06701495535432023 0.885 0.851 0.644 0.694
