bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 38.82815019011069 0.21374264648587174 0.884073263694966 0.11636748437475429 59174.73688456944 1.3632490531371253 None None -0.2992536783568481 0.18377769260349197 0.347 0.347 0.995 0.995
c-o  True F19 6 38.79997120596079 0.19606266020918403 0.8840984157113247 0.11637047367459111 59174.73749293705 1.3631431798209181 None None -0.37111979744063056 0.1628863453818166 0.347 0.347 0.995 0.995
c-o-ztfg  True F19 6 38.672975090333175 0.15196596472383506 0.9179894656300817 0.0614767589648645 59174.76318783849 0.49968658410217254 None None -0.2517946494770666 0.08950313856729196 0.291 0.291 1.0 1.0
c-o-ztfg-ztfr  True O94 0 38.136401669349965 0.12124697448262055 0.9003560469838732 0.06310858067002033 59174.40686144743 0.4970038275040734 None None 0.033212583853857655 0.08887613881908622 0.645 0.643 0.942 0.943
c-o-ztfg-ztfr  True F19 6 38.147633159044986 0.11515110662383389 0.9032536769101135 0.0618284231718594 59174.4133371628 0.48970244826064985 None None -0.017706823454762766 0.08352429206049429 0.661 0.659 0.932 0.933
c-o-ztfr  True F19 6 38.21388094392007 0.15911814146631645 0.8974098568495571 0.06729867917421144 59174.23188504165 0.5777135406371022 None None -0.06355169820870613 0.13360412473431726 0.72 0.719 0.858 0.86
c-ztfg-ztfr  True F19 6 38.00377302739245 0.10795450929212312 0.8925935107622333 0.0571777804321473 59174.49298547874 0.4488180914599804 None None 0.042352002296034856 0.07852979678923477 0.45 0.448 0.983 0.983
J-c-o 1D3 True O94 0 38.48017784634016 0.15675926014504354 0.9032778862495564 0.11963916820555714 59174.71529683144 1.4154633160476489 None None -0.09374117667597962 0.1585369221487231 0.383 0.382 0.993 0.993
J-c-o 1D3 True F19 6 38.48641238893327 0.13999525014269854 0.887818919165161 0.10943159238375069 59174.86243075209 1.2621823761396769 None None -0.17625985935229904 0.13799801621294613 0.394 0.393 0.991 0.991
J-c-o 2D True O94 0 38.49769030000211 0.15403189436602926 0.9016388397361933 0.11831583401203144 59174.719371095205 1.398896768548493 None None -0.10501020212952379 0.15719064349242612 0.373 0.372 0.994 0.994
